oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,109.0,57.0,77792.0,3,1,65.0,76.0,1,2,60.0,81.0,1,3,11.0,236.0,1,3,130.5,183.9,1.4,NOR,11.0,236.0,93456.3,
ATL,108.0,58.0,16750.3,2,1,70.0,144.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,122.0,178.0,1.5,NOR,11.0,236.0,31389.0,
ATL,119.0,59.0,67648.3,3,1,63.0,65.0,1,2,41.0,82.0,1,3,11.0,236.0,1,3,144.6,207.0,1.4,NOR,11.0,236.0,85001.6,
ATL,102.0,60.0,17527.1,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,118.9,118.9,1.0,NOR,11.0,236.0,31792.7,
ATL,112.0,62.0,58041.2,3,1,114.0,87.0,1,2,79.0,136.0,1,3,11.0,236.0,1,3,123.7,184.4,1.5,NOR,11.0,236.0,72889.5,
ATL,125.0,62.0,72696.6,3,1,69.0,138.0,1,2,82.0,159.0,2,3,11.0,236.0,1,4,134.3,308.8,2.3,NOR,11.0,236.0,88813.1,
ATL,126.0,62.0,74938.7,3,1,67.0,67.0,1,2,41.0,129.0,1,3,11.0,236.0,1,3,142.5,225.6,1.6,NOR,11.0,236.0,92043.7,
ATL,111.0,63.0,16055.2,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,119.9,119.9,1.0,NOR,11.0,236.0,30442.4,
ATL,126.0,63.0,66285.1,3,1,147.0,89.0,1,2,72.0,183.0,2,3,11.0,236.0,1,4,140.7,302.6,2.2,NOR,11.0,236.0,83167.9,
ATL,126.0,63.0,70030.9,3,1,72.0,133.0,2,2,56.0,145.0,1,3,11.0,236.0,1,4,126.0,295.4,2.3,NOR,11.0,236.0,85145.6,
ATL,127.0,63.0,66064.6,3,1,105.0,71.0,1,2,60.0,73.0,2,3,11.0,236.0,1,4,143.2,220.3,1.5,NOR,11.0,236.0,83248.1,
ATL,128.0,63.0,62678.8,3,1,136.0,100.0,1,2,142.0,114.0,1,3,11.0,236.0,1,3,139.3,179.8,1.3,NOR,11.0,236.0,79389.8,
ATL,128.0,63.0,66650.8,3,1,106.0,48.0,1,2,66.0,71.0,2,3,11.0,236.0,1,4,148.0,216.3,1.5,NOR,11.0,236.0,84412.7,
ATL,128.0,63.0,71893.8,3,1,83.0,87.0,1,2,47.0,86.0,1,3,11.0,236.0,1,3,144.8,206.4,1.4,NOR,11.0,236.0,89265.4,
ATL,128.0,63.0,72384.2,3,1,132.0,69.0,1,2,77.0,159.0,1,3,11.0,236.0,2,4,128.5,320.2,2.5,NOR,11.0,236.0,87799.5,
ATL,127.0,64.0,69743.5,3,1,65.0,127.0,1,2,52.0,113.0,1,3,11.0,236.0,1,3,142.3,231.3,1.6,NOR,11.0,236.0,86818.3,
ATL,113.0,65.0,58310.6,3,1,44.0,121.0,1,2,56.0,144.0,1,3,11.0,236.0,1,3,130.3,231.2,1.8,NOR,11.0,236.0,73950.6,
ATL,126.0,65.0,71922.1,3,1,73.0,135.0,2,2,69.0,143.0,1,3,11.0,236.0,1,4,123.8,287.0,2.3,NOR,11.0,236.0,86779.3,
ATL,126.0,65.0,72287.5,3,1,147.0,108.0,2,2,148.0,107.0,2,3,11.0,236.0,1,5,142.5,238.0,1.7,NOR,11.0,236.0,89383.5,
ATL,115.0,66.0,61542.3,3,1,109.0,61.0,1,2,60.0,73.0,1,3,11.0,236.0,1,3,137.1,157.5,1.1,NOR,11.0,236.0,77991.7,
ATL,116.0,66.0,15844.3,2,1,47.0,125.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,124.5,174.4,1.4,NOR,11.0,236.0,30782.7,
ATL,127.0,66.0,65722.4,3,1,114.0,65.0,1,2,69.0,142.0,1,3,11.0,236.0,1,3,127.6,188.7,1.5,NOR,11.0,236.0,81035.1,
ATL,127.0,66.0,74094.6,3,1,65.0,131.0,1,2,62.0,140.0,1,3,11.0,236.0,1,3,124.8,236.5,1.9,NOR,11.0,236.0,89072.0,
ATL,112.0,67.0,64892.8,3,1,78.0,113.0,1,2,52.0,112.0,1,3,11.0,236.0,1,3,128.3,197.4,1.5,NOR,11.0,236.0,80288.1,
ATL,114.0,67.0,16350.2,2,1,74.0,147.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,119.1,172.4,1.4,NOR,11.0,236.0,30641.0,
ATL,117.0,67.0,70934.5,3,1,118.0,69.0,1,2,79.0,121.0,1,3,11.0,236.0,1,3,120.5,160.7,1.3,NOR,11.0,236.0,85394.7,
ATL,117.0,67.0,75659.6,3,1,62.0,109.0,1,2,66.0,109.0,1,3,11.0,236.0,1,3,127.0,200.9,1.6,NOR,11.0,236.0,90894.8,
ATL,113.0,68.0,74349.3,3,1,74.0,130.0,1,2,52.0,143.0,1,3,11.0,236.0,1,3,120.3,219.9,1.8,NOR,11.0,236.0,88780.7,
ATL,131.0,68.0,58659.3,3,1,87.0,150.0,1,2,66.0,152.0,1,3,11.0,236.0,1,3,128.7,243.4,1.9,NOR,11.0,236.0,74107.5,
ATL,131.0,68.0,62322.9,3,1,148.0,107.0,1,2,152.0,127.0,1,3,11.0,236.0,1,3,144.7,187.0,1.3,NOR,11.0,236.0,79686.3,
ATL,132.0,68.0,58066.4,3,1,127.0,65.0,1,2,61.0,72.0,1,3,11.0,236.0,1,3,146.2,170.4,1.2,NOR,11.0,236.0,75609.5,
ATL,113.0,69.0,59422.2,3,1,61.0,81.0,1,2,62.0,80.0,1,3,11.0,236.0,1,3,131.3,180.7,1.4,NOR,11.0,236.0,75183.4,
ATL,113.0,69.0,72222.5,3,1,66.0,119.0,1,2,63.0,144.0,1,3,11.0,236.0,1,3,119.7,212.7,1.8,NOR,11.0,236.0,86585.1,
ATL,113.0,69.0,76786.3,3,1,66.0,78.0,1,2,63.0,81.0,1,3,11.0,236.0,1,3,129.4,177.0,1.4,NOR,11.0,236.0,92308.5,
ATL,117.0,69.0,17886.7,2,1,68.0,139.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,118.8,169.9,1.4,NOR,11.0,236.0,32139.4,
