oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,92.0,55.0,72193.6,2,1,61.0,81.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,63.9,88.0,1.4,SOU,5.0,116.0,79861.4,
ATL,107.0,56.0,20454.4,2,1,92.0,101.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,81.4,99.5,1.2,SOU,5.0,116.0,30226.1,
ATL,107.0,56.0,20736.8,2,1,18.0,96.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,72.9,129.5,1.8,SOU,5.0,116.0,29479.7,
ATL,108.0,56.0,58505.3,2,1,67.0,51.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,78.7,96.3,1.2,SOU,5.0,116.0,67946.8,
ATL,109.0,56.0,21614.3,1,1,5.0,116.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,72.0,144.1,2.0,SOU,5.0,116.0,30259.1,
ATL,116.0,56.0,58785.4,2,1,116.0,75.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,82.4,87.1,1.1,SOU,5.0,116.0,68673.2,
ATL,116.0,56.0,71467.2,2,1,67.0,83.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,75.7,109.3,1.4,SOU,5.0,116.0,80552.3,
ATL,104.0,57.0,21401.2,2,1,65.0,116.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,78.4,111.6,1.4,SOU,5.0,116.0,30813.4,
ATL,107.0,57.0,22425.4,2,1,107.0,68.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,74.2,77.3,1.0,SOU,5.0,116.0,31333.9,
ATL,108.0,57.0,22003.2,2,1,107.0,68.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,74.3,77.8,1.0,SOU,5.0,116.0,30915.0,
ATL,108.0,57.0,64114.6,3,1,62.0,79.0,1,2,64.0,93.0,1,3,5.0,116.0,1,3,77.1,135.9,1.8,SOU,5.0,116.0,73363.5,
ATL,109.0,57.0,58904.1,3,1,106.0,72.0,1,2,70.0,77.0,1,3,5.0,116.0,1,3,76.5,107.2,1.4,SOU,5.0,116.0,68080.2,
ATL,109.0,57.0,71057.9,3,1,107.0,49.0,1,2,59.0,49.0,1,3,5.0,116.0,1,3,85.4,107.1,1.3,SOU,5.0,116.0,81303.4,
ATL,117.0,57.0,21510.4,3,1,118.0,74.0,1,2,46.0,122.0,1,3,5.0,116.0,1,3,87.0,143.9,1.7,SOU,5.0,116.0,31950.4,
ATL,118.0,57.0,21086.0,2,1,109.0,82.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,81.6,92.4,1.1,SOU,5.0,116.0,30877.1,
ATL,118.0,57.0,21605.8,1,1,5.0,116.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,76.5,153.0,2.0,SOU,5.0,116.0,30784.1,
ATL,107.0,58.0,21802.8,2,1,100.0,77.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,73.8,82.6,1.1,SOU,5.0,116.0,30654.6,
ATL,108.0,58.0,21624.1,3,1,60.0,119.0,1,2,53.0,112.0,1,3,5.0,116.0,1,3,81.4,163.7,2.0,SOU,5.0,116.0,31393.5,
ATL,108.0,58.0,22384.2,1,1,5.0,116.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,70.9,141.8,2.0,SOU,5.0,116.0,30895.1,
ATL,109.0,58.0,20361.0,2,1,89.0,96.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,77.6,97.2,1.3,SOU,5.0,116.0,29669.9,
ATL,109.0,58.0,21041.4,2,1,56.0,127.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,83.5,123.7,1.5,SOU,5.0,116.0,31062.3,
ATL,109.0,58.0,62158.4,3,1,62.0,60.0,1,2,41.0,113.0,1,3,5.0,116.0,1,3,84.1,152.1,1.8,SOU,5.0,116.0,72251.1,
ATL,109.0,58.0,64979.7,3,1,111.0,61.0,1,2,52.0,115.0,1,3,5.0,116.0,1,3,78.4,122.0,1.6,SOU,5.0,116.0,74382.7,
ATL,109.0,58.0,71701.0,3,1,105.0,70.0,1,2,41.0,116.0,1,3,5.0,116.0,1,3,76.5,132.7,1.7,SOU,5.0,116.0,80878.5,
ATL,110.0,58.0,21037.9,2,1,57.0,115.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,77.9,118.7,1.5,SOU,5.0,116.0,30386.6,
ATL,110.0,58.0,21747.7,2,1,52.0,112.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,75.8,119.5,1.6,SOU,5.0,116.0,30849.7,
ATL,110.0,58.0,65569.4,3,1,108.0,57.0,1,2,51.0,117.0,1,3,5.0,116.0,1,3,78.6,123.4,1.6,SOU,5.0,116.0,75001.8,
ATL,112.0,58.0,21953.0,2,1,54.0,129.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,85.4,128.0,1.5,SOU,5.0,116.0,32203.9,
ATL,117.0,58.0,21298.8,3,1,60.0,68.0,1,2,40.0,114.0,1,3,5.0,116.0,1,3,85.9,167.5,2.0,SOU,5.0,116.0,31601.1,
ATL,117.0,58.0,69448.7,3,1,68.0,59.0,1,2,40.0,116.0,1,3,5.0,116.0,1,3,88.5,162.9,1.8,SOU,5.0,116.0,80069.8,
ATL,117.0,58.0,71664.7,3,1,61.0,127.0,1,2,47.0,125.0,1,3,5.0,116.0,1,3,87.6,187.1,2.1,SOU,5.0,116.0,82173.9,
ATL,118.0,58.0,20227.6,2,1,84.0,105.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,82.7,111.0,1.3,SOU,5.0,116.0,30147.1,
ATL,118.0,58.0,59713.0,3,1,65.0,108.0,1,2,55.0,128.0,1,3,5.0,116.0,1,3,88.0,176.4,2.0,SOU,5.0,116.0,70271.3,
ATL,108.0,59.0,20876.2,2,1,66.0,53.0,1,2,5.0,116.0,2,NA, NA, NA, NA,3,78.1,166.7,2.1,SOU,5.0,116.0,30244.7,
ATL,109.0,59.0,59150.8,3,1,113.0,63.0,1,2,60.0,118.0,1,3,5.0,116.0,1,3,82.2,120.6,1.5,SOU,5.0,116.0,69020.1,
