oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,125.0,63.0,14373.7,2,1,148.0,92.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,147.4,167.9,1.1,WES,200.0,294.0,32056.8,
ATL,112.0,64.0,14421.7,1,1,200.0,294.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,147.8,147.8,1.0,WES,200.0,294.0,32152.4,
ATL,128.0,65.0,63208.5,3,1,147.0,89.0,1,2,149.0,93.0,1,3,200.0,294.0,1,3,145.5,183.4,1.3,WES,200.0,294.0,80665.1,
ATL,115.0,68.0,14254.7,2,1,82.0,106.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,163.4,175.1,1.1,WES,200.0,294.0,33859.8,
ATL,116.0,69.0,14264.2,1,1,200.0,294.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,144.1,144.1,1.0,WES,200.0,294.0,31556.3,
ATL,116.0,69.0,63499.3,2,1,133.0,93.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,144.8,161.7,1.1,WES,200.0,294.0,80871.7,
ATL,112.0,70.0,14349.8,3,1,135.0,97.0,1,2,98.0,172.0,1,3,200.0,294.0,1,3,166.9,227.5,1.4,WES,200.0,294.0,34374.5,
ATL,85.0,88.0,15158.6,1,1,200.0,294.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,141.6,141.6,1.0,WES,200.0,294.0,32145.2,
ATL,79.0,96.0,13659.7,2,1,72.0,137.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,146.5,164.2,1.1,WES,200.0,294.0,31239.2,
BER-1,160.0,259.0,25542.9,3,1,164.0,275.0,1,2,166.0,276.0,1,3,200.0,294.0,1,3,34.3,52.6,1.5,WES,200.0,294.0,29661.3,
BER-1,160.0,259.0,64786.7,2,1,166.0,260.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,32.5,35.5,1.1,WES,200.0,294.0,68686.6,
BER-1,160.0,259.0,66197.2,2,1,171.0,259.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,33.9,38.5,1.1,WES,200.0,294.0,70261.8,
BER-1,158.0,260.0,25801.6,3,1,161.0,263.0,1,2,176.0,273.0,1,3,200.0,294.0,1,3,32.5,48.3,1.5,WES,200.0,294.0,29701.2,
BER-1,158.0,260.0,50369.4,2,1,161.0,263.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,32.4,35.0,1.1,WES,200.0,294.0,54261.9,
BER-1,158.0,260.0,58180.7,3,1,164.0,259.0,1,2,170.0,254.0,1,3,200.0,294.0,1,3,38.3,44.1,1.2,WES,200.0,294.0,62781.0,
BER-1,158.0,260.0,72381.6,3,1,164.0,265.0,1,2,172.0,264.0,1,3,200.0,294.0,1,3,34.1,45.8,1.3,WES,200.0,294.0,76479.0,
BER-1,159.0,260.0,24625.5,3,1,160.0,276.0,1,2,165.0,281.0,1,3,200.0,294.0,4,6,36.3,150.6,4.2,WES,200.0,294.0,28977.1,
BER-1,159.0,260.0,25260.4,2,1,168.0,254.0,1,2,200.0,294.0,3,NA, NA, NA, NA,4,37.2,102.4,2.7,WES,200.0,294.0,29727.4,
BER-1,159.0,260.0,25533.4,3,1,161.0,263.0,1,2,174.0,261.0,1,3,200.0,294.0,4,6,35.3,139.0,3.9,WES,200.0,294.0,29764.8,
BER-1,159.0,260.0,25921.8,2,1,166.0,270.0,1,2,200.0,294.0,4,NA, NA, NA, NA,5,32.3,135.2,4.2,WES,200.0,294.0,29797.1,
BER-1,159.0,260.0,48459.6,3,1,161.0,265.0,1,2,175.0,264.0,1,3,200.0,294.0,1,3,35.1,45.1,1.3,WES,200.0,294.0,52669.6,
BER-1,159.0,260.0,54154.4,3,1,161.0,263.0,1,2,172.0,263.0,1,3,200.0,294.0,1,3,33.8,42.1,1.2,WES,200.0,294.0,58213.6,
BER-1,159.0,260.0,61552.8,3,1,168.0,254.0,3,2,170.0,253.0,1,3,200.0,294.0,1,5,38.3,59.3,1.5,WES,200.0,294.0,66150.4,
BER-1,159.0,260.0,62036.2,3,1,160.0,262.0,7,2,174.0,262.0,1,3,200.0,294.0,3,11,34.5,114.3,3.3,WES,200.0,294.0,66173.9,
BER-1,159.0,260.0,62860.4,3,1,160.0,264.0,1,2,156.0,267.0,1,3,200.0,294.0,1,3,36.4,39.0,1.1,WES,200.0,294.0,67234.1,
BER-1,159.0,260.0,64714.1,3,1,171.0,258.0,1,2,173.0,262.0,1,3,200.0,294.0,2,4,35.1,79.7,2.3,WES,200.0,294.0,68926.5,
BER-1,159.0,260.0,65799.8,3,1,165.0,259.0,1,2,168.0,255.0,1,3,200.0,294.0,1,3,36.9,41.8,1.1,WES,200.0,294.0,70230.0,
BER-1,159.0,260.0,71693.8,3,1,167.0,261.0,1,2,169.0,261.0,1,3,200.0,294.0,1,3,33.2,42.8,1.3,WES,200.0,294.0,75678.2,
BER-1,160.0,260.0,25278.0,3,1,167.0,267.0,1,2,164.0,275.0,1,3,200.0,294.0,2,4,35.5,78.3,2.2,WES,200.0,294.0,29536.8,
BER-1,160.0,260.0,25675.7,3,1,162.0,266.0,1,2,173.0,267.0,1,3,200.0,294.0,2,4,33.3,75.7,2.3,WES,200.0,294.0,29675.6,
BER-1,160.0,260.0,25850.6,2,1,166.0,257.0,1,2,200.0,294.0,1,NA, NA, NA, NA,2,34.2,35.5,1.0,WES,200.0,294.0,29951.5,
BER-1,160.0,260.0,26413.6,3,1,163.0,265.0,1,2,162.0,266.0,1,3,200.0,294.0,2,4,32.7,70.3,2.2,WES,200.0,294.0,30333.7,
BER-1,162.0,260.0,62489.7,3,1,166.0,260.0,1,2,170.0,258.0,1,3,200.0,294.0,1,3,33.2,37.9,1.1,WES,200.0,294.0,66473.7,
BER-1,162.0,260.0,66546.6,3,1,172.0,260.0,1,2,176.0,266.0,1,3,200.0,294.0,1,3,32.5,45.7,1.4,WES,200.0,294.0,70441.1,
