oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,10653.0,1,1,41.0,73.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,163.4,163.4,1.0,CUM,41.0,73.0,30255.3,
WES,200.0,294.0,12060.4,2,1,62.0,80.0,1,2,61.0,68.0,1,NA, NA, NA, NA,2,160.0,312.0,1.9,CUM,61.0,68.0,31261.2,
WES,200.0,294.0,12564.3,1,1,65.0,67.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,158.5,158.5,1.0,CUM,65.0,67.0,31580.2,
WES,200.0,294.0,13022.0,1,1,63.0,79.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,153.0,153.0,1.0,CUM,63.0,79.0,31377.6,
WES,200.0,294.0,14100.7,1,1,49.0,245.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,95.3,95.3,1.0,WAR,49.0,245.0,25530.8,
WES,200.0,294.0,14280.3,1,1,60.0,122.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,133.1,133.1,1.0,CAM-1,60.0,122.0,30248.0,
WES,200.0,294.0,14889.4,1,1,96.0,181.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,92.1,92.1,1.0,MER-1,96.0,181.0,25946.8,
WES,200.0,294.0,15647.2,1,1,122.0,198.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,74.2,74.2,1.0,MID-1,122.0,198.0,24553.1,
WES,200.0,294.0,16318.2,3,1,140.0,203.0,1,2,102.0,200.0,1,3,40.0,74.0,1,3,172.5,310.1,1.8,CUM,40.0,74.0,37021.6,
WES,200.0,294.0,16463.1,1,1,113.0,200.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,76.8,76.8,1.0,MID-1,113.0,200.0,25685.0,
WES,200.0,294.0,17187.4,1,1,131.0,241.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,52.2,52.2,1.0,UNI-2,131.0,241.0,23451.9,
WES,200.0,294.0,17522.3,3,1,105.0,248.0,1,2,106.0,181.0,1,3,42.0,70.0,1,3,180.4,316.0,1.8,CUM,42.0,70.0,39171.8,
WES,200.0,294.0,17829.5,3,1,121.0,274.0,1,2,121.0,261.0,1,3,102.0,199.0,1,3,95.6,182.2,1.9,MER-2,102.0,199.0,29301.8,
