County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
ATL	"128.0, 63.0"	5401	5380	20277	15.55323088	2.550675801
ATL	"126.0, 63.0"	3799	3732	13143	22.28665438	2.383021848
ATL	"126.0, 65.0"	3633	3497	12736	23.33608588	2.489650427
ATL	"127.0, 66.0"	3156	3076	10885	26.92173638	2.510709759
ATL	"126.0, 62.0"	2992	2932	10149	28.42513369	2.341009358
ATL	"125.0, 62.0"	2730	2646	9511	31.17912088	2.322234432
ATL	"88.0, 103.0"	2405	2253	7556	35.47525988	1.988690229
ATL	"124.0, 62.0"	2227	2094	8338	38.33183655	2.405568029
ATL	"112.0, 67.0"	2135	1948	7215	40.02107728	2.107259953
ATL	"107.0, 68.0"	2131	1852	11044	39.94697325	3.023744721
ATL	"127.0, 63.0"	2079	2040	6922	41.06541607	2.155218855
ATL	"127.0, 64.0"	2019	1947	6774	42.28925211	2.270629024
ATL	"103.0, 76.0"	2017	1779	6246	42.33614279	2.150818047
ATL	"86.0, 101.0"	1959	1786	6007	43.54466565	1.903675345
ATL	"104.0, 76.0"	1889	1761	5666	45.27474854	2.190418211
ATL	"113.0, 69.0"	1766	1599	5687	48.37938845	2.098187995
ATL	"109.0, 59.0"	1763	1652	5672	48.51843449	2.013726602
ATL	"119.0, 72.0"	1653	1245	6004	51.6061706	2.162250454
ATL	"125.0, 63.0"	1604	1511	4988	53.38902743	2.160099751
ATL	"88.0, 101.0"	1594	1467	4689	53.71267252	1.887578419
ATL	"117.0, 67.0"	1573	1421	4671	54.44119517	1.953655435
ATL	"117.0, 68.0"	1571	1386	4751	54.44048377	2.038510503
ATL	"128.0, 64.0"	1539	1478	5024	55.67511371	2.151397011
ATL	"115.0, 68.0"	1530	1333	5006	55.98954248	1.94248366
ATL	"126.0, 64.0"	1467	1266	6254	58.50715746	2.245057941
ATL	"87.0, 101.0"	1460	1341	4748	58.64383562	2.120136986
ATL	"113.0, 68.0"	1434	1281	4172	59.67433752	1.955299861
ATL	"112.0, 63.0"	1355	1236	3973	63.24944649	1.917490775
ATL	"123.0, 61.0"	1343	1206	4489	63.84512286	2.265450484
ATL	"107.0, 73.0"	1308	1155	3729	65.54816514	1.962232416
ATL	"113.0, 63.0"	1269	1120	4820	67.59968479	2.304728132
ATL	"116.0, 68.0"	1262	1126	3626	67.98415214	1.9
ATL	"121.0, 60.0"	1175	1043	3787	72.9812766	2.167914894
ATL	"118.0, 69.0"	1169	1000	3568	73.43798118	1.992215569
ATL	"109.0, 73.0"	1125	895	3701	76.18933333	2.051911111
ATL	"106.0, 75.0"	1115	992	5913	60.44753363	3.213363229
ATL	"113.0, 64.0"	1093	980	3152	78.43549863	1.85663312
ATL	"105.0, 76.0"	1087	988	3017	78.99540018	2.018583257
ATL	"73.0, 85.0"	1073	961	2881	79.80615098	1.749673812
ATL	"128.0, 65.0"	1070	973	3290	80.24953271	2.076542056
ATL	"103.0, 75.0"	1062	919	3209	80.78248588	2.093502825
ATL	"118.0, 58.0"	1041	956	2982	82.43419789	1.94284342
ATL	"87.0, 103.0"	1034	925	2936	82.83655706	1.776499033
ATL	"104.0, 87.0"	1030	889	2730	83.22038835	1.874466019
ATL	"129.0, 64.0"	1020	950	3248	84.18627451	2.026666667
ATL	"113.0, 67.0"	1005	873	2719	85.47562189	1.763482587
ATL	"111.0, 61.0"	996	899	3152	85.99698795	1.904718876
ATL	"121.0, 62.0"	962	825	2922	89.22661123	2.087110187
ATL	"120.0, 81.0"	942	776	2966	91.00849257	2.03970276
ATL	"116.0, 66.0"	942	819	2690	91.09235669	1.926857749
ATL	"109.0, 58.0"	932	845	2473	92.14806867	1.837982833
ATL	"118.0, 73.0"	910	810	2407	94.47582418	1.839010989
ATL	"109.0, 57.0"	891	803	2493	96.16722783	1.848821549
ATL	"119.0, 59.0"	885	794	2434	97.03615819	1.941920904
ATL	"73.0, 84.0"	880	786	2217	97.23863636	1.654772727
ATL	"122.0, 61.0"	879	790	2590	97.72354949	2.02923777
ATL	"118.0, 80.0"	878	730	2397	97.62984055	1.874259681
ATL	"118.0, 70.0"	872	732	2514	98.50573394	1.951834862
ATL	"116.0, 67.0"	867	754	2199	98.95963091	1.798731257
ATL	"104.0, 86.0"	861	715	2045	99.75958188	1.818350755
ATL	"113.0, 65.0"	855	741	2226	100.2654971	1.679415205
ATL	"115.0, 66.0"	851	718	2368	100.7955347	1.845123384
ATL	"108.0, 66.0"	844	716	2463	101.6611374	1.924881517
ATL	"86.0, 102.0"	838	733	2102	102.5811456	1.706205251
ATL	"108.0, 70.0"	835	682	2524	102.6718563	1.983832335
ATL	"88.0, 102.0"	832	750	2118	103.2572115	1.767908654
