County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
BER	"169.0, 273.0"	4310	3547	23333	19.58955916	2.91575406
BER	"170.0, 277.0"	4246	3204	24276	19.93853038	3.187847386
BER	"159.0, 260.0"	3806	3046	14551	22.24697846	2.078402522
BER	"169.0, 274.0"	3245	2810	12631	26.17010786	2.351956857
BER	"177.0, 269.0"	3154	2809	14166	26.88110336	2.48126189
BER	"161.0, 263.0"	3089	2757	13393	27.52832632	2.408546455
BER	"162.0, 266.0"	3082	2633	11074	27.55548345	2.14578196
BER	"160.0, 264.0"	2945	2484	12892	28.87096774	2.213073005
BER	"168.0, 274.0"	2747	2448	9675	30.96832909	2.311248635
BER	"176.0, 266.0"	2692	2313	13494	31.64413076	2.567236256
BER	"163.0, 265.0"	2678	2353	8789	31.79424944	2.016243465
BER	"169.0, 275.0"	2669	2134	12374	31.94267516	2.70363432
BER	"174.0, 264.0"	2645	1898	13140	32.19962193	2.350661626
BER	"166.0, 283.0"	2578	2274	9289	33.04693561	2.254266874
BER	"160.0, 262.0"	2460	2155	8307	34.62845528	1.950121951
BER	"161.0, 264.0"	2417	2135	7797	35.28796028	1.95258585
BER	"177.0, 270.0"	2377	2139	9259	35.86832141	2.24627682
BER	"163.0, 266.0"	2372	2089	8098	35.89038786	2.025210793
BER	"161.0, 287.0"	2365	1996	8531	36.10063425	2.126638478
BER	"162.0, 272.0"	2360	2020	8218	36.11737288	2.291398305
BER	"166.0, 278.0"	2355	2109	7732	36.15711253	2.124755839
BER	"174.0, 269.0"	2335	2014	9715	36.51820128	2.405524625
BER	"176.0, 275.0"	2319	2046	8781	36.74299267	2.263518758
BER	"163.0, 267.0"	2313	2002	7661	36.87980977	2.108646779
BER	"164.0, 283.0"	2244	1957	16517	33.66889483	3.743003565
BER	"160.0, 276.0"	2230	1907	7056	38.22735426	2.047847534
BER	"166.0, 264.0"	2222	1235	37992	38.50090009	12.51017102
BER	"159.0, 261.0"	2184	1782	7598	39.06684982	1.970467033
BER	"158.0, 260.0"	2173	1754	7331	39.29774505	1.844592729
BER	"174.0, 268.0"	2171	1888	8937	39.32243206	2.294426532
BER	"175.0, 265.0"	2157	1807	9594	39.55910987	2.22165044
BER	"167.0, 274.0"	2102	1837	7118	40.63606089	2.151617507
BER	"163.0, 262.0"	2085	1875	6845	40.96306954	2.018609113
BER	"168.0, 275.0"	2084	1873	7491	40.96209213	2.36146833
BER	"175.0, 266.0"	2084	1765	9072	40.9928023	2.310604607
BER	"161.0, 273.0"	2078	1729	6871	41.01443696	2.049230029
BER	"163.0, 272.0"	2074	1777	7047	41.15718419	2.218514947
BER	"162.0, 274.0"	2059	1773	6986	41.47304517	2.328800389
BER	"162.0, 263.0"	2033	1749	6535	42.01770782	1.935218888
BER	"162.0, 268.0"	1994	1687	6831	42.86158475	2.025125376
BER	"168.0, 273.0"	1994	1499	9384	42.90270812	3.034503511
BER	"164.0, 273.0"	1991	1736	6246	42.87694626	2.109342039
BER	"161.0, 270.0"	1984	1737	6321	43.05645161	2.034627016
BER	"175.0, 264.0"	1982	1614	10101	43.13168517	2.604238143
BER	"165.0, 269.0"	1968	1667	6584	43.40396341	2.129166667
BER	"166.0, 277.0"	1956	1669	6712	43.68762781	2.113701431
BER	"162.0, 270.0"	1948	1690	6594	43.72587269	2.020379877
BER	"163.0, 273.0"	1921	1618	6172	44.36751692	2.085528371
BER	"163.0, 274.0"	1916	1528	6683	44.61273486	2.023434238
BER	"163.0, 268.0"	1914	1633	6182	44.67084639	1.973301985
BER	"176.0, 268.0"	1908	1665	7780	44.79297694	2.328668763
BER	"173.0, 274.0"	1885	1589	7212	45.2530504	2.232466844
BER	"170.0, 273.0"	1876	1607	6620	45.47441365	2.099573561
