County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
BUR	"85.0, 164.0"	6128	6081	20672	13.64866188	2.052219321
BUR	"74.0, 147.0"	6064	6034	19787	13.80277045	2.164363456
BUR	"98.0, 175.0"	4263	4054	16846	19.82172179	1.940464462
BUR	"69.0, 144.0"	3810	3804	11715	22.21338583	2.094304462
BUR	"68.0, 143.0"	3782	3716	12438	22.37731359	2.056319408
BUR	"76.0, 147.0"	3636	3589	11442	23.31435644	2.038366337
BUR	"72.0, 137.0"	3356	3330	10330	25.29529201	2.033015495
BUR	"74.0, 135.0"	3259	3174	10842	26.0684259	2.079993863
BUR	"88.0, 151.0"	2901	2829	9412	29.3202344	2.076594278
BUR	"96.0, 172.0"	2829	2751	9166	30.06680806	1.856132909
BUR	"70.0, 144.0"	2800	2758	8692	30.38071429	1.967428571
BUR	"81.0, 161.0"	2797	2739	9071	30.41616017	1.923954237
BUR	"73.0, 135.0"	2788	2752	8262	30.52977044	1.983321377
BUR	"84.0, 157.0"	2694	2659	8045	31.59279881	1.973311062
BUR	"65.0, 152.0"	2667	2564	8893	31.9336333	1.99823772
BUR	"82.0, 159.0"	2666	2631	7976	31.927982	1.926106527
BUR	"98.0, 173.0"	2665	2575	8542	31.9587242	1.799587242
BUR	"68.0, 144.0"	2659	2633	7979	32.01466717	1.97374953
BUR	"87.0, 150.0"	2594	2532	7843	32.84734002	2.000886662
BUR	"97.0, 171.0"	2588	2531	8058	32.91228748	1.838176198
BUR	"72.0, 138.0"	2511	2452	7729	33.96176822	1.938430904
BUR	"96.0, 168.0"	2404	2344	7389	35.44176373	1.877329451
BUR	"77.0, 155.0"	2318	2258	6932	36.80586713	1.879853322
BUR	"89.0, 149.0"	2242	2112	8801	38.09589652	2.407314897
BUR	"70.0, 145.0"	2227	2199	6460	38.33273462	1.924472384
BUR	"72.0, 139.0"	2169	2100	6609	39.35546335	1.830474873
BUR	"84.0, 138.0"	2130	2086	5833	40.10140845	1.904131455
BUR	"73.0, 140.0"	2127	2042	6585	40.15232722	1.857874941
BUR	"71.0, 140.0"	2127	2086	6207	40.1603197	1.84748472
BUR	"87.0, 152.0"	2078	2039	5875	41.12512031	1.939557267
BUR	"79.0, 148.0"	2071	2019	5837	41.22742636	1.870980203
BUR	"73.0, 136.0"	2009	1979	5796	42.55102041	1.881284221
BUR	"95.0, 169.0"	2006	1939	6021	42.57178465	1.82003988
BUR	"104.0, 147.0"	1978	1824	8214	42.87462083	2.543073812
BUR	"69.0, 153.0"	1950	1906	5849	43.81794872	1.818307692
BUR	"77.0, 159.0"	1920	1869	5502	44.5203125	1.82046875
BUR	"95.0, 170.0"	1907	1843	5643	44.85107499	1.771997902
BUR	"85.0, 134.0"	1875	1836	5064	45.5552	1.911253333
BUR	"83.0, 138.0"	1868	1838	5015	45.80513919	1.890256959
BUR	"71.0, 147.0"	1821	1757	5387	46.9774849	1.772981878
BUR	"70.0, 143.0"	1820	1793	5327	46.98351648	1.90467033
BUR	"64.0, 150.0"	1786	1754	5194	47.9137738	1.866629339
BUR	"80.0, 162.0"	1765	1700	5185	48.47422096	1.884419263
BUR	"87.0, 129.0"	1739	1665	4626	49.21794135	1.8506613
BUR	"69.0, 143.0"	1671	1661	4698	51.15499701	1.912746858
BUR	"64.0, 145.0"	1668	1582	5180	51.33153477	1.820443645
BUR	"68.0, 152.0"	1648	1584	4738	51.97512136	1.805461165
BUR	"71.0, 154.0"	1641	1626	4541	52.12492383	1.866118221
BUR	"66.0, 144.0"	1639	1547	4984	52.23917023	1.723184869
BUR	"79.0, 149.0"	1618	1561	4360	52.90543881	1.841223733
BUR	"84.0, 156.0"	1616	1593	4400	52.91336634	1.845482673
BUR	"75.0, 158.0"	1616	1579	4623	53.02042079	1.796720297
BUR	"87.0, 149.0"	1608	1562	4215	53.26927861	1.816106965
BUR	"97.0, 172.0"	1606	1545	4851	53.33001245	1.757222914
BUR	"70.0, 146.0"	1581	1525	4605	54.15180266	1.742188488
BUR	"86.0, 133.0"	1577	1500	4261	54.31832594	1.826252378
BUR	"73.0, 134.0"	1576	1534	4326	54.3248731	1.720939086
BUR	"70.0, 141.0"	1540	1525	4366	55.63441558	1.860649351
BUR	"75.0, 137.0"	1531	1475	4232	55.94644024	1.761920314
BUR	"74.0, 137.0"	1514	1432	4377	56.60964333	1.759577279
BUR	"88.0, 149.0"	1507	1465	4004	56.86662243	1.819774386
BUR	"73.0, 133.0"	1475	1460	3921	58.05220339	1.837559322
BUR	"86.0, 153.0"	1463	1403	4098	58.45864662	1.803485988
BUR	"110.0, 157.0"	1436	1343	4775	59.71587744	2.175835655
BUR	"67.0, 145.0"	1435	1316	4751	59.75609756	1.850731707
BUR	"74.0, 143.0"	1433	1377	3816	59.81158409	1.771877181
BUR	"73.0, 137.0"	1428	1376	3831	60.03501401	1.729691877
BUR	"79.0, 147.0"	1425	1345	3930	60.17122807	1.82554386
BUR	"67.0, 142.0"	1393	1302	3947	61.52261307	1.65850682
BUR	"76.0, 158.0"	1388	1340	3849	61.78458213	1.74315562
BUR	"84.0, 161.0"	1376	1306	3950	62.20639535	1.773328488
BUR	"66.0, 151.0"	1374	1334	3755	62.39956332	1.764701601
BUR	"78.0, 158.0"	1371	1318	3829	62.44857768	1.744201313
BUR	"110.0, 147.0"	1367	1301	3838	62.68032187	1.826408193
BUR	"76.0, 159.0"	1361	1299	3788	63.01616458	1.807127112
BUR	"78.0, 148.0"	1342	1259	3890	63.8852459	1.948584203
BUR	"82.0, 158.0"	1333	1312	3495	64.32408102	1.751537884
BUR	"65.0, 148.0"	1327	1298	3563	64.55538809	1.771740769
