County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
CAM	"62.0, 143.0"	9637	9411	35794	8.520597696	1.984642524
CAM	"61.0, 114.0"	7994	7346	31400	10.36752564	1.92753315
CAM	"65.0, 129.0"	5945	4730	39326	14.42926829	4.344407065
CAM	"64.0, 140.0"	5131	4952	16972	16.37770415	1.868700058
CAM	"52.0, 135.0"	4891	4587	17983	17.2152934	1.87675322
CAM	"61.0, 141.0"	4714	4598	15323	17.87781078	1.860267289
CAM	"52.0, 144.0"	4436	4048	21314	19.02321912	2.447339946
CAM	"62.0, 144.0"	4244	4100	13987	19.88949105	1.770593779
CAM	"60.0, 142.0"	4207	2901	26653	20.40456382	3.85393392
CAM	"51.0, 144.0"	4203	3889	15496	20.10778016	2.025957649
CAM	"70.0, 137.0"	4183	3881	14012	20.20870189	1.790676548
CAM	"60.0, 141.0"	4028	3897	13103	21.00471698	1.849726912
CAM	"72.0, 125.0"	3956	3732	12716	21.39079879	1.930510617
CAM	"65.0, 131.0"	3949	3753	12947	21.43175487	1.93816156
CAM	"62.0, 124.0"	3843	3657	12078	22.03616966	1.884569347
CAM	"52.0, 143.0"	3737	3534	13533	22.67674605	2.070698421
CAM	"67.0, 131.0"	3592	3413	11327	23.56124722	1.881486637
CAM	"65.0, 141.0"	3589	3389	11684	23.60573976	1.801643912
CAM	"57.0, 132.0"	3528	3326	11550	24.04251701	1.836989796
CAM	"69.0, 138.0"	3504	3256	11315	24.2043379	1.780964612
CAM	"68.0, 132.0"	3412	3259	10416	24.87485346	1.839009379
CAM	"60.0, 115.0"	3384	3064	11553	25.07092199	1.734899527
CAM	"61.0, 137.0"	3195	3032	10425	26.58779343	1.877934272
CAM	"66.0, 125.0"	3132	2903	10776	27.13186462	2.003128991
CAM	"60.0, 119.0"	3113	2882	10323	27.28140058	1.753099904
CAM	"65.0, 128.0"	3107	2938	9570	27.35597039	1.881815256
CAM	"71.0, 133.0"	3014	2795	9333	28.199071	1.762806901
CAM	"64.0, 143.0"	2992	2840	10011	28.41911765	1.77513369
CAM	"65.0, 139.0"	2906	2737	8974	29.26496903	1.759325533
CAM	"60.0, 143.0"	2707	2605	8328	31.45807167	1.764499446
CAM	"66.0, 122.0"	2688	2490	8459	31.67113095	1.912202381
CAM	"57.0, 140.0"	2675	2529	8950	31.79364486	1.88717757
CAM	"55.0, 137.0"	2639	2490	8569	32.27093596	1.837779462
CAM	"73.0, 125.0"	2635	2423	7832	32.31461101	1.800455408
CAM	"66.0, 117.0"	2624	2427	8097	32.46303354	1.837385671
CAM	"58.0, 140.0"	2574	2361	8897	33.07264957	1.914180264
CAM	"64.0, 128.0"	2571	2414	7783	33.1201867	1.85554259
CAM	"52.0, 145.0"	2563	2352	10489	33.20795942	2.266172454
CAM	"67.0, 138.0"	2538	2342	8047	33.58550039	1.825492514
CAM	"66.0, 130.0"	2526	2292	8734	33.71615202	2.073396675
CAM	"75.0, 122.0"	2515	1909	11016	34.15427435	2.976620278
CAM	"58.0, 142.0"	2512	2368	7935	33.93232484	1.803781847
CAM	"66.0, 139.0"	2506	2354	7630	34.01197127	1.735235435
CAM	"70.0, 133.0"	2466	2252	7566	34.57218167	1.808394161
CAM	"54.0, 139.0"	2459	2305	8029	34.67263115	1.818747458
CAM	"61.0, 124.0"	2456	2287	7544	34.72923453	1.82487785
CAM	"68.0, 130.0"	2449	2256	7710	34.8280931	1.896120866
CAM	"55.0, 144.0"	2435	2299	8600	35.02053388	1.9862423
CAM	"61.0, 138.0"	2424	2286	7629	35.17821782	1.830115512
CAM	"68.0, 138.0"	2414	2251	7332	35.31441591	1.733305717
CAM	"60.0, 116.0"	2384	2141	7638	35.76719799	1.671728188
CAM	"56.0, 127.0"	2335	2117	17019	36.48222698	3.16248394
