County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
CAP	"111.0, 52.0"	1002	841	3707	85.49101796	2.555988024
CAP	"85.0, 12.0"	983	870	3728	88.24821974	2.583316378
CAP	"84.0, 11.0"	741	677	2545	117.9406208	2.467611336
CAP	"112.0, 53.0"	665	599	2367	129.393985	2.604511278
CAP	"71.0, 15.0"	648	531	2527	133.4737654	2.766975309
CAP	"70.0, 10.0"	639	491	3003	136.913928	2.982316119
CAP	"84.0, 24.0"	616	477	2065	138.9756494	2.199837662
CAP	"72.0, 17.0"	601	482	1994	143.0615641	2.456905158
CAP	"83.0, 10.0"	560	493	1900	153.425	2.338035714
CAP	"72.0, 16.0"	558	451	1700	155.688172	2.268458781
CAP	"112.0, 52.0"	532	469	1659	161.056391	2.262218045
CAP	"71.0, 11.0"	531	440	1565	163.2768362	2.201318267
CAP	"84.0, 25.0"	525	407	1573	163.087619	2.043619048
CAP	"86.0, 13.0"	523	465	1631	164.6577438	2.354684512
CAP	"87.0, 27.0"	518	297	2884	60.62548263	3.694594595
CAP	"84.0, 12.0"	511	458	1564	168.9804305	2.26555773
CAP	"73.0, 4.0"	504	403	1623	169.952381	2.087896825
CAP	"87.0, 14.0"	491	414	1442	174.8004073	2.231160896
CAP	"110.0, 51.0"	489	412	1401	176.1513292	2.134764826
CAP	"85.0, 11.0"	483	399	1813	178.1325052	2.26873706
CAP	"74.0, 5.0"	473	428	1409	181.8414376	2.130443975
CAP	"98.0, 35.0"	449	374	1376	191.1670379	2.132516704
CAP	"86.0, 46.0"	444	374	1683	194	2.556531532
CAP	"109.0, 50.0"	441	355	1207	194.3038549	1.910657596
CAP	"87.0, 13.0"	437	378	1426	194.9908467	2.290160183
CAP	"79.0, 15.0"	435	313	1070	198.3724138	1.837931034
CAP	"85.0, 25.0"	430	293	1364	193.2813953	2.121162791
CAP	"72.0, 18.0"	430	342	1184	198.2744186	2.075813953
CAP	"78.0, 15.0"	428	304	1088	201.1939252	1.796261682
CAP	"105.0, 53.0"	417	235	2002	192.0527578	3.27793765
CAP	"83.0, 25.0"	415	317	1131	206.6289157	1.941204819
CAP	"72.0, 15.0"	413	324	1111	207.8062954	2.051815981
CAP	"74.0, 13.0"	397	311	1094	215.138539	2.163476071
CAP	"85.0, 13.0"	397	324	1112	218.3803526	2.074307305
CAP	"103.0, 50.0"	391	298	1107	218.9641944	1.911764706
CAP	"71.0, 10.0"	391	315	997	222.9002558	1.933248082
CAP	"71.0, 12.0"	389	315	1068	221.7634961	2.088174807
CAP	"83.0, 24.0"	388	322	1147	220.7010309	2.154123711
CAP	"85.0, 46.0"	380	300	1057	223.7789474	2.070789474
CAP	"109.0, 51.0"	371	305	1018	230.4932615	2.070889488
CAP	"99.0, 44.0"	370	306	1076	230.4945946	2.19027027
CAP	"73.0, 12.0"	370	303	1045	234.7540541	2.217567568
CAP	"70.0, 11.0"	366	306	963	234.8961749	2.046721311
CAP	"70.0, 12.0"	356	293	941	243.1488764	2.022752809
CAP	"76.0, 6.0"	354	306	1065	253.3276836	2.361864407
CAP	"107.0, 48.0"	353	262	844	242.6515581	1.78470255
CAP	"83.0, 11.0"	350	295	964	245.6514286	2.08
CAP	"71.0, 16.0"	348	291	910	250.6781609	2.070114943
CAP	"91.0, 36.0"	345	275	901	249.1362319	2.009565217
CAP	"73.0, 10.0"	345	293	1041	251.0144928	2.236811594
CAP	"72.0, 9.0"	343	230	931	240.5685131	1.846355685
CAP	"113.0, 53.0"	340	284	988	252.0294118	2.166470588
CAP	"77.0, 16.0"	339	264	860	251.9144543	2.073746313
CAP	"81.0, 8.0"	334	284	986	260.2964072	2.036826347
CAP	"72.0, 11.0"	332	270	853	259.5210843	2.026807229
CAP	"73.0, 17.0"	323	268	829	264.9102167	1.978018576
CAP	"71.0, 14.0"	323	276	814	266.1393189	2.013622291
CAP	"91.0, 21.0"	318	252	781	268.5125786	1.824842767
CAP	"78.0, 14.0"	316	258	812	269.721519	1.953797468
CAP	"82.0, 9.0"	315	266	826	273.415873	1.986349206
CAP	"111.0, 51.0"	311	258	791	274.5434084	1.777170418
CAP	"93.0, 47.0"	310	242	805	277.4677419	1.938064516
CAP	"74.0, 4.0"	299	265	775	287.7123746	1.993645485
CAP	"85.0, 26.0"	298	205	673	285.0503356	1.693288591
CAP	"95.0, 42.0"	296	232	797	288.6081081	2.039864865
CAP	"81.0, 19.0"	293	237	708	290.7098976	1.962798635
CAP	"79.0, 16.0"	292	217	609	290.6164384	1.613013699
CAP	"95.0, 27.0"	292	219	704	291.4520548	1.749657534
CAP	"101.0, 48.0"	292	246	752	294.2328767	1.925342466
CAP	"87.0, 15.0"	292	237	682	295.9931507	1.841780822
CAP	"110.0, 52.0"	291	253	709	294.7697595	1.924742268
CAP	"104.0, 51.0"	291	216	913	295.7560137	2.500343643
CAP	"98.0, 34.0"	288	230	672	294.9965278	1.798611111
CAP	"86.0, 12.0"	288	237	696	295.8784722	1.793055556
CAP	"102.0, 49.0"	283	223	632	301.8621908	1.801060071
CAP	"97.0, 43.0"	282	215	639	302.8758865	1.682978723
CAP	"74.0, 8.0"	279	230	705	304.8673835	2.039426523
CAP	"113.0, 54.0"	278	241	776	307.5431655	2.092446043
CAP	"108.0, 50.0"	276	230	643	309.4927536	1.840942029
CAP	"83.0, 12.0"	275	177	582	310.0109091	1.640727273
CAP	"75.0, 5.0"	271	244	678	315.8929889	1.978597786
CAP	"89.0, 37.0"	267	204	626	321.8913858	1.788764045
CAP	"83.0, 23.0"	264	204	755	320.5871212	2.011363636
CAP	"81.0, 25.0"	264	220	689	324.6439394	1.910606061
CAP	"80.0, 18.0"	263	203	570	325.5969582	1.662737643
CAP	"94.0, 49.0"	262	165	1313	308.9236641	3.614122137
CAP	"73.0, 18.0"	260	213	612	329.1653846	1.899615385
CAP	"84.0, 13.0"	259	220	625	331.6718147	1.871814672
CAP	"98.0, 46.0"	258	203	616	333.0542636	1.873255814
CAP	"111.0, 53.0"	257	220	598	335.3891051	1.875097276
CAP	"74.0, 21.0"	256	207	591	332.7851563	1.797265625
CAP	"80.0, 16.0"	256	210	576	336.15625	1.82578125
CAP	"75.0, 6.0"	255	187	550	327.0392157	1.674509804
CAP	"100.0, 47.0"	255	202	552	334.0078431	1.711764706
CAP	"106.0, 48.0"	253	207	576	338.0869565	1.790118577
CAP	"104.0, 45.0"	253	209	568	340.0869565	1.780632411
CAP	"98.0, 44.0"	248	190	576	347.4314516	1.838306452
CAP	"85.0, 47.0"	247	196	473	345.6437247	1.546153846
CAP	"73.0, 19.0"	245	199	558	349.4040816	1.801632653
CAP	"84.0, 46.0"	245	197	494	349.7918367	1.631836735
CAP	"73.0, 16.0"	244	200	512	353.3032787	1.71557377
CAP	"86.0, 29.0"	243	188	555	353.308642	1.722633745
CAP	"73.0, 13.0"	241	189	548	354.6556017	1.834854772
CAP	"78.0, 16.0"	240	180	560	355.25	1.825416667
CAP	"79.0, 26.0"	240	189	558	356.8708333	1.757916667
CAP	"79.0, 20.0"	237	181	549	363.5147679	1.730801688
CAP	"81.0, 9.0"	236	203	558	362.6652542	1.795338983
CAP	"71.0, 17.0"	233	192	498	371.751073	1.735622318
CAP	"87.0, 28.0"	231	144	708	283.2857143	2.130735931
CAP	"87.0, 16.0"	230	190	520	370.1652174	1.860434783
CAP	"97.0, 33.0"	230	178	468	372.3434783	1.63826087
CAP	"75.0, 4.0"	228	178	568	372.2324561	1.727192982
CAP	"96.0, 43.0"	227	180	494	379.4581498	1.775330396
CAP	"72.0, 5.0"	227	201	520	384.4361233	1.762114537
CAP	"93.0, 36.0"	225	178	474	380.0133333	1.678666667
CAP	"71.0, 13.0"	224	185	506	386.0178571	1.808928571
CAP	"105.0, 52.0"	223	177	488	383.5919283	1.711659193
CAP	"70.0, 14.0"	221	184	478	385.9366516	1.792307692
CAP	"77.0, 18.0"	220	180	490	393.4090909	1.818636364
CAP	"96.0, 41.0"	219	169	493	392.2648402	1.644748858
CAP	"83.0, 22.0"	217	165	421	394.5990783	1.533640553
CAP	"102.0, 48.0"	216	167	467	394.7037037	1.637962963
CAP	"102.0, 50.0"	214	172	439	398.7242991	1.628037383
CAP	"80.0, 19.0"	214	168	479	399.9158879	1.763551402
CAP	"80.0, 24.0"	212	172	479	400.0283019	1.71745283
CAP	"97.0, 42.0"	210	143	425	404.5285714	1.472857143
CAP	"92.0, 37.0"	209	158	415	407.9425837	1.625358852
CAP	"108.0, 49.0"	208	164	457	402.3317308	1.783653846
CAP	"74.0, 19.0"	208	160	426	412.5480769	1.698557692
CAP	"72.0, 13.0"	207	159	399	422.3961353	1.562318841
CAP	"107.0, 49.0"	206	158	417	416.6553398	1.658252427
CAP	"77.0, 14.0"	205	157	411	412.7121951	1.64097561
CAP	"82.0, 22.0"	205	142	417	417.5756098	1.586341463
CAP	"71.0, 9.0"	204	172	411	428.0343137	1.648529412
CAP	"73.0, 7.0"	203	156	431	418.2216749	1.697044335
CAP	"88.0, 36.0"	202	159	428	422.0940594	1.739108911
CAP	"76.0, 13.0"	202	158	399	425.2376238	1.608910891
CAP	"80.0, 23.0"	201	157	455	428.2587065	1.64079602
CAP	"96.0, 49.0"	199	151	384	425.8442211	1.596482412
CAP	"70.0, 13.0"	198	154	381	429.2171717	1.574242424
CAP	"82.0, 20.0"	198	164	454	433.1818182	1.757070707
CAP	"83.0, 33.0"	197	153	360	433.4365482	1.530964467
CAP	"72.0, 8.0"	196	166	395	434.2193878	1.604081633
CAP	"104.0, 50.0"	196	150	350	437.4438776	1.498469388
CAP	"86.0, 24.0"	193	165	361	438.7512953	1.519170984
CAP	"70.0, 15.0"	192	160	383	445.8177083	1.679166667
CAP	"77.0, 22.0"	192	151	404	446.8802083	1.604166667
CAP	"94.0, 48.0"	191	145	355	448.2984293	1.536125654
CAP	"90.0, 54.0"	188	144	329	455.1329787	1.47287234
CAP	"86.0, 14.0"	187	162	404	452.8609626	1.857754011
CAP	"85.0, 37.0"	186	143	384	445.7741935	1.607526882
CAP	"101.0, 47.0"	186	138	362	461.7526882	1.546236559
CAP	"86.0, 47.0"	184	142	316	465.451087	1.430434783
CAP	"83.0, 27.0"	184	142	355	466.8478261	1.507608696
CAP	"105.0, 45.0"	183	146	364	470.1803279	1.662295082
