County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
CUM	"60.0, 73.0"	6914	6733	25451	12.05004339	2.594272491
CUM	"61.0, 72.0"	4865	4703	16829	17.30955807	2.428920863
CUM	"60.0, 81.0"	3311	3203	10586	25.62881305	2.097009967
CUM	"65.0, 80.0"	3310	3170	10668	25.64622356	2.084441088
CUM	"60.0, 72.0"	3053	2960	9784	27.84965608	2.285882738
CUM	"61.0, 81.0"	2488	2288	8413	34.24879421	2.018609325
CUM	"39.0, 72.0"	2295	2226	7900	37.18039216	2.188235294
CUM	"62.0, 80.0"	2223	2075	7636	38.39721098	1.998740441
CUM	"61.0, 68.0"	2182	2083	6876	39.08890926	2.066727773
CUM	"69.0, 80.0"	2178	2062	6541	39.2056933	1.911157025
CUM	"40.0, 73.0"	2129	2057	7225	40.13386566	2.210897135
CUM	"62.0, 81.0"	2004	1858	6392	42.56387226	1.888373253
CUM	"63.0, 81.0"	1946	1822	5950	43.89003083	1.834532374
CUM	"61.0, 69.0"	1900	1782	6097	45.00421053	2.048263158
CUM	"60.0, 82.0"	1692	1615	4830	50.59456265	1.898167849
CUM	"63.0, 80.0"	1670	1578	5064	51.18982036	1.889161677
CUM	"60.0, 75.0"	1650	1564	5007	51.86969697	1.930424242
CUM	"40.0, 74.0"	1565	1483	4988	54.66517572	2.018658147
CUM	"67.0, 79.0"	1484	1385	4130	57.74730458	1.813948787
CUM	"67.0, 51.0"	1475	1301	4229	58.11254237	2.080271186
CUM	"59.0, 68.0"	1442	1356	4653	59.42371706	2.085159501
CUM	"42.0, 78.0"	1409	1384	3953	60.85166785	2.012562101
CUM	"42.0, 76.0"	1385	1360	3877	61.84404332	2.012924188
CUM	"41.0, 74.0"	1374	1305	4001	62.37481805	1.958733624
CUM	"42.0, 77.0"	1369	1358	3921	62.57633309	1.944631118
CUM	"61.0, 70.0"	1361	1274	4013	63.00073475	1.909037472
CUM	"60.0, 68.0"	1344	1257	3987	63.78645833	1.923958333
CUM	"65.0, 82.0"	1331	1223	3627	64.43726521	1.712396694
CUM	"63.0, 79.0"	1272	1168	3920	67.3341195	1.897484277
CUM	"67.0, 77.0"	1211	1113	3261	70.8538398	1.76597853
CUM	"59.0, 74.0"	1174	1095	4768	73.02129472	2.277342419
CUM	"64.0, 80.0"	1098	1007	2929	78.05191257	1.690163934
CUM	"61.0, 80.0"	1083	1012	2827	79.06001847	1.709510619
CUM	"60.0, 69.0"	1054	986	3015	81.36622391	1.94943074
CUM	"60.0, 80.0"	1050	989	2637	81.72952381	1.703904762
CUM	"39.0, 73.0"	1043	994	2682	82.34036433	1.759731544
CUM	"66.0, 80.0"	1033	839	3684	82.81122943	2.041045499
CUM	"62.0, 70.0"	1010	930	2934	84.97524752	1.827722772
CUM	"59.0, 67.0"	997	919	2538	86.11835507	1.791173521
CUM	"61.0, 71.0"	986	914	2504	87.12880325	1.75020284
CUM	"63.0, 65.0"	981	882	2388	87.51987768	1.773190622
CUM	"40.0, 65.0"	909	846	2302	94.33223322	1.851815182
CUM	"60.0, 79.0"	901	834	2338	95.28079911	1.665371809
CUM	"38.0, 72.0"	870	820	2496	98.78735632	1.937471264
CUM	"65.0, 79.0"	866	799	1994	99.2517321	1.572632794
CUM	"64.0, 79.0"	835	742	1981	102.9724551	1.554251497
CUM	"59.0, 81.0"	818	779	1955	104.9535452	1.68594132
CUM	"63.0, 68.0"	810	678	2342	105.937037	1.815432099
CUM	"60.0, 83.0"	810	750	1949	105.982716	1.608518519
CUM	"56.0, 69.0"	790	747	1867	108.721519	1.759620253
CUM	"64.0, 81.0"	770	707	2089	111.5025974	1.750649351
CUM	"36.0, 74.0"	766	728	1890	112.1357702	1.643211488
CUM	"62.0, 69.0"	763	696	1730	112.4010485	1.600524246
CUM	"73.0, 80.0"	748	674	1678	114.8128342	1.521657754
CUM	"62.0, 82.0"	745	661	1720	115.5275168	1.49409396
CUM	"60.0, 67.0"	744	693	1694	115.3763441	1.627150538
CUM	"62.0, 71.0"	741	679	1695	115.9230769	1.625775978
CUM	"68.0, 79.0"	736	610	2025	115.8994565	1.636413043
CUM	"66.0, 77.0"	730	667	1626	117.4917808	1.596712329
CUM	"41.0, 75.0"	727	677	1652	118.0316369	1.584181568
CUM	"62.0, 66.0"	718	642	1663	119.632312	1.59178273
CUM	"60.0, 78.0"	712	645	1557	120.8188202	1.593960674
CUM	"63.0, 83.0"	710	625	1768	120.4802817	1.585633803
CUM	"61.0, 82.0"	707	639	1872	121.2432815	1.658698727
CUM	"64.0, 82.0"	699	594	1751	122.0586552	1.580257511
CUM	"67.0, 57.0"	687	606	1537	125.0276565	1.68573508
CUM	"60.0, 86.0"	682	636	1678	125.5322581	1.557331378
CUM	"66.0, 84.0"	675	609	1474	126.4844444	1.452888889
CUM	"64.0, 78.0"	659	565	1425	130.323217	1.481335357
CUM	"38.0, 73.0"	655	608	1409	131.2534351	1.566259542
CUM	"62.0, 68.0"	645	561	1667	133.4775194	1.779069767
CUM	"65.0, 81.0"	644	574	1376	133.6273292	1.468478261
CUM	"60.0, 77.0"	633	561	1354	135.6066351	1.498262243
CUM	"47.0, 77.0"	627	601	1408	137.1323764	1.6738437
CUM	"38.0, 74.0"	622	520	2530	137.8488746	1.995016077
CUM	"61.0, 79.0"	617	556	1508	139.4797407	1.666612642
CUM	"40.0, 72.0"	616	574	1415	139.4512987	1.636363636
CUM	"58.0, 68.0"	608	547	1269	141.5822368	1.520230263
CUM	"63.0, 82.0"	599	529	1283	143.557596	1.47345576
CUM	"41.0, 66.0"	593	541	1281	144.2799325	1.584822934
CUM	"62.0, 79.0"	591	524	1399	145.2673435	1.621827411
CUM	"43.0, 72.0"	586	482	1327	146.4982935	1.561774744
CUM	"60.0, 70.0"	585	525	1214	146.5606838	1.509401709
CUM	"63.0, 75.0"	580	514	1164	147.9896552	1.514655172
CUM	"65.0, 83.0"	578	510	1121	148.5484429	1.357612457
CUM	"36.0, 69.0"	555	515	1160	155.0846847	1.618378378
CUM	"69.0, 76.0"	553	476	1211	155.5189873	1.529837251
CUM	"59.0, 80.0"	548	477	1280	156.3576642	1.514051095
CUM	"65.0, 78.0"	535	465	1311	159.8317757	1.559439252
CUM	"40.0, 71.0"	532	487	1346	161.5845865	1.738721805
CUM	"65.0, 76.0"	526	450	1359	162.8574144	1.669961977
CUM	"66.0, 82.0"	524	451	1281	164.3167939	1.546755725
CUM	"58.0, 66.0"	523	460	1210	163.5678776	1.644741874
CUM	"40.0, 75.0"	521	460	1059	163.78119	1.577543186
CUM	"60.0, 71.0"	520	481	1149	165.1923077	1.589038462
CUM	"66.0, 78.0"	519	452	1232	165.3063584	1.568400771
CUM	"57.0, 69.0"	517	467	999	165.8858801	1.48549323
CUM	"63.0, 73.0"	512	423	1160	166.703125	1.544726562
CUM	"62.0, 58.0"	509	442	1256	168.4656189	1.807072692
CUM	"61.0, 73.0"	509	466	1010	169.0962672	1.489587426
CUM	"57.0, 81.0"	508	484	1113	169.4724409	1.530511811
CUM	"65.0, 77.0"	504	428	1017	169.7936508	1.484722222
CUM	"60.0, 74.0"	501	445	897	171.5608782	1.359680639
CUM	"42.0, 70.0"	494	397	1903	157.402834	2.193117409
CUM	"62.0, 83.0"	493	395	1049	174.5638945	1.414198783
CUM	"66.0, 76.0"	488	404	968	175.6803279	1.46045082
CUM	"61.0, 67.0"	484	431	1112	176.464876	1.599173554
CUM	"58.0, 81.0"	474	431	1009	181.5632911	1.462869198
CUM	"70.0, 88.0"	469	420	896	183.347548	1.269722814
CUM	"61.0, 78.0"	468	402	1140	183.7564103	1.549786325
CUM	"64.0, 83.0"	465	407	1145	184.4494624	1.572258065
CUM	"58.0, 82.0"	462	387	1051	185.6861472	1.471645022
CUM	"38.0, 71.0"	462	410	1019	186.3506494	1.5495671
CUM	"63.0, 84.0"	450	378	1022	191.1888889	1.461777778
CUM	"66.0, 79.0"	443	382	849	193.8600451	1.38013544
CUM	"43.0, 77.0"	443	413	861	194.462754	1.475395034
CUM	"63.0, 69.0"	440	384	1028	195.6954545	1.823636364
CUM	"70.0, 80.0"	437	380	839	196.3340961	1.390617849
CUM	"65.0, 67.0"	433	364	821	197.6974596	1.439722864
CUM	"60.0, 84.0"	427	375	795	200.852459	1.339578454
CUM	"63.0, 76.0"	426	371	714	201.657277	1.307981221
CUM	"61.0, 83.0"	422	370	909	203.6540284	1.41563981
CUM	"37.0, 74.0"	421	370	793	204.2042755	1.410688836
CUM	"68.0, 84.0"	420	373	793	204.2547619	1.331904762
CUM	"57.0, 67.0"	411	349	966	208.6374696	1.660827251
CUM	"62.0, 74.0"	408	346	769	210.7132353	1.459313725
CUM	"64.0, 67.0"	401	337	744	213.4189526	1.416209476
CUM	"61.0, 77.0"	400	373	740	214.715	1.391
CUM	"42.0, 74.0"	395	335	638	217.2227848	1.293164557
CUM	"43.0, 59.0"	394	347	679	215.4771574	1.400761421
CUM	"64.0, 63.0"	394	343	962	217.1269036	1.647208122
CUM	"55.0, 66.0"	393	335	848	218.9185751	1.578880407
CUM	"44.0, 72.0"	384	328	738	222.59375	1.4578125
CUM	"66.0, 75.0"	384	324	782	223.3828125	1.498697917
CUM	"60.0, 76.0"	383	322	780	222.0078329	1.440208877
CUM	"43.0, 78.0"	382	319	706	224.3560209	1.378795812
CUM	"62.0, 52.0"	379	320	847	226.1002639	1.545118734
CUM	"62.0, 59.0"	378	320	776	225.3862434	1.577513228
CUM	"58.0, 84.0"	378	352	706	227.5608466	1.357142857
CUM	"41.0, 83.0"	373	301	839	230.7399464	1.543699732
CUM	"40.0, 76.0"	372	302	675	229.7553763	1.329569892
CUM	"42.0, 73.0"	371	312	735	231.2749326	1.542587601
CUM	"57.0, 68.0"	371	333	672	231.7924528	1.353908356
CUM	"61.0, 47.0"	370	325	829	232.7648649	1.554594595
CUM	"66.0, 53.0"	369	314	960	224.3685637	1.746070461
CUM	"40.0, 70.0"	359	312	612	238.8941504	1.305849582
CUM	"65.0, 71.0"	359	301	705	239.3816156	1.443454039
CUM	"67.0, 76.0"	359	309	764	239.5181058	1.48913649
CUM	"64.0, 70.0"	357	306	585	241.3613445	1.311484594
CUM	"55.0, 68.0"	353	283	743	243.7988669	1.568555241
CUM	"39.0, 71.0"	348	301	695	245.4597701	1.484770115
CUM	"43.0, 67.0"	348	294	699	246.0545977	1.444252874
CUM	"68.0, 77.0"	347	294	768	244.4207493	1.493371758
CUM	"59.0, 79.0"	347	291	688	246.6974063	1.437752161
CUM	"62.0, 88.0"	345	285	608	249.3681159	1.210144928
CUM	"67.0, 78.0"	341	290	610	252.5102639	1.329032258
CUM	"64.0, 68.0"	338	284	664	253.1893491	1.513905325
CUM	"41.0, 72.0"	336	265	629	254.9583333	1.407142857
CUM	"62.0, 47.0"	336	292	557	255.9285714	1.37172619
CUM	"61.0, 59.0"	334	285	689	256.8892216	1.524251497
CUM	"64.0, 69.0"	333	277	670	257.7867868	1.484084084
CUM	"61.0, 60.0"	333	281	599	258.2702703	1.414414414
CUM	"66.0, 49.0"	330	263	551	260.6515152	1.345151515
CUM	"67.0, 75.0"	327	284	833	257.2782875	1.510703364
CUM	"61.0, 46.0"	327	282	602	260.9541284	1.470336391
CUM	"36.0, 73.0"	320	271	617	266.478125	1.3534375
CUM	"41.0, 71.0"	318	272	636	269.2830189	1.482389937
CUM	"58.0, 75.0"	316	296	570	269.8575949	1.378481013
CUM	"39.0, 78.0"	316	244	561	272.0443038	1.301898734
CUM	"41.0, 82.0"	315	250	626	267.6285714	1.448888889
CUM	"68.0, 75.0"	315	256	603	270.9904762	1.443809524
CUM	"48.0, 80.0"	314	274	493	271.7229299	1.242993631
CUM	"59.0, 88.0"	312	255	559	273.0512821	1.278205128
CUM	"41.0, 73.0"	312	261	512	273.4038462	1.27724359
CUM	"70.0, 77.0"	312	260	511	274.6121795	1.276282051
CUM	"63.0, 78.0"	312	254	547	274.6923077	1.336538462
CUM	"39.0, 86.0"	311	299	531	276.3247588	1.386495177
CUM	"71.0, 82.0"	310	238	516	275.6064516	1.229032258
CUM	"51.0, 79.0"	307	243	566	278.8827362	1.366449511
CUM	"66.0, 71.0"	306	249	604	280.5522876	1.533333333
CUM	"65.0, 73.0"	305	258	487	277.5213115	1.277704918
CUM	"35.0, 74.0"	303	274	547	283.8052805	1.383168317
CUM	"59.0, 66.0"	303	264	575	283.990099	1.397689769
CUM	"64.0, 75.0"	301	250	508	283.5813953	1.321594684
CUM	"27.0, 67.0"	300	273	535	283.7533333	1.391666667
CUM	"62.0, 75.0"	300	274	603	285.2233333	1.397
CUM	"42.0, 71.0"	300	257	601	286.4366667	1.505333333
CUM	"67.0, 80.0"	299	253	732	279.7391304	1.503010033
CUM	"62.0, 77.0"	298	251	483	286.590604	1.259731544
CUM	"64.0, 84.0"	298	232	529	287.5369128	1.286241611
CUM	"58.0, 79.0"	298	237	556	287.7583893	1.366107383
CUM	"32.0, 77.0"	298	250	517	288.8926174	1.317114094
CUM	"38.0, 78.0"	298	245	541	288.9362416	1.352684564
CUM	"57.0, 82.0"	296	258	485	288.8108108	1.231081081
CUM	"70.0, 73.0"	296	238	540	289.472973	1.445945946
CUM	"39.0, 77.0"	294	250	534	292.707483	1.402380952
CUM	"68.0, 81.0"	293	245	560	292.887372	1.359044369
CUM	"67.0, 81.0"	292	247	548	294.1130137	1.360616438
CUM	"29.0, 81.0"	285	263	445	302.3017544	1.301754386
CUM	"64.0, 73.0"	282	227	495	302.8865248	1.397163121
CUM	"62.0, 72.0"	278	235	423	310.0467626	1.244964029
CUM	"59.0, 84.0"	277	232	438	310.3935018	1.211552347
CUM	"43.0, 79.0"	276	229	443	309.2101449	1.264130435
CUM	"37.0, 75.0"	276	235	474	310.7355072	1.308333333
CUM	"42.0, 83.0"	276	224	559	310.7463768	1.505797101
CUM	"51.0, 80.0"	271	236	458	315.6531365	1.324723247
CUM	"59.0, 75.0"	271	247	490	316.5313653	1.307749077
CUM	"60.0, 59.0"	270	227	515	315.837037	1.497777778
CUM	"62.0, 86.0"	269	218	599	312.1263941	1.367657993
CUM	"67.0, 82.0"	269	220	497	320.2453532	1.319330855
CUM	"45.0, 82.0"	268	213	416	319.7313433	1.268656716
CUM	"50.0, 65.0"	268	226	477	320.2276119	1.417164179
CUM	"59.0, 82.0"	266	221	466	317.8571429	1.339849624
CUM	"63.0, 66.0"	266	227	397	323.0827068	1.260150376
CUM	"68.0, 76.0"	265	217	447	319.509434	1.304528302
CUM	"44.0, 75.0"	264	212	460	321.5681818	1.381818182
CUM	"64.0, 86.0"	262	214	482	325.9122137	1.323664122
CUM	"66.0, 73.0"	262	215	442	327.6412214	1.346564885
CUM	"36.0, 70.0"	262	238	483	328.8664122	1.344274809
CUM	"60.0, 90.0"	261	206	519	325.6743295	1.384291188
CUM	"38.0, 79.0"	261	203	444	326.7854406	1.344061303
CUM	"66.0, 81.0"	258	227	437	331.2945736	1.315116279
CUM	"61.0, 84.0"	258	209	441	331.7868217	1.279069767
CUM	"62.0, 62.0"	258	214	494	332.6007752	1.483333333
CUM	"61.0, 66.0"	257	227	412	332.5330739	1.261089494
CUM	"65.0, 74.0"	257	197	456	333.4357977	1.392607004
CUM	"63.0, 74.0"	257	200	422	333.4708171	1.334241245
CUM	"67.0, 84.0"	256	214	408	333.4882813	1.18828125
CUM	"55.0, 70.0"	255	207	478	335	1.452156863
CUM	"61.0, 85.0"	255	203	446	337.8078431	1.32627451
CUM	"67.0, 83.0"	252	204	458	340.2222222	1.271825397
CUM	"59.0, 90.0"	251	197	459	340.1354582	1.3187251
CUM	"45.0, 72.0"	249	195	484	342.3975904	1.400803213
CUM	"62.0, 76.0"	244	194	426	350.6229508	1.285245902
CUM	"47.0, 72.0"	242	197	443	351.9876033	1.386363636
CUM	"69.0, 75.0"	233	194	411	366.0429185	1.340343348
CUM	"48.0, 71.0"	232	185	414	367.7241379	1.427586207
CUM	"69.0, 45.0"	229	189	322	374.6462882	1.248908297
CUM	"26.0, 66.0"	228	213	441	377.754386	1.476315789
CUM	"62.0, 67.0"	226	185	365	376.4646018	1.322123894
CUM	"44.0, 77.0"	226	181	380	378.6283186	1.312389381
CUM	"57.0, 65.0"	224	195	434	381.4196429	1.472767857
CUM	"48.0, 77.0"	221	145	572	374.8778281	1.605882353
CUM	"34.0, 75.0"	213	180	347	402.0046948	1.244600939
CUM	"76.0, 80.0"	213	192	314	404.3333333	1.182629108
CUM	"63.0, 77.0"	212	169	320	398.4245283	1.263207547
CUM	"61.0, 58.0"	212	173	354	403.6698113	1.31509434
CUM	"59.0, 78.0"	212	177	346	405.1556604	1.265566038
CUM	"62.0, 65.0"	211	181	307	407.7440758	1.228436019
CUM	"60.0, 85.0"	210	200	308	408.7761905	1.167619048
CUM	"53.0, 71.0"	209	167	351	408.7607656	1.353110048
CUM	"56.0, 67.0"	207	167	340	411.3333333	1.344927536
CUM	"57.0, 66.0"	207	176	306	415.5120773	1.212560386
CUM	"61.0, 75.0"	207	160	339	416.4444444	1.294202899
CUM	"61.0, 87.0"	206	169	352	403.6650485	1.260194175
CUM	"63.0, 54.0"	205	176	319	414.8926829	1.280487805
CUM	"66.0, 86.0"	204	160	317	421.7647059	1.177941176
CUM	"46.0, 47.0"	203	173	284	422.1477833	1.239901478
CUM	"42.0, 72.0"	203	155	310	422.635468	1.261576355
CUM	"69.0, 79.0"	202	176	298	425.5148515	1.215841584
CUM	"63.0, 70.0"	201	165	302	419.7562189	1.250746269
CUM	"50.0, 80.0"	199	157	315	428.5326633	1.24321608
CUM	"63.0, 87.0"	196	158	335	438.3163265	1.250510204
CUM	"68.0, 74.0"	194	165	309	440.7628866	1.25257732
CUM	"41.0, 70.0"	194	157	323	443.7835052	1.245876289
CUM	"59.0, 71.0"	193	162	285	439.5284974	1.213471503
CUM	"65.0, 68.0"	193	158	308	439.9585492	1.292227979
CUM	"61.0, 89.0"	192	110	279	442.6979167	1.146354167
CUM	"31.0, 88.0"	190	162	344	445.7947368	1.388947368
CUM	"64.0, 74.0"	187	142	271	458.7272727	1.237967914
CUM	"41.0, 76.0"	185	151	275	457.5243243	1.243243243
CUM	"41.0, 51.0"	185	156	313	461.9351351	1.415675676
CUM	"61.0, 48.0"	185	155	248	466.227027	1.196216216
CUM	"65.0, 69.0"	183	137	280	456.9836066	1.261748634
CUM	"60.0, 60.0"	182	148	302	462.9175824	1.336813187
CUM	"62.0, 60.0"	182	143	259	466.8736264	1.25
CUM	"38.0, 76.0"	182	148	287	473.2087912	1.251648352
CUM	"65.0, 86.0"	181	123	276	467.7348066	1.218232044
CUM	"41.0, 86.0"	181	155	249	470.1767956	1.191712707
CUM	"65.0, 66.0"	181	152	283	472.4640884	1.293370166
CUM	"40.0, 85.0"	181	168	253	474.1049724	1.19281768
CUM	"67.0, 49.0"	179	149	308	476.2681564	1.39273743
CUM	"62.0, 48.0"	178	155	240	481.3089888	1.18988764
CUM	"36.0, 75.0"	178	148	302	481.4662921	1.274157303
CUM	"38.0, 75.0"	178	142	279	483.2022472	1.235955056
CUM	"74.0, 80.0"	177	146	262	485.5254237	1.197175141
CUM	"56.0, 73.0"	176	137	277	483.8636364	1.306818182
CUM	"50.0, 63.0"	176	132	300	486.5738636	1.402840909
CUM	"58.0, 67.0"	175	149	284	482.2914286	1.294857143
CUM	"61.0, 86.0"	175	142	274	486.1542857	1.226857143
CUM	"51.0, 78.0"	175	135	342	490.2114286	1.397142857
CUM	"52.0, 73.0"	174	151	279	483.5862069	1.211494253
CUM	"66.0, 87.0"	173	116	271	493.3641618	1.220809249
CUM	"69.0, 77.0"	171	131	273	493.4269006	1.271345029
CUM	"62.0, 87.0"	171	123	318	494.1052632	1.316374269
CUM	"67.0, 50.0"	171	136	272	499.6081871	1.342690058
CUM	"41.0, 67.0"	170	135	238	499.7705882	1.223529412
CUM	"41.0, 77.0"	170	137	253	501.9117647	1.254117647
CUM	"65.0, 84.0"	170	136	240	503.8529412	1.165882353
CUM	"68.0, 46.0"	168	144	548	168.5654762	2.096428571
CUM	"66.0, 47.0"	168	145	261	501.7559524	1.317857143
CUM	"47.0, 60.0"	168	132	246	507.6607143	1.310119048
CUM	"64.0, 77.0"	168	135	243	507.797619	1.156547619
CUM	"63.0, 67.0"	166	129	323	507.6626506	1.386746988
CUM	"47.0, 82.0"	166	129	256	513.0361446	1.253614458
CUM	"39.0, 76.0"	165	133	250	503.0545455	1.216363636
CUM	"54.0, 51.0"	162	133	262	524.654321	1.361728395
CUM	"68.0, 82.0"	162	113	293	525.1419753	1.332098765
CUM	"69.0, 88.0"	162	147	213	529.9814815	1.090740741
CUM	"42.0, 75.0"	161	126	223	531.3291925	1.18447205
CUM	"36.0, 72.0"	160	134	241	525.9875	1.221875
CUM	"50.0, 79.0"	160	126	306	536.23125	1.37875
CUM	"60.0, 89.0"	159	126	249	520.0628931	1.228930818
CUM	"42.0, 81.0"	159	141	254	537.3081761	1.216981132
CUM	"65.0, 53.0"	158	122	227	526.5696203	1.237974684
CUM	"63.0, 86.0"	157	123	248	523.1719745	1.215286624
CUM	"75.0, 82.0"	157	124	235	542.4394904	1.201910828
CUM	"68.0, 47.0"	155	134	526	179.8193548	2.172258065
CUM	"63.0, 57.0"	155	132	222	551.2967742	1.238709677
CUM	"63.0, 58.0"	155	128	233	553.4064516	1.229677419
CUM	"58.0, 90.0"	155	100	230	556.1096774	1.173548387
CUM	"59.0, 76.0"	154	116	228	553.012987	1.235064935
CUM	"65.0, 59.0"	154	137	399	559.4415584	1.598701299
