County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
ESS	"155.0, 253.0"	30433	30075	203386	2.418065915	3.563148556
ESS	"154.0, 248.0"	29836	29244	207512	2.476571927	3.455272154
ESS	"155.0, 254.0"	16767	16527	87681	4.720164609	2.806262301
ESS	"134.0, 254.0"	14538	14367	57678	5.50825423	2.181386711
ESS	"157.0, 252.0"	12868	12516	64023	6.273313646	2.79865558
ESS	"150.0, 264.0"	12641	12496	48685	6.395063682	2.427482003
ESS	"157.0, 265.0"	10378	9939	43582	7.884178069	2.388427443
ESS	"156.0, 252.0"	10376	10138	45451	7.884637625	2.51440825
ESS	"153.0, 254.0"	9426	9321	37323	8.722681944	2.340526204
ESS	"135.0, 259.0"	8877	8802	30125	9.291201983	2.076084263
ESS	"154.0, 267.0"	7704	7412	29189	10.77375389	2.175025961
ESS	"149.0, 250.0"	7665	7512	29425	10.82178735	2.197403783
ESS	"154.0, 253.0"	7320	7197	29596	11.35273224	2.278551913
ESS	"156.0, 253.0"	7247	6863	35032	11.50517455	2.554049952
ESS	"156.0, 264.0"	7245	6949	26654	11.48046929	2.196922015
ESS	"155.0, 256.0"	6956	6828	27671	11.9713916	2.268372628
ESS	"146.0, 261.0"	6914	6846	22958	12.051779	2.192363321
ESS	"151.0, 268.0"	6774	6534	25002	12.30528491	2.11275465
ESS	"150.0, 250.0"	6323	6194	24407	13.21730191	2.163893721
ESS	"158.0, 261.0"	6125	5760	22625	13.65044898	2.161338776
ESS	"149.0, 252.0"	6122	6023	22299	13.66122182	2.133306109
ESS	"153.0, 249.0"	6098	5945	22093	13.7236799	2.137684487
ESS	"152.0, 261.0"	6003	5852	21406	13.9488589	2.110594703
ESS	"155.0, 252.0"	5877	5740	21619	14.25182916	2.140820146
ESS	"150.0, 256.0"	5727	5643	20268	14.63471276	2.226907631
ESS	"144.0, 275.0"	5661	5420	18800	14.81964317	1.956103162
ESS	"154.0, 255.0"	5653	5573	20602	14.84486114	2.10254732
ESS	"155.0, 257.0"	5641	5506	22877	14.87112214	2.183956745
ESS	"154.0, 259.0"	5583	5461	19852	15.01791152	2.168619022
ESS	"149.0, 258.0"	5477	5414	18197	15.32864707	2.126821253
ESS	"156.0, 259.0"	5397	5214	22039	15.55882898	2.162886789
ESS	"148.0, 268.0"	5350	5216	17723	15.70504673	2.048990654
ESS	"151.0, 256.0"	5296	5192	19751	15.8733006	2.155249245
ESS	"148.0, 259.0"	5194	5136	16857	16.18656142	2.095494802
ESS	"154.0, 252.0"	5162	5044	18510	16.29155366	2.123595506
ESS	"148.0, 258.0"	5143	4917	18474	16.36476765	2.13301575
ESS	"148.0, 252.0"	5121	4998	20406	16.4204257	2.128139035
ESS	"151.0, 264.0"	5027	4809	17292	16.74318679	2.077760095
ESS	"147.0, 253.0"	4952	4834	18837	17.00020194	2.197354604
ESS	"150.0, 252.0"	4942	4840	17564	17.02691218	2.102286524
ESS	"154.0, 258.0"	4923	4825	17793	17.09465773	2.115701808
ESS	"148.0, 272.0"	4909	4690	16286	17.15502139	1.918455897
ESS	"138.0, 251.0"	4826	4529	15559	17.44343141	1.754185661
ESS	"153.0, 263.0"	4761	4624	15719	17.69943289	2.079059021
ESS	"150.0, 258.0"	4681	4602	15851	18.01132237	2.133838923
ESS	"151.0, 257.0"	4648	4526	17225	18.14328744	2.069298623
ESS	"158.0, 262.0"	4599	4328	16255	18.32876712	2.061687323
ESS	"153.0, 259.0"	4597	4502	15276	18.33239069	2.09121166
ESS	"144.0, 273.0"	4593	4455	14715	18.35728282	1.957086871
ESS	"149.0, 257.0"	4487	4416	14682	18.8043236	2.122219746
ESS	"156.0, 251.0"	4443	4291	16007	18.99189737	2.075219446
ESS	"140.0, 252.0"	4426	4317	15309	19.0768188	1.876208766
ESS	"154.0, 260.0"	4416	4296	15278	19.1080163	2.093229167
ESS	"149.0, 269.0"	4377	4215	14296	19.29266621	1.957779301
ESS	"149.0, 267.0"	4255	4172	13409	19.84065805	2.013795535
ESS	"156.0, 260.0"	4213	4053	14860	20.03655352	2.053880845
ESS	"158.0, 264.0"	4159	3870	14470	20.31401779	1.98939649
ESS	"150.0, 265.0"	4135	4023	13366	20.44207981	2.03076179
ESS	"153.0, 261.0"	4114	3989	15066	20.55177443	2.12036947
ESS	"153.0, 256.0"	4102	4016	15028	20.60897123	2.100706972
ESS	"143.0, 274.0"	4097	3951	12667	20.63998047	1.912667806
ESS	"144.0, 274.0"	4086	3917	12839	20.69432208	1.904454234
ESS	"153.0, 257.0"	4080	3976	14735	20.71960784	2.089387255
ESS	"153.0, 255.0"	4070	3999	14156	20.76535627	2.038796069
