County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
GLO	"55.0, 128.0"	18542	17652	105862	4.224517312	3.15994499
GLO	"66.0, 109.0"	7613	6911	28401	10.90989098	2.135163536
GLO	"54.0, 128.0"	7412	7061	28290	11.20952509	2.27359687
GLO	"54.0, 129.0"	7194	6812	27746	11.56449819	2.270642202
GLO	"48.0, 129.0"	5502	5142	21632	15.25627045	2.340966921
GLO	"52.0, 113.0"	5407	5283	17786	15.53079342	2.168688737
GLO	"49.0, 130.0"	5370	5098	19846	15.6443203	2.220782123
GLO	"55.0, 130.0"	5154	4729	19348	16.31043849	2.087834692
GLO	"51.0, 128.0"	4763	4569	16774	17.69179089	2.143061096
GLO	"47.0, 125.0"	4685	4600	15653	17.99018143	2.163649947
GLO	"53.0, 128.0"	4679	4415	16338	18.01709767	2.105150673
GLO	"57.0, 117.0"	4519	4319	14897	18.6709449	1.975304271
GLO	"47.0, 128.0"	4507	4404	15231	18.72132239	2.163634347
GLO	"51.0, 111.0"	4224	4037	14945	20.00189394	2.197679924
GLO	"50.0, 128.0"	3757	3565	12918	22.53819537	2.109209476
GLO	"55.0, 129.0"	3702	3428	12488	22.88573744	1.951971907
GLO	"47.0, 127.0"	3476	3389	11326	24.39441887	2.085270426
GLO	"56.0, 116.0"	3277	2975	11696	25.88770217	2.048184315
GLO	"51.0, 134.0"	3104	2829	11277	27.3814433	2.039529639
GLO	"62.0, 113.0"	3068	2535	9569	27.70208605	1.677705346
GLO	"53.0, 111.0"	3018	2912	9510	28.157389	2.032703777
GLO	"43.0, 129.0"	3000	2933	9519	28.34266667	2.0767
GLO	"46.0, 123.0"	2977	2916	9158	28.56567014	2.021666107
GLO	"51.0, 116.0"	2973	2886	9282	28.60343088	2.008678103
GLO	"66.0, 108.0"	2951	2671	9241	28.81396137	1.876380888
GLO	"48.0, 128.0"	2819	2734	8907	30.17098262	2.008194395
GLO	"50.0, 119.0"	2721	2622	8090	31.29731716	1.976038221
GLO	"53.0, 110.0"	2647	2507	8177	32.15904798	1.938836419
GLO	"49.0, 131.0"	2645	2485	8888	32.20642722	2.028355388
GLO	"54.0, 121.0"	2626	2478	8043	32.43983244	1.889108911
GLO	"65.0, 104.0"	2621	2405	7793	32.49790156	1.932621137
GLO	"53.0, 112.0"	2539	2435	7509	33.54312722	1.933398976
GLO	"57.0, 115.0"	2475	2300	7500	34.46060606	1.822383838
GLO	"56.0, 117.0"	2444	2296	7319	34.89075286	1.831587561
GLO	"44.0, 126.0"	2406	2284	7832	35.44846218	2.074189526
GLO	"51.0, 130.0"	2290	2114	7198	37.24759825	1.90510917
GLO	"54.0, 122.0"	2249	2114	6719	37.95598044	1.84704313
GLO	"55.0, 127.0"	2242	2065	6744	38.08251561	1.781668153
GLO	"54.0, 126.0"	2238	2084	6840	38.12779267	1.820509383
GLO	"65.0, 109.0"	2219	1976	6755	38.49436683	1.805768364
GLO	"51.0, 117.0"	2189	2085	6405	38.99954317	1.896345363
GLO	"55.0, 119.0"	2143	2007	6341	39.87120859	1.841437238
GLO	"49.0, 129.0"	2130	1831	7841	40.02159624	2.171877934
GLO	"68.0, 105.0"	2107	1839	6534	40.51969625	1.885714286
GLO	"41.0, 113.0"	2087	2052	6003	40.88596071	1.995112602
GLO	"45.0, 130.0"	1951	1866	5983	43.70374167	1.943362378
GLO	"68.0, 106.0"	1948	1752	5653	43.87422998	1.819301848
GLO	"55.0, 125.0"	1914	1736	5672	44.67763845	1.761128527
GLO	"30.0, 115.0"	1899	1820	5600	45.01369142	1.929699842
GLO	"51.0, 133.0"	1895	1672	6745	45.1298153	1.940527704
GLO	"51.0, 115.0"	1869	1793	5659	45.72445158	1.951631889
GLO	"51.0, 131.0"	1858	1705	5820	45.97039828	1.865339074
GLO	"25.0, 119.0"	1835	1780	5712	46.54877384	1.992316076
GLO	"50.0, 133.0"	1802	1617	5714	47.48113208	1.866759156
GLO	"51.0, 114.0"	1786	1686	5338	47.8656215	1.915397536
GLO	"50.0, 132.0"	1722	1552	5303	49.67305459	1.868408827
GLO	"29.0, 119.0"	1659	1614	4915	51.62929476	1.973056058
GLO	"58.0, 114.0"	1656	1302	5410	51.69142512	1.683031401
GLO	"42.0, 128.0"	1651	1604	4803	51.87583283	1.905754088
GLO	"49.0, 128.0"	1637	1532	4713	52.27183873	1.857483201
GLO	"63.0, 112.0"	1608	1413	4855	53.26057214	1.671144279
GLO	"51.0, 132.0"	1588	1445	4808	53.94521411	1.823488665
GLO	"55.0, 104.0"	1586	1468	4491	53.93883985	1.876986129
GLO	"53.0, 116.0"	1584	1463	4374	54.08017677	1.771338384
GLO	"52.0, 112.0"	1579	1501	4300	54.21469284	1.816972768
GLO	"46.0, 124.0"	1552	1486	4413	55.12177835	1.885502577
GLO	"65.0, 108.0"	1532	1353	4614	55.93015666	1.801501305
GLO	"46.0, 122.0"	1493	1426	4154	57.34494307	1.889551239
GLO	"45.0, 122.0"	1487	1408	4194	57.5332885	1.953732347
GLO	"31.0, 117.0"	1486	1381	5031	57.60363392	2.126244953
GLO	"65.0, 110.0"	1460	1289	4103	58.64041096	1.651506849
GLO	"45.0, 121.0"	1453	1387	4039	59.00275292	1.902890571
GLO	"52.0, 115.0"	1407	1330	3789	60.78891258	1.820682303
GLO	"44.0, 127.0"	1374	1288	3890	62.31513828	1.863027656
GLO	"41.0, 129.0"	1329	1272	3637	64.5364936	1.85282167
GLO	"40.0, 116.0"	1327	1278	3537	64.60211002	1.855538809
GLO	"50.0, 115.0"	1319	1237	3574	65.0136467	1.822137983
GLO	"47.0, 126.0"	1316	1220	3704	65.09194529	1.831155015
GLO	"53.0, 118.0"	1309	1254	3440	65.50190985	1.73605806
GLO	"48.0, 127.0"	1298	1217	3522	65.99229584	1.802311248
GLO	"45.0, 127.0"	1279	1191	3646	67.05082095	1.889601251
GLO	"59.0, 92.0"	1272	1162	3394	67.38207547	1.673349057
GLO	"56.0, 119.0"	1251	1135	3307	68.37889688	1.646842526
GLO	"44.0, 121.0"	1241	1179	3287	69.00644641	1.829975826
GLO	"51.0, 110.0"	1235	1168	3243	69.36518219	1.751336032
GLO	"60.0, 110.0"	1230	1127	3300	69.60731707	1.684878049
GLO	"65.0, 106.0"	1211	1079	3218	70.85218827	1.691659785
GLO	"51.0, 122.0"	1209	1057	6727	70.65343259	2.778246485
GLO	"52.0, 111.0"	1200	1120	3142	71.535	1.749916667
GLO	"54.0, 108.0"	1198	1123	2972	71.58430718	1.703923205
GLO	"42.0, 129.0"	1192	1164	3189	71.85654362	1.831711409
GLO	"53.0, 117.0"	1187	1057	3044	72.23251896	1.633782645
GLO	"40.0, 115.0"	1182	1135	3254	72.5499154	1.823350254
GLO	"64.0, 110.0"	1178	1023	3336	72.77164686	1.681494058
GLO	"44.0, 128.0"	1152	1067	4241	74.41579861	2.192881944
GLO	"26.0, 119.0"	1131	1083	3174	75.87533156	1.825287356
GLO	"38.0, 128.0"	1129	1076	3159	75.92648361	1.969530558
GLO	"56.0, 113.0"	1127	1029	2898	76.14640639	1.644897959
GLO	"67.0, 107.0"	1127	1009	2932	76.15350488	1.622626442
GLO	"47.0, 124.0"	1120	1050	3041	76.37678571	1.834285714
GLO	"26.0, 118.0"	1120	1061	3048	76.67232143	1.800714286
GLO	"42.0, 117.0"	1119	997	3490	76.68632708	1.95406613
GLO	"57.0, 116.0"	1117	1011	2862	76.87645479	1.62354521
GLO	"63.0, 113.0"	1114	949	3418	76.97127469	1.740394973
GLO	"32.0, 127.0"	1091	1031	3006	78.67369386	1.857745188
GLO	"45.0, 133.0"	1082	965	3119	79.21719039	1.836876155
GLO	"52.0, 114.0"	1082	1008	2843	79.35027726	1.775878004
GLO	"54.0, 117.0"	1081	953	3041	79.27937095	1.72960222
GLO	"59.0, 113.0"	1074	918	3461	79.88361266	1.662011173
GLO	"62.0, 89.0"	1071	969	2856	80.12044818	1.607096172
GLO	"63.0, 109.0"	1064	943	2635	80.70488722	1.587030075
GLO	"47.0, 129.0"	1061	980	3107	80.68237512	1.87068803
GLO	"24.0, 117.0"	1059	994	2863	81.03399433	1.747780925
GLO	"39.0, 128.0"	1058	1011	2776	81.0831758	1.821172023
GLO	"49.0, 115.0"	1048	994	2485	81.64217557	1.685591603
GLO	"46.0, 133.0"	1043	949	3038	82.34228188	1.893000959
GLO	"40.0, 124.0"	1009	893	2670	84.90683845	1.769177403
GLO	"49.0, 123.0"	1006	920	2599	85.20775348	1.712027833
GLO	"64.0, 108.0"	993	872	2473	86.49647533	1.593353474
GLO	"57.0, 98.0"	991	927	2393	86.68920283	1.664581231
GLO	"38.0, 129.0"	986	897	2825	87.03245436	1.914097363
GLO	"66.0, 107.0"	977	861	2671	87.56908905	1.682395087
GLO	"55.0, 113.0"	972	874	2730	88.40226337	1.698971193
GLO	"48.0, 130.0"	968	888	2555	88.7107438	1.730268595
GLO	"52.0, 122.0"	967	918	2408	88.79420889	1.663805584
GLO	"40.0, 114.0"	937	876	2186	91.69263607	1.671184632
GLO	"50.0, 114.0"	936	876	2508	91.50213675	1.809294872
GLO	"41.0, 114.0"	926	871	2151	92.54859611	1.654535637
GLO	"63.0, 91.0"	925	833	2284	92.91351351	1.56627027
GLO	"48.0, 126.0"	925	815	2374	92.92216216	1.693081081
GLO	"62.0, 109.0"	924	823	2236	93.02813853	1.548160173
GLO	"52.0, 116.0"	920	805	2419	93.29565217	1.702391304
GLO	"28.0, 116.0"	917	850	2301	93.49836423	1.682660851
GLO	"49.0, 120.0"	916	835	2217	93.62991266	1.654257642
GLO	"56.0, 99.0"	913	844	2136	94.15334064	1.593866375
