County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
HUD	"170.0, 252.0"	13270	13213	57380	6.072117558	2.579495102
HUD	"172.0, 260.0"	11007	10871	53844	7.403652221	2.657408922
HUD	"169.0, 260.0"	10110	9709	42463	8.10148368	2.435469832
HUD	"170.0, 254.0"	9328	9286	38511	8.818074614	2.421022727
HUD	"167.0, 253.0"	9179	9013	41246	8.972763918	2.474321822
HUD	"156.0, 257.0"	9119	8039	42789	9.033227328	2.211635048
HUD	"171.0, 259.0"	8826	8720	39479	9.343983685	2.476897802
HUD	"170.0, 251.0"	8593	8556	36524	9.611427906	2.386593739
HUD	"169.0, 251.0"	8203	8164	36385	10.08813849	2.460331586
HUD	"170.0, 258.0"	8090	7985	36688	10.23374536	2.420630408
HUD	"168.0, 254.0"	7880	7731	32142	10.51725888	2.405621827
HUD	"173.0, 262.0"	7727	7555	35582	10.73469652	2.404218972
HUD	"172.0, 261.0"	7669	7542	33489	10.81275264	2.496922676
HUD	"170.0, 259.0"	7503	7336	30410	11.06224177	2.2779155
HUD	"173.0, 261.0"	7146	7034	34095	11.6445564	2.681905961
HUD	"170.0, 250.0"	7014	6964	35283	11.88123752	2.515012831
HUD	"168.0, 261.0"	6753	6374	25356	12.35080705	2.220361321
HUD	"166.0, 252.0"	6589	6473	28751	12.65958416	2.45119138
HUD	"169.0, 256.0"	6506	6377	29414	12.83784199	2.418844144
HUD	"171.0, 258.0"	6374	6278	27362	13.10762473	2.39727016
HUD	"167.0, 252.0"	6194	6055	34397	13.50435906	2.682983532
HUD	"172.0, 259.0"	6161	6077	26528	13.56922578	2.428745334
HUD	"166.0, 260.0"	6151	5787	22162	13.60104048	2.174670785
HUD	"172.0, 264.0"	6048	5633	25960	13.83465608	2.190013228
HUD	"173.0, 263.0"	5796	5620	25619	14.45979986	2.298326432
HUD	"164.0, 251.0"	5774	5607	23006	14.51368202	2.298579841
HUD	"173.0, 260.0"	5578	5478	24067	15.03711008	2.495679455
HUD	"156.0, 256.0"	5521	4699	21859	15.20231842	1.951639196
HUD	"171.0, 254.0"	5412	5382	19355	15.51459719	2.184331116
HUD	"170.0, 253.0"	5313	5283	18792	15.81121777	2.161509505
HUD	"171.0, 255.0"	5251	5209	23635	16.0076176	2.31898686
HUD	"157.0, 255.0"	5190	4653	26796	16.19576108	2.304315992
HUD	"166.0, 253.0"	5144	4984	21609	16.35400467	2.402896579
HUD	"172.0, 263.0"	5044	4843	19850	16.67862807	2.123156225
HUD	"161.0, 244.0"	5039	4822	22941	16.70291725	2.359495932
HUD	"170.0, 255.0"	5034	4972	23278	16.7063965	2.39147795
HUD	"172.0, 258.0"	4893	4824	18003	17.2152054	2.14473738
