County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
HUN	"110.0, 230.0"	2449	2273	10201	34.82155982	2.252756227
HUN	"74.0, 239.0"	1525	1432	5307	56.12983607	2.176786885
HUN	"80.0, 222.0"	1462	1377	4716	58.42612859	1.998632011
HUN	"75.0, 240.0"	1290	1201	4073	66.51007752	2.053333333
HUN	"71.0, 202.0"	1046	1007	3194	82.00956023	2.023709369
HUN	"76.0, 240.0"	1034	947	3538	82.30947776	2.17959381
HUN	"80.0, 221.0"	1022	968	2834	83.86399217	1.851272016
HUN	"81.0, 223.0"	986	872	3234	87.0040568	1.899391481
HUN	"75.0, 239.0"	918	869	2458	93.32352941	1.808496732
HUN	"82.0, 220.0"	903	839	2322	94.98006645	1.714396456
HUN	"71.0, 203.0"	892	868	2427	96.31726457	1.926233184
HUN	"80.0, 223.0"	850	802	2162	101.1164706	1.723176471
HUN	"81.0, 221.0"	797	730	2072	107.846926	1.750313676
HUN	"80.0, 226.0"	731	624	2414	116.9808482	1.99630643
HUN	"76.0, 244.0"	724	543	1696	118.4889503	1.589364641
HUN	"83.0, 240.0"	702	628	1707	122.5911681	1.553561254
HUN	"81.0, 220.0"	689	645	1694	124.9071118	1.663860668
HUN	"90.0, 238.0"	671	609	1684	128.1877794	1.692548435
HUN	"91.0, 237.0"	648	589	1462	132.4691358	1.537191358
HUN	"77.0, 239.0"	646	590	1442	132.749226	1.642414861
HUN	"80.0, 224.0"	644	595	1430	133.5947205	1.562888199
HUN	"92.0, 244.0"	626	546	1560	136.8290735	1.662140575
HUN	"82.0, 252.0"	621	578	1503	138.1513688	1.557326892
HUN	"76.0, 239.0"	594	551	1334	144.6212121	1.640909091
HUN	"83.0, 220.0"	594	547	1354	144.7323232	1.585858586
HUN	"82.0, 221.0"	577	527	1337	148.8925477	1.612651646
HUN	"81.0, 222.0"	568	515	1244	150.9577465	1.546126761
HUN	"72.0, 239.0"	555	532	1242	154.2954955	1.585045045
HUN	"80.0, 220.0"	551	504	1251	155.1343013	1.546098004
HUN	"89.0, 241.0"	536	475	1441	159.9608209	1.780037313
HUN	"79.0, 221.0"	526	486	1371	163.5589354	1.670532319
HUN	"90.0, 237.0"	513	433	1056	167.5224172	1.407992203
HUN	"76.0, 236.0"	506	470	1164	169.486166	1.567786561
HUN	"81.0, 225.0"	498	443	1225	172.4638554	1.675301205
HUN	"90.0, 236.0"	494	442	1082	172.951417	1.522672065
HUN	"71.0, 248.0"	472	416	1048	182.0783898	1.599788136
HUN	"67.0, 240.0"	463	399	1150	185.7667387	1.676241901
HUN	"84.0, 220.0"	460	417	1168	186.0891304	1.651086957
HUN	"77.0, 243.0"	458	425	947	186.2074236	1.513537118
HUN	"78.0, 240.0"	453	406	881	189.3399558	1.466887417
HUN	"56.0, 242.0"	446	418	1022	191.67713	1.622197309
HUN	"58.0, 225.0"	438	420	944	196.3515982	1.602968037
HUN	"77.0, 244.0"	437	381	1078	194.9221968	1.65583524
HUN	"72.0, 202.0"	436	423	896	196.3348624	1.565366972
HUN	"75.0, 219.0"	431	397	965	198.1508121	1.523433875
HUN	"81.0, 226.0"	430	385	1033	199.144186	1.679767442
HUN	"79.0, 222.0"	417	389	838	205.3429257	1.480335731
HUN	"85.0, 220.0"	416	383	828	206.3052885	1.467788462
HUN	"81.0, 224.0"	404	354	937	211.9529703	1.635643564
HUN	"74.0, 238.0"	401	368	1012	213.6932668	1.657107232
HUN	"58.0, 224.0"	395	353	746	217.5493671	1.459746835
HUN	"63.0, 230.0"	393	337	1427	216.9720102	2.160559796
HUN	"71.0, 213.0"	392	332	932	210.8035714	1.654846939
HUN	"80.0, 225.0"	392	349	1049	216.7780612	1.776530612
HUN	"79.0, 223.0"	388	368	810	221.2396907	1.517783505
HUN	"72.0, 248.0"	380	333	826	223.2868421	1.567105263
HUN	"82.0, 240.0"	378	331	694	225.7275132	1.364021164
HUN	"67.0, 208.0"	378	340	743	226.6349206	1.465873016
HUN	"70.0, 249.0"	378	342	758	227.6349206	1.478835979
HUN	"89.0, 229.0"	375	331	803	229.496	1.530933333
HUN	"89.0, 238.0"	373	335	770	229.9865952	1.434316354
HUN	"78.0, 239.0"	368	308	1699	226.9293478	2.225815217
HUN	"88.0, 238.0"	368	325	742	232.9945652	1.3875
HUN	"86.0, 241.0"	367	310	665	234.773842	1.348501362
HUN	"84.0, 242.0"	364	327	697	236.2994505	1.426373626
HUN	"74.0, 243.0"	363	302	934	230.3305785	1.749035813
HUN	"78.0, 245.0"	359	326	651	238.8690808	1.404178273
HUN	"75.0, 238.0"	356	330	661	238.4157303	1.407022472
HUN	"80.0, 219.0"	355	327	856	242.5211268	1.635211268
HUN	"77.0, 241.0"	354	336	632	242.0819209	1.363276836
HUN	"90.0, 228.0"	353	305	726	243.2634561	1.430028329
HUN	"91.0, 233.0"	349	304	1319	237.9140401	1.938395415
HUN	"83.0, 219.0"	349	315	672	246.8882521	1.411174785
HUN	"78.0, 241.0"	348	170	703	247.6321839	1.414942529
HUN	"79.0, 227.0"	345	324	614	248.7855072	1.358550725
HUN	"78.0, 228.0"	342	302	694	248.751462	1.45
