County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
MER	"102.0, 200.0"	9252	9068	31472	8.905209684	1.975043234
MER	"92.0, 182.0"	6440	5921	26359	13.23819876	2.411708075
MER	"90.0, 182.0"	4503	4442	17777	18.72751499	2.075993782
MER	"99.0, 192.0"	4500	4404	13993	18.75422222	1.969333333
MER	"109.0, 202.0"	4318	4065	14344	19.55141269	1.731658175
MER	"103.0, 207.0"	4297	3520	13720	19.66790784	1.775052362
MER	"106.0, 195.0"	3992	3387	15473	21.42710421	2.264779559
MER	"102.0, 199.0"	3957	3754	14270	21.48294162	1.983447056
MER	"102.0, 195.0"	3893	3848	12072	21.73747752	1.883457488
MER	"109.0, 200.0"	3874	3675	13239	21.85054208	1.731337119
MER	"115.0, 189.0"	3809	3665	12094	22.23076923	1.82341822
MER	"100.0, 193.0"	3462	3427	10490	24.51213172	1.960658579
MER	"104.0, 178.0"	3444	3425	10611	24.64111498	1.976132404
MER	"91.0, 182.0"	3436	3372	12750	24.68277066	1.990570431
MER	"93.0, 181.0"	3255	3139	11412	26.09339478	2.029708141
MER	"107.0, 201.0"	3232	3075	10148	26.27506188	1.700835396
MER	"89.0, 183.0"	3220	3141	10986	26.37888199	1.981242236
MER	"92.0, 180.0"	3166	3057	11405	26.83891346	2.020056854
MER	"103.0, 195.0"	3132	3071	9588	27.12739464	1.876277139
MER	"100.0, 191.0"	3092	2983	9541	27.46216041	1.920569211
MER	"109.0, 201.0"	3089	2935	9798	27.51667206	1.69834898
MER	"116.0, 190.0"	2920	2783	8886	29.13527397	1.73890411
MER	"104.0, 196.0"	2912	2835	9072	29.2135989	1.805048077
MER	"93.0, 180.0"	2890	2771	10294	29.44429066	2.018408304
MER	"91.0, 180.0"	2742	2644	9830	31.06017505	1.950583516
MER	"103.0, 202.0"	2721	2609	8242	31.29106946	1.734876883
MER	"91.0, 181.0"	2647	2573	9423	32.15904798	1.943256517
MER	"115.0, 190.0"	2579	2436	7767	33.01512214	1.741566499
MER	"103.0, 200.0"	2538	2432	7548	33.56304177	1.746611505
MER	"92.0, 181.0"	2520	2440	8342	33.78253968	1.977936508
MER	"109.0, 199.0"	2518	2380	8139	33.86020651	1.685345512
MER	"101.0, 194.0"	2500	2444	7519	34.1028	1.84972
MER	"103.0, 201.0"	2455	2330	7659	34.73523422	1.739714868
MER	"87.0, 190.0"	2450	2364	8318	34.77142857	1.916408163
MER	"92.0, 184.0"	2340	2241	7602	36.45897436	1.89965812
MER	"105.0, 182.0"	2249	2116	7525	37.9439751	1.995375723
MER	"90.0, 186.0"	2210	2126	6677	38.57511312	1.889954751
MER	"92.0, 185.0"	2127	2040	6511	40.14527504	1.872449459
MER	"94.0, 182.0"	2101	1975	7331	40.65968586	2.030414089
MER	"93.0, 185.0"	2098	1980	6658	40.70162059	1.855624404
MER	"103.0, 186.0"	2075	1978	12541	36.4746988	2.878843373
MER	"97.0, 187.0"	2053	748	7031	41.67267414	2.04724793
MER	"99.0, 184.0"	1996	1894	6337	42.8011022	1.903707415
MER	"90.0, 183.0"	1975	1922	5974	43.25417722	1.899898734
MER	"93.0, 182.0"	1970	1875	6553	43.38375635	1.889441624
MER	"103.0, 196.0"	1953	1849	6746	43.69175627	1.925960061
MER	"117.0, 189.0"	1887	1739	6183	45.31319555	1.740328564
MER	"100.0, 192.0"	1760	1720	4959	48.58863636	1.837556818
MER	"99.0, 186.0"	1726	1634	4937	49.51969873	1.791483198
MER	"93.0, 190.0"	1724	1630	5679	49.63979118	2.004176334
MER	"89.0, 184.0"	1723	1618	5719	49.61230412	1.982298317
MER	"94.0, 183.0"	1686	1588	5360	50.76631079	1.88831554
MER	"98.0, 180.0"	1669	1593	4786	51.27801078	1.776452966
MER	"104.0, 179.0"	1655	1632	4782	51.73957704	1.841510574
MER	"121.0, 188.0"	1641	1433	5160	52.15173675	1.775624619
MER	"101.0, 183.0"	1640	1596	4528	52.17926829	1.783414634
MER	"103.0, 206.0"	1625	1471	4621	52.64	1.597046154
MER	"106.0, 203.0"	1614	1446	4600	53.04089219	1.580731103
MER	"99.0, 193.0"	1576	1490	4345	54.34263959	1.784708122
MER	"91.0, 184.0"	1570	1481	4956	54.54585987	1.883757962
MER	"100.0, 177.0"	1550	1465	4472	55.23935484	1.819032258
MER	"96.0, 186.0"	1543	1482	4488	55.53467272	1.79345431
MER	"92.0, 179.0"	1519	1445	4558	56.37327189	1.807636603
MER	"89.0, 185.0"	1516	1440	4709	56.44722955	1.834102902
MER	"90.0, 184.0"	1513	1449	4511	56.60079313	1.827825512
MER	"88.0, 185.0"	1490	1396	4676	57.40536913	1.85295302
MER	"88.0, 197.0"	1483	1397	4399	57.76399191	1.825556305
MER	"100.0, 183.0"	1476	1394	4054	58.04200542	1.7649729
MER	"100.0, 188.0"	1424	1374	3956	60.21348315	1.75877809
MER	"102.0, 183.0"	1417	1323	3885	60.34932957	1.705434016
MER	"102.0, 201.0"	1414	1286	4459	60.59052334	1.704526167
MER	"103.0, 205.0"	1410	1337	3938	60.75248227	1.617801418
MER	"108.0, 201.0"	1401	1321	3982	61.13133476	1.581299072
MER	"93.0, 179.0"	1388	1311	4611	61.68804035	1.875504323
MER	"94.0, 179.0"	1385	1284	4389	61.90685921	1.818772563
MER	"116.0, 188.0"	1385	1263	3889	61.90974729	1.642093863
MER	"87.0, 187.0"	1384	1308	4241	61.85621387	1.740968208
MER	"96.0, 180.0"	1380	1291	3985	62.09927536	1.678115942
MER	"98.0, 184.0"	1370	1289	3845	62.48613139	1.677153285
MER	"86.0, 185.0"	1363	1339	4098	62.8943507	1.825531915
MER	"105.0, 197.0"	1360	1287	3676	63.06764706	1.640735294
MER	"97.0, 192.0"	1329	1301	3663	64.5379985	1.790142965
MER	"101.0, 201.0"	1323	1253	3702	64.80272109	1.647089947
MER	"100.0, 187.0"	1310	1212	3503	65.31526718	1.688091603
MER	"96.0, 189.0"	1302	1228	3434	65.7296467	1.709447005
MER	"87.0, 197.0"	1301	1258	3561	65.91083782	1.75933897
MER	"88.0, 194.0"	1287	1240	3453	66.55633256	1.77047397
MER	"104.0, 194.0"	1282	1133	4744	66.89469579	1.884165367
MER	"94.0, 187.0"	1275	1192	3308	67.24705882	1.710666667
MER	"106.0, 201.0"	1253	1112	3426	68.49401437	1.544932163
MER	"114.0, 188.0"	1245	1160	3242	68.87710843	1.630843373
MER	"104.0, 182.0"	1242	1154	3415	69.06441224	1.705152979
MER	"120.0, 188.0"	1238	1134	3426	69.25282714	1.595718901
MER	"99.0, 183.0"	1235	1157	3276	69.35546559	1.673684211
MER	"89.0, 186.0"	1212	1132	3312	70.7830033	1.745049505
MER	"88.0, 183.0"	1206	1143	3480	71.02985075	1.798341625
MER	"103.0, 182.0"	1199	1105	3206	71.57964971	1.700834028
MER	"95.0, 179.0"	1185	1072	3941	72.14852321	1.759662447
MER	"94.0, 181.0"	1185	1087	3667	72.4	1.823797468
MER	"95.0, 187.0"	1184	1107	3017	72.4847973	1.668665541
MER	"93.0, 184.0"	1172	1084	3360	72.95904437	1.779180887
MER	"95.0, 178.0"	1161	1100	3095	73.85701981	1.658656331
MER	"105.0, 196.0"	1153	1069	3034	74.37554206	1.567909801
MER	"119.0, 189.0"	1152	1083	3108	74.46961806	1.575607639
MER	"91.0, 186.0"	1141	1039	3142	75.17090272	1.634969325
MER	"96.0, 191.0"	1141	1098	3058	75.20245399	1.699737073
MER	"101.0, 200.0"	1127	1065	3027	76.14285714	1.646583851
MER	"86.0, 197.0"	1125	1063	3455	76.13866667	1.762844444
MER	"101.0, 195.0"	1124	1031	2976	76.38345196	1.671085409
MER	"86.0, 188.0"	1123	1069	3072	76.33303651	1.679608192
MER	"95.0, 182.0"	1103	1001	3157	77.60199456	1.73662738
MER	"93.0, 183.0"	1103	1028	2999	77.65729828	1.7237534
MER	"88.0, 184.0"	1097	1037	3041	78.26891522	1.741294439
MER	"106.0, 194.0"	1074	883	3659	79.9310987	1.791620112
MER	"97.0, 191.0"	1071	1050	2869	80.05602241	1.745284781
MER	"96.0, 178.0"	1063	978	3041	80.71401693	1.645343368
MER	"116.0, 189.0"	1060	948	2859	80.94245283	1.610377358
MER	"95.0, 191.0"	1051	1010	2744	81.58230257	1.650237869
MER	"102.0, 182.0"	1049	983	3262	81.89609152	1.713346044
MER	"103.0, 197.0"	1044	955	2929	82.11206897	1.605555556
MER	"93.0, 186.0"	1041	966	2755	82.49951969	1.679538905
MER	"92.0, 187.0"	1030	945	2715	83.37281553	1.61
MER	"100.0, 184.0"	1029	937	2712	83.41788144	1.672400389
MER	"94.0, 193.0"	1028	945	2616	83.46498054	1.638715953
MER	"102.0, 205.0"	1028	925	2789	83.49416342	1.541634241
MER	"92.0, 183.0"	1027	931	2663	83.55111977	1.637000974
MER	"114.0, 187.0"	1017	960	2620	84.34414946	1.614454277
MER	"104.0, 193.0"	1011	933	2624	84.97032641	1.571513353
MER	"91.0, 183.0"	1007	947	2597	85.30585899	1.653326713
MER	"102.0, 181.0"	1006	867	3443	85.35884692	1.858747515
MER	"88.0, 187.0"	997	900	2867	86.12637914	1.725476429
MER	"105.0, 180.0"	997	960	2692	86.18254764	1.69448345
MER	"90.0, 181.0"	981	908	4049	87.60754332	2.068399592
MER	"99.0, 180.0"	977	890	2611	87.84953941	1.654247697
MER	"82.0, 189.0"	976	871	2888	87.89139344	1.970491803
MER	"87.0, 184.0"	975	902	2706	87.92410256	1.735076923
MER	"102.0, 177.0"	970	913	2404	88.61134021	1.624329897
MER	"105.0, 199.0"	965	863	2370	88.98031088	1.488704663
MER	"99.0, 181.0"	962	852	2773	89.16424116	1.718918919
MER	"97.0, 178.0"	960	869	2703	89.09791667	1.617083333
MER	"97.0, 183.0"	954	866	2563	89.87002096	1.568972746
MER	"94.0, 192.0"	952	903	2259	90.21218487	1.630777311
MER	"95.0, 183.0"	948	842	2721	90.66666667	1.772679325
MER	"112.0, 190.0"	946	825	2644	90.60570825	1.687103594
MER	"88.0, 186.0"	946	882	2349	90.67758985	1.605391121
MER	"91.0, 205.0"	946	862	2345	90.74735729	1.59038055
MER	"90.0, 185.0"	938	856	2469	91.5554371	1.642324094
MER	"94.0, 188.0"	927	833	2783	92.19309601	1.698921251
MER	"121.0, 189.0"	926	775	2924	92.6187905	1.785529158
MER	"102.0, 198.0"	923	828	2357	93.00325027	1.543553629
MER	"101.0, 176.0"	921	861	2406	92.89250814	1.611292074
MER	"87.0, 188.0"	920	847	2390	93.26195652	1.708913043
MER	"95.0, 184.0"	913	824	2536	93.99123768	1.69101862
MER	"120.0, 189.0"	910	786	2747	93.86483516	1.715714286
MER	"89.0, 182.0"	907	869	2554	94.62513782	1.642116869
MER	"94.0, 180.0"	906	814	2641	94.73509934	1.740066225
MER	"89.0, 187.0"	898	808	2293	95.59242762	1.657349666
MER	"97.0, 179.0"	897	795	2744	95.58528428	1.769565217
MER	"94.0, 186.0"	886	803	2083	96.98419865	1.578781038
MER	"97.0, 190.0"	883	820	2058	97.3216308	1.581426954
MER	"112.0, 189.0"	880	771	3066	97.27727273	1.813977273
MER	"95.0, 188.0"	880	808	2116	97.73522727	1.605227273
MER	"105.0, 183.0"	874	760	2443	98.3375286	1.739244851
MER	"104.0, 201.0"	871	772	2155	98.41676234	1.507692308
MER	"94.0, 185.0"	867	803	2153	99.15686275	1.589388697
MER	"101.0, 199.0"	864	822	2343	99.39351852	1.755787037
MER	"115.0, 188.0"	858	773	2212	100.0897436	1.561655012
MER	"90.0, 187.0"	856	767	2362	100.3189252	1.789953271
MER	"106.0, 181.0"	855	788	2091	100.4035088	1.586315789
MER	"111.0, 179.0"	851	804	2075	100.9588719	1.582726204
MER	"87.0, 198.0"	841	800	2096	102.0546968	1.606064209
MER	"111.0, 185.0"	837	777	1991	102.7144564	1.547550777
MER	"88.0, 189.0"	830	753	2444	103.513253	1.776746988
MER	"96.0, 190.0"	825	769	1955	103.7915152	1.542545455
MER	"103.0, 183.0"	818	719	2015	104.7713936	1.582640587
MER	"99.0, 191.0"	813	720	2026	105.3726937	1.643173432
MER	"102.0, 180.0"	806	743	1883	106.6451613	1.53101737
MER	"93.0, 188.0"	799	728	1869	107.4493116	1.557321652
MER	"105.0, 195.0"	799	751	1914	107.6445557	1.503254068
MER	"85.0, 188.0"	798	736	1975	107.6253133	1.607894737
MER	"99.0, 179.0"	796	709	2271	107.839196	1.730150754
MER	"97.0, 189.0"	796	753	1933	108.0565327	1.580904523
MER	"120.0, 187.0"	793	715	2063	108.0151324	1.556494325
MER	"95.0, 190.0"	792	714	1997	108.5328283	1.554419192
MER	"96.0, 179.0"	790	715	1949	108.5759494	1.500886076
MER	"104.0, 200.0"	789	678	2120	108.8073511	1.540557668
MER	"91.0, 185.0"	786	736	1817	109.2913486	1.576335878
MER	"103.0, 204.0"	777	705	1896	110.4234234	1.450707851
MER	"110.0, 192.0"	769	685	1861	111.6072822	1.461508453
MER	"117.0, 188.0"	768	691	2254	111.7643229	1.707942708
MER	"97.0, 184.0"	763	689	1723	112.5412844	1.513368283
MER	"102.0, 202.0"	762	648	2176	112.1706037	1.57191601
MER	"106.0, 196.0"	761	712	1790	112.8107753	1.452562418
MER	"100.0, 189.0"	755	646	1963	113.7496689	1.654701987
MER	"97.0, 186.0"	745	714	1760	115.0939597	1.571812081
MER	"103.0, 203.0"	742	646	1748	115.5107817	1.442587601
MER	"100.0, 182.0"	742	665	2016	115.9730458	1.694878706
MER	"108.0, 193.0"	741	672	1838	116.1241565	1.478812416
MER	"98.0, 179.0"	735	657	2227	116.8108844	1.672244898
MER	"83.0, 186.0"	730	646	1978	117.7136986	1.779178082
MER	"102.0, 186.0"	729	647	1701	117.4897119	1.513168724
MER	"89.0, 190.0"	724	665	1654	118.6823204	1.565745856
MER	"88.0, 188.0"	723	657	1963	118.9349931	1.88450899
MER	"106.0, 190.0"	719	640	2195	119.6662031	1.601947149
MER	"90.0, 191.0"	716	621	2081	119.372905	1.687569832
MER	"92.0, 186.0"	715	637	1722	120.0965035	1.591048951
MER	"117.0, 191.0"	712	531	1883	120.6207865	1.55
MER	"101.0, 180.0"	712	647	1603	120.6348315	1.479353933
MER	"94.0, 184.0"	710	635	1788	120.7704225	1.595774648
MER	"95.0, 181.0"	709	628	1732	121.1283498	1.566995769
MER	"92.0, 193.0"	708	615	1639	121.1059322	1.576271186
MER	"98.0, 178.0"	707	636	1982	121.281471	1.625318246
MER	"105.0, 184.0"	705	593	1756	121.6680851	1.654184397
MER	"89.0, 193.0"	702	635	1502	122.0925926	1.490598291
MER	"110.0, 200.0"	701	588	1630	122.1098431	1.40299572
MER	"96.0, 184.0"	701	635	1521	122.5763195	1.449500713
MER	"102.0, 203.0"	695	622	1596	123.5697842	1.429352518
MER	"86.0, 187.0"	694	626	1778	123.6210375	1.578818444
MER	"101.0, 175.0"	692	605	1934	123.5086705	1.66416185
MER	"99.0, 182.0"	688	626	1521	124.8575581	1.445639535
MER	"113.0, 192.0"	688	599	1601	125.0436047	1.422965116
MER	"91.0, 189.0"	675	606	1841	127.2148148	1.83037037
MER	"91.0, 179.0"	673	607	1657	127.7369985	1.572362556
MER	"85.0, 186.0"	669	640	2090	128.2929746	1.666367713
MER	"103.0, 191.0"	665	565	1931	128.9639098	1.661954887
MER	"100.0, 178.0"	658	581	1861	130.7659574	1.694832827
MER	"100.0, 185.0"	656	575	1598	130.9222561	1.57972561
MER	"102.0, 176.0"	646	594	1505	132.9628483	1.465789474
MER	"108.0, 200.0"	640	595	1569	134.4796875	1.44875
MER	"93.0, 193.0"	636	544	1632	134.9654088	1.73663522
MER	"108.0, 205.0"	635	564	1413	135.4503937	1.358740157
MER	"101.0, 187.0"	627	544	1634	137.1467305	1.610366826
MER	"99.0, 185.0"	625	554	1649	137.4752	1.65184
MER	"93.0, 192.0"	622	527	1494	138.0369775	1.661897106
MER	"100.0, 186.0"	616	531	1436	138.2321429	1.527922078
MER	"110.0, 179.0"	615	580	1346	139.499187	1.461300813
MER	"92.0, 192.0"	615	512	1526	139.5430894	1.675772358
MER	"95.0, 189.0"	614	526	1435	140.0504886	1.581270358
MER	"90.0, 188.0"	613	544	1417	139.6606852	1.592169657
MER	"105.0, 206.0"	609	342	1489	140.6732348	1.609359606
MER	"102.0, 206.0"	608	545	1314	141.28125	1.349177632
MER	"101.0, 184.0"	604	522	1505	142.0645695	1.611092715
MER	"96.0, 182.0"	601	515	1432	142.5324459	1.543926789
MER	"98.0, 183.0"	600	532	1299	142.6766667	1.487666667
MER	"86.0, 184.0"	596	537	1238	143.8825503	1.490604027
MER	"90.0, 193.0"	586	502	1467	146.7627986	1.648122867
MER	"101.0, 178.0"	583	511	1365	147.348199	1.496912521
MER	"106.0, 183.0"	580	491	1503	148.3603448	1.705689655
MER	"106.0, 182.0"	579	496	1414	148.5768566	1.583592401
MER	"99.0, 177.0"	574	499	1530	149.3919861	1.599825784
MER	"98.0, 185.0"	570	494	1454	150.4964912	1.607192982
MER	"90.0, 205.0"	567	491	1242	151.303351	1.540564374
MER	"96.0, 185.0"	566	484	1240	151.3657244	1.498586572
MER	"90.0, 190.0"	562	497	1331	152.069395	1.71886121
MER	"106.0, 192.0"	560	490	1245	152.7625	1.401428571
MER	"106.0, 176.0"	553	499	1300	155.1880651	1.475768535
MER	"105.0, 179.0"	551	513	1114	154.7059891	1.425952813
MER	"96.0, 183.0"	551	481	1172	156.2214156	1.404718693
MER	"103.0, 184.0"	545	466	1419	157.9357798	1.592477064
MER	"108.0, 192.0"	542	444	1518	158.4095941	1.541512915
MER	"89.0, 188.0"	540	479	1309	158.0722222	1.804074074
MER	"100.0, 180.0"	539	449	1378	158.4619666	1.605194805
MER	"84.0, 188.0"	535	499	1074	160.5102804	1.414953271
MER	"116.0, 187.0"	533	388	2003	160.5028143	1.930206379
MER	"83.0, 190.0"	530	485	1177	161.2207547	1.440188679
MER	"90.0, 189.0"	529	459	1252	162.2230624	1.557277883
MER	"97.0, 180.0"	529	456	1268	162.4801512	1.556899811
MER	"113.0, 189.0"	529	437	1305	162.6143667	1.56294896
MER	"100.0, 194.0"	529	509	1122	162.8279773	1.471833648
MER	"88.0, 190.0"	524	472	1221	164.3377863	1.670038168
MER	"101.0, 185.0"	521	443	1280	164.3416507	1.580998081
MER	"104.0, 192.0"	520	430	1341	165.5884615	1.590576923
MER	"91.0, 188.0"	518	434	1078	166.2934363	1.453667954
MER	"87.0, 196.0"	516	467	1034	166.2596899	1.419186047
MER	"95.0, 185.0"	514	459	1095	166.5116732	1.395136187
MER	"95.0, 180.0"	514	443	1145	166.9902724	1.463618677
MER	"93.0, 187.0"	513	454	1099	167.9512671	1.488499025
MER	"117.0, 190.0"	510	411	1254	168.9490196	1.525490196
MER	"91.0, 206.0"	509	438	998	169.1532417	1.390176817
MER	"104.0, 181.0"	508	435	1196	169.4232283	1.511614173
MER	"81.0, 192.0"	507	416	1231	168.8974359	1.601775148
MER	"94.0, 194.0"	506	429	1141	170.0256917	1.624901186
MER	"91.0, 192.0"	505	431	1107	170.4594059	1.534059406
MER	"110.0, 189.0"	502	439	1174	170.3386454	1.473306773
MER	"109.0, 189.0"	502	429	1501	170.998008	1.624501992
MER	"113.0, 191.0"	499	404	1126	171.8316633	1.466132265
MER	"119.0, 188.0"	497	445	992	171.5070423	1.329979879
MER	"99.0, 198.0"	495	429	1068	173.2383838	1.488282828
MER	"101.0, 202.0"	495	450	1015	173.6848485	1.33010101
MER	"118.0, 189.0"	494	433	995	174.2004049	1.347368421
MER	"98.0, 203.0"	492	449	1022	174.245935	1.380487805
MER	"85.0, 185.0"	491	447	1011	173.3767821	1.402443992
MER	"91.0, 193.0"	487	416	1100	176.0123203	1.563449692
MER	"99.0, 178.0"	486	391	1100	176.281893	1.489917695
MER	"98.0, 182.0"	484	421	1108	176.3884298	1.537396694
MER	"86.0, 189.0"	484	433	994	177.5805785	1.414049587
