County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
MID	"125.0, 220.0"	13355	12718	57070	6.064095844	2.227532759
MID	"137.0, 228.0"	9578	9465	33085	8.584673209	2.144205471
MID	"141.0, 229.0"	8079	7958	27966	10.25522961	2.10310682
MID	"143.0, 223.0"	7905	7779	26348	10.48665402	2.128981657
MID	"143.0, 228.0"	6950	6772	23660	11.98158273	2.065654676
MID	"137.0, 229.0"	6045	5900	20753	13.85062035	2.040578991
MID	"125.0, 219.0"	5627	5492	21662	14.90385641	2.047680825
MID	"126.0, 228.0"	5426	5362	17429	15.47622558	1.944268338
MID	"132.0, 210.0"	5238	5113	16388	16.04543719	2.017850325
MID	"141.0, 212.0"	5149	4976	16444	16.33346281	1.956263352
MID	"145.0, 232.0"	5038	4793	18618	16.70682811	2.046466852
MID	"127.0, 228.0"	4908	4840	15618	17.14914425	1.938651182
MID	"144.0, 222.0"	4859	4657	17643	17.33278452	2.091500309
MID	"145.0, 222.0"	4772	4644	15792	17.66219614	2.115444258
MID	"142.0, 233.0"	4538	4285	16429	18.58704275	1.844072279
MID	"123.0, 217.0"	4311	2405	18162	19.86290884	2.410160056
MID	"142.0, 228.0"	4190	4115	13046	20.16420048	1.99699284
MID	"131.0, 224.0"	4097	3931	16838	20.64437393	2.213985843
MID	"138.0, 230.0"	4080	3713	15782	20.84558824	1.966421569
MID	"126.0, 215.0"	3817	3734	11671	22.1925596	1.953078334
MID	"134.0, 226.0"	3745	3273	13238	22.72576769	1.981522029
MID	"144.0, 223.0"	3724	3624	12210	22.73469388	2.123899033
MID	"141.0, 228.0"	3719	3604	12054	22.77520839	1.96316214
MID	"140.0, 216.0"	3614	3499	11785	23.44825678	1.968677366
MID	"133.0, 222.0"	3603	3465	21690	23.54482376	2.750846517
MID	"136.0, 228.0"	3585	3524	10942	23.64965132	1.919776848
MID	"118.0, 195.0"	3559	3369	11964	23.80106772	1.869176735
MID	"123.0, 233.0"	3553	3180	12849	23.8713763	1.793639178
MID	"142.0, 214.0"	3533	3397	11699	24.00679309	2.055250495
MID	"111.0, 197.0"	3505	3278	11246	24.18972896	1.80299572
MID	"140.0, 229.0"	3474	3374	11003	24.40184226	1.937017847
MID	"109.0, 198.0"	3439	3224	11086	24.67577784	1.780982844
MID	"109.0, 203.0"	3381	3211	11216	25.09021	1.933510796
MID	"142.0, 231.0"	3379	3257	10906	25.11393904	1.88076354
MID	"123.0, 226.0"	3370	3215	11439	25.18130564	1.870860534
MID	"124.0, 221.0"	3326	3184	11022	25.51262778	1.8153638
MID	"141.0, 227.0"	3324	3213	11253	25.5454272	1.939049338
MID	"124.0, 219.0"	3282	3093	11804	25.87081048	1.865722121
MID	"131.0, 222.0"	3273	3193	9929	25.93156126	1.939260617
MID	"137.0, 230.0"	3221	3113	10090	26.3477181	1.917106489
MID	"149.0, 233.0"	3214	3026	10468	26.42034848	1.94029247
MID	"128.0, 218.0"	3196	3130	9610	26.58354193	1.919618273
MID	"124.0, 216.0"	3193	3033	11130	26.60350767	1.895678046
MID	"125.0, 216.0"	3167	3077	9906	26.81433533	1.88961162
MID	"140.0, 205.0"	3140	2982	9486	27.06464968	1.817420382
MID	"130.0, 215.0"	3134	3043	9375	27.11582642	1.927696235
MID	"139.0, 228.0"	3121	3000	10572	27.20506248	1.962736302
MID	"145.0, 223.0"	3115	2998	10534	27.26902087	2.228764045
MID	"127.0, 227.0"	3083	3004	9331	27.55497892	1.852416477
MID	"131.0, 231.0"	3026	2975	9196	28.1107072	1.826602776
MID	"118.0, 204.0"	2936	2788	8925	28.97275204	1.93736376
MID	"140.0, 204.0"	2932	2740	8923	29.01227831	1.766507503
MID	"144.0, 224.0"	2899	2712	10807	29.32286996	2.168989307
MID	"124.0, 218.0"	2886	2745	10445	29.44317394	1.856098406
MID	"143.0, 218.0"	2882	2052	12136	29.63740458	2.275399028
MID	"131.0, 223.0"	2797	2733	8473	30.43439399	1.900321773
MID	"134.0, 227.0"	2787	2663	9002	30.5776821	1.916254037
MID	"126.0, 220.0"	2755	2687	8368	30.90852995	1.812849365
MID	"130.0, 214.0"	2754	2699	8056	30.90559187	1.89422658
MID	"144.0, 216.0"	2719	2583	8585	31.30525929	1.851710188
MID	"124.0, 191.0"	2649	2478	8136	32.14986787	1.792827482
MID	"139.0, 204.0"	2636	2521	8066	32.30273141	1.846282246
MID	"125.0, 218.0"	2635	2533	9423	32.34155598	1.861593928
MID	"121.0, 212.0"	2620	2487	7961	32.51946565	1.838587786
MID	"136.0, 222.0"	2616	2590	7663	32.55810398	1.917125382
MID	"124.0, 220.0"	2615	2496	10256	32.57170172	2.060076482
MID	"123.0, 219.0"	2610	2240	10182	32.63793103	1.85256705
MID	"128.0, 221.0"	2604	2466	8964	32.71582181	1.943701997
MID	"132.0, 211.0"	2593	2504	7582	32.84458157	1.900771307
MID	"138.0, 227.0"	2590	2499	7638	32.8953668	1.857876448
MID	"127.0, 221.0"	2538	2465	7624	33.58628842	1.814184397
MID	"144.0, 221.0"	2525	2438	7932	33.74732673	2.099881188
MID	"129.0, 223.0"	2517	1587	10369	33.98728645	2.17322209
MID	"140.0, 228.0"	2475	2411	7412	34.43191919	1.845737374
MID	"129.0, 218.0"	2474	2392	7320	34.46806791	1.83047696
MID	"120.0, 227.0"	2468	2325	7568	34.53322528	1.656320908
MID	"141.0, 211.0"	2458	2359	7169	34.69243287	1.853905614
MID	"131.0, 215.0"	2446	2386	7008	34.84300899	1.848282911
MID	"143.0, 222.0"	2429	2359	7667	35.03828736	2.057348703
MID	"132.0, 225.0"	2412	2393	6934	35.35489221	1.881509121
MID	"139.0, 207.0"	2394	2318	6899	35.61194653	1.860359231
MID	"132.0, 222.0"	2372	2315	6848	35.9489882	1.878878583
MID	"140.0, 230.0"	2371	2275	7549	35.93631379	1.894010966
MID	"127.0, 220.0"	2356	2255	7315	36.21307301	1.833488964
MID	"131.0, 206.0"	2350	2251	6588	36.2787234	1.858893617
MID	"142.0, 232.0"	2326	2198	7353	36.67368874	1.767626827
MID	"123.0, 215.0"	2303	2211	6700	37.05471125	1.754190187
MID	"138.0, 231.0"	2301	2182	6945	37.07344633	1.838504998
MID	"132.0, 214.0"	2293	2211	6990	37.17051897	1.927954645
MID	"142.0, 224.0"	2282	2196	6876	37.41279579	1.906354075
MID	"129.0, 224.0"	2253	2139	6824	37.88060364	1.865690191
MID	"125.0, 221.0"	2227	2152	6689	38.32375393	1.726942075
MID	"119.0, 231.0"	2208	2015	7075	38.5932971	1.684556159
MID	"126.0, 219.0"	2173	2090	7120	39.26967326	1.867464335
MID	"136.0, 226.0"	2149	2071	6352	39.746859	1.87026524
MID	"138.0, 229.0"	2130	2071	6214	40.08873239	1.807605634
MID	"138.0, 234.0"	2127	2014	6507	40.1274095	1.727550541
MID	"137.0, 223.0"	2119	2067	6225	40.3190184	1.824870222
MID	"142.0, 229.0"	2105	2011	6131	40.54631829	1.819097387
MID	"140.0, 207.0"	2103	1973	6577	40.58202568	1.945078459
MID	"134.0, 224.0"	2099	2023	5982	40.6674607	1.809385422
MID	"133.0, 223.0"	2094	2059	5909	40.77984718	1.820582617
MID	"137.0, 231.0"	2092	1981	6328	40.80353728	1.805688337
MID	"142.0, 217.0"	2070	2005	5830	41.27729469	1.831352657
MID	"120.0, 214.0"	2058	1933	6108	41.51603499	1.726287658
MID	"141.0, 214.0"	2044	1956	6131	41.80234834	1.829696673
MID	"119.0, 213.0"	2028	1897	5998	42.12869822	1.710848126
MID	"128.0, 228.0"	2011	1931	5813	42.49627051	1.74808553
MID	"143.0, 229.0"	2003	1688	8556	42.71942087	1.923614578
MID	"130.0, 221.0"	1995	1915	5792	42.83609023	1.804511278
MID	"130.0, 234.0"	1982	1860	6141	43.10090817	1.631382442
MID	"136.0, 230.0"	1978	1851	6318	43.21284125	1.919615774
MID	"128.0, 213.0"	1976	1896	5510	43.22672065	1.805465587
MID	"110.0, 197.0"	1975	1801	6036	43.29417722	1.69235443
MID	"126.0, 214.0"	1973	1896	5705	43.32083122	1.757881399
MID	"128.0, 212.0"	1968	1905	5540	43.43191057	1.833180894
MID	"142.0, 230.0"	1958	1842	6203	43.60265577	1.856128703
MID	"112.0, 206.0"	1950	1809	5735	43.83641026	1.748717949
MID	"143.0, 224.0"	1948	1851	6075	43.87782341	1.981211499
MID	"136.0, 215.0"	1920	1829	5510	44.50729167	1.841302083
MID	"131.0, 226.0"	1910	1853	5398	44.70209424	1.741413613
MID	"129.0, 225.0"	1900	1745	6487	44.98157895	1.960736842
MID	"140.0, 206.0"	1898	1811	5389	45.05795574	1.836617492
MID	"130.0, 216.0"	1895	1826	5237	45.07598945	1.807124011
MID	"126.0, 229.0"	1870	1787	5208	45.68449198	1.715294118
MID	"129.0, 232.0"	1867	1765	5871	45.75843599	1.739796465
MID	"122.0, 226.0"	1866	1737	5639	45.78510182	1.696409432
MID	"136.0, 223.0"	1850	1815	5335	46.24918919	1.815783784
MID	"142.0, 227.0"	1846	1789	5247	46.34290358	1.785048754
MID	"150.0, 231.0"	1843	1651	5893	46.39066739	1.902712968
MID	"144.0, 228.0"	1840	1743	5382	46.4701087	1.79326087
MID	"128.0, 208.0"	1835	1738	5046	46.63051771	1.750735695
MID	"119.0, 233.0"	1826	1705	5300	46.80558598	1.55558598
MID	"138.0, 206.0"	1816	1744	5083	47.07544053	1.776707048
MID	"124.0, 199.0"	1811	1691	5143	47.25124241	1.786305908
MID	"128.0, 229.0"	1809	1668	5249	47.17689331	1.695743505
MID	"124.0, 215.0"	1798	1725	5050	47.53337041	1.741156841
MID	"131.0, 212.0"	1795	1723	4896	47.62339833	1.770473538
MID	"128.0, 227.0"	1794	1693	5246	47.63210702	1.75819398
MID	"122.0, 228.0"	1793	1718	5240	47.73229225	1.645398773
MID	"128.0, 226.0"	1791	1688	5280	47.76661083	1.776661083
MID	"133.0, 213.0"	1782	1694	4945	47.95791246	1.829068462
MID	"140.0, 225.0"	1781	1670	5223	47.98820887	1.861482313
MID	"139.0, 227.0"	1760	1683	5228	48.55284091	1.820113636
MID	"126.0, 209.0"	1758	1636	5008	48.60807736	1.76814562
MID	"143.0, 217.0"	1745	1689	4827	48.95988539	1.795759312
MID	"149.0, 232.0"	1727	1525	5648	49.54255935	1.920613781
