County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
MON	"149.0, 170.0"	11464	9632	53000	7.094644103	2.206149686
MON	"143.0, 186.0"	6043	5427	20145	13.85255668	2.071222903
MON	"149.0, 171.0"	5881	5066	21402	14.23907499	1.903570821
MON	"168.0, 192.0"	4653	4450	14813	18.11068128	2.001246508
MON	"165.0, 170.0"	4432	3951	15302	19.04805957	1.854715704
MON	"165.0, 168.0"	4142	3627	14248	20.4051183	1.759415741
MON	"144.0, 186.0"	3792	3409	11775	22.33043249	1.948707806
MON	"168.0, 173.0"	3483	3234	11069	24.35601493	1.815819696
MON	"150.0, 167.0"	3305	2600	12720	25.69742814	1.64602118
MON	"167.0, 200.0"	3260	3115	10377	26.03128834	2.001871166
MON	"169.0, 183.0"	3124	2920	9742	27.20422535	1.920518566
MON	"149.0, 173.0"	3123	2720	9899	27.21261607	1.75325008
MON	"166.0, 200.0"	3107	2578	10565	27.41486965	1.905857741
MON	"149.0, 210.0"	3094	1568	12277	27.68196509	2.574886878
MON	"141.0, 185.0"	2964	2592	9064	28.69669366	1.923481781
MON	"167.0, 170.0"	2838	2624	9003	29.98872445	1.75324172
MON	"168.0, 168.0"	2782	2575	8833	30.58051761	1.686556434
MON	"167.0, 171.0"	2722	2483	8459	31.27149155	1.728434974
MON	"164.0, 183.0"	2666	2500	8072	31.94298575	1.893923481
MON	"172.0, 182.0"	2648	2543	8393	32.16238671	1.986178248
MON	"167.0, 195.0"	2616	2462	8062	32.53746177	1.956077982
MON	"160.0, 181.0"	2607	2301	12148	32.71614883	2.7907173
MON	"169.0, 188.0"	2492	2320	7445	34.19823435	1.88382825
MON	"166.0, 168.0"	2485	2196	7847	34.31348089	1.65722334
MON	"173.0, 182.0"	2481	2370	7928	34.37283353	2.116767432
MON	"168.0, 175.0"	2461	2276	7446	34.62210484	1.780414466
MON	"171.0, 173.0"	2379	2239	7363	35.83690626	1.775872215
MON	"144.0, 187.0"	2372	2097	6986	35.91231029	1.913617201
MON	"148.0, 175.0"	2294	2001	6770	37.21098518	1.715344377
