County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
MOR	"125.0, 269.0"	11559	11465	39676	7.042564236	2.23269314
MOR	"124.0, 268.0"	11100	11040	37806	7.346576577	2.231918919
MOR	"114.0, 276.0"	9413	9345	31508	8.738871773	2.12365877
MOR	"121.0, 262.0"	8338	8209	29493	9.923362917	2.19353562
MOR	"127.0, 260.0"	5913	5852	18880	14.16252325	2.029646542
MOR	"103.0, 272.0"	5762	5682	18457	14.54009025	1.967320375
MOR	"122.0, 261.0"	5175	5083	16385	16.24309179	2.012019324
MOR	"132.0, 264.0"	4600	4575	14184	18.32586957	1.945673913
MOR	"121.0, 261.0"	4365	4287	13634	19.34020619	1.955509737
MOR	"123.0, 260.0"	4285	4181	14136	19.71715286	2.021960327
MOR	"103.0, 273.0"	4062	3993	12600	20.816839	1.863786312
MOR	"109.0, 281.0"	4052	3989	12636	20.87981244	1.904516288
MOR	"124.0, 269.0"	3782	3681	12004	22.38577472	2.005790587
MOR	"113.0, 274.0"	3777	3553	13475	22.46147736	1.829229547
MOR	"133.0, 271.0"	3601	3511	10866	23.54540405	1.906303804
MOR	"129.0, 270.0"	3588	3520	11190	23.62263099	1.945429208
MOR	"140.0, 279.0"	3447	3323	10630	24.61560777	1.861734842
MOR	"131.0, 271.0"	3434	3321	10383	24.69889342	1.917559697
MOR	"141.0, 289.0"	3218	2993	10998	26.38906153	1.747793661
MOR	"137.0, 270.0"	3110	3059	9342	27.33697749	1.805594855
MOR	"127.0, 255.0"	3046	2976	9093	27.91858175	1.801543007
MOR	"124.0, 260.0"	2970	2886	8767	28.62424242	1.898585859
MOR	"111.0, 274.0"	2870	2816	8437	29.62857143	1.873449477
MOR	"133.0, 261.0"	2830	2701	8630	30.0565371	1.801625442
MOR	"123.0, 268.0"	2825	2782	8261	30.11150442	1.917734513
MOR	"133.0, 263.0"	2765	2695	8396	30.79421338	1.822350814
MOR	"129.0, 256.0"	2757	2478	9315	30.91875227	1.941313021
MOR	"98.0, 259.0"	2753	2667	7947	30.93897566	1.863240102
MOR	"132.0, 254.0"	2717	2567	11146	31.33566434	1.887412587
MOR	"122.0, 262.0"	2713	2567	8655	31.39071139	1.830888316
MOR	"122.0, 265.0"	2682	2620	7675	31.74981357	1.882587621
MOR	"143.0, 285.0"	2565	2413	8157	33.22066277	1.670877193
MOR	"132.0, 273.0"	2351	2244	6804	36.2781795	1.836622714
MOR	"122.0, 275.0"	2338	2286	6571	36.47647562	1.868819504
MOR	"126.0, 265.0"	2336	2278	6905	36.52868151	1.849315068
MOR	"141.0, 279.0"	2331	2097	7933	36.70913771	2.048219648
MOR	"127.0, 273.0"	2326	2267	6496	36.69647463	1.865348237
MOR	"124.0, 263.0"	2307	2280	6509	36.98352839	1.84603381
MOR	"131.0, 260.0"	2301	2217	6751	37.08691873	1.750282486
MOR	"123.0, 259.0"	2215	2013	7923	38.47223476	2.126094808
MOR	"132.0, 263.0"	2211	2145	6209	38.56716418	1.763364993
MOR	"122.0, 274.0"	2193	2148	5956	38.93616051	1.835385317
MOR	"130.0, 255.0"	2190	2099	6356	38.98127854	1.711689498
MOR	"134.0, 263.0"	2182	2101	6296	39.13886343	1.711044913
MOR	"101.0, 277.0"	2177	2088	7285	39.31005972	1.739733578
MOR	"98.0, 260.0"	2169	2072	6037	39.38819733	1.803918857
MOR	"125.0, 265.0"	2144	2077	5899	39.84328358	1.809421642
MOR	"97.0, 274.0"	2140	2027	6431	39.89906542	1.695934579
MOR	"112.0, 271.0"	2113	2051	5832	40.4330336	1.779886417
MOR	"97.0, 267.0"	2094	2022	5961	40.77029608	1.793170965
MOR	"121.0, 244.0"	2080	1994	6023	41.08365385	1.610961538
MOR	"125.0, 267.0"	2077	2042	5907	41.14780934	1.820895522
MOR	"129.0, 277.0"	2066	1968	5761	41.3446273	1.834898354
MOR	"131.0, 265.0"	2052	2004	5615	41.62231969	1.812524366
MOR	"133.0, 260.0"	2012	1881	5899	42.47017893	1.705119284
MOR	"97.0, 276.0"	1990	1732	6565	42.91557789	1.572512563
MOR	"130.0, 277.0"	1972	1922	5271	43.30882353	1.806541582
MOR	"128.0, 256.0"	1968	1869	5557	43.42835366	1.702693089
MOR	"133.0, 254.0"	1964	1845	5735	43.50356415	1.628716904
MOR	"135.0, 290.0"	1953	1872	5722	43.74039939	1.700768049
MOR	"118.0, 276.0"	1952	1886	5381	43.78381148	1.777254098
MOR	"114.0, 274.0"	1948	1873	5418	43.88603696	1.818839836
MOR	"138.0, 270.0"	1909	1778	5527	44.75694081	1.679046621
MOR	"126.0, 272.0"	1869	1802	5060	45.74317817	1.766880685
MOR	"125.0, 273.0"	1863	1811	4928	45.92968331	1.76849168
MOR	"128.0, 271.0"	1855	1808	5040	46.09002695	1.754932615
MOR	"119.0, 258.0"	1854	1728	5738	46.08522114	1.904584682
MOR	"121.0, 263.0"	1850	1767	5183	46.23621622	1.837189189
MOR	"105.0, 276.0"	1840	1780	5282	46.46847826	1.678858696
MOR	"127.0, 259.0"	1836	1774	5097	46.59150327	1.755610022
MOR	"121.0, 265.0"	1829	1766	4988	46.71951886	1.796883543
MOR	"138.0, 288.0"	1823	1759	5366	46.94624246	1.645584202
MOR	"130.0, 271.0"	1817	1724	4803	47.05668685	1.75624656
MOR	"142.0, 285.0"	1809	1636	5428	47.26865672	1.660143726
MOR	"125.0, 272.0"	1802	1765	5015	47.48113208	1.795061043
MOR	"104.0, 276.0"	1800	1725	5025	47.54444444	1.689666667
MOR	"127.0, 272.0"	1799	1700	4975	47.51862146	1.762479155
MOR	"131.0, 261.0"	1797	1732	4957	47.56983862	1.704006678
MOR	"134.0, 290.0"	1793	1726	5191	47.72002231	1.665253765
MOR	"128.0, 257.0"	1790	1620	5609	47.78156425	1.783072626
MOR	"113.0, 273.0"	1778	1685	4850	48.09167604	1.830033746
MOR	"132.0, 274.0"	1756	1599	5539	48.73633257	1.927961276
MOR	"141.0, 288.0"	1751	1608	5350	48.88463735	1.629183324
MOR	"115.0, 273.0"	1733	1675	4584	49.4016157	1.753779573
MOR	"109.0, 284.0"	1728	1657	4850	49.52893519	1.678877315
MOR	"131.0, 253.0"	1722	1588	4995	49.70789779	1.620150987
MOR	"131.0, 277.0"	1710	1648	4504	49.99298246	1.74877193
MOR	"140.0, 288.0"	1710	1634	5065	50.06783626	1.586315789
MOR	"141.0, 280.0"	1701	1574	4969	50.31922399	1.697178131
MOR	"127.0, 266.0"	1692	1619	4600	50.606974	1.72393617
MOR	"132.0, 271.0"	1684	1625	4395	50.82007126	1.71567696
MOR	"137.0, 290.0"	1653	1459	4961	51.753781	1.658439201
MOR	"123.0, 263.0"	1651	1589	4264	51.82798304	1.71399152
MOR	"137.0, 288.0"	1602	1520	4528	53.47565543	1.628714107
MOR	"127.0, 268.0"	1597	1543	4225	53.59799624	1.725735755
MOR	"140.0, 284.0"	1595	1418	5021	53.71034483	1.771974922
MOR	"136.0, 270.0"	1593	1495	4680	53.64469554	1.74168236
MOR	"116.0, 274.0"	1587	1501	4432	53.85885318	1.747763075
MOR	"110.0, 260.0"	1572	1542	4106	54.41030534	1.707379135
MOR	"128.0, 272.0"	1570	1536	4289	54.50764331	1.702675159
MOR	"135.0, 270.0"	1559	1484	4105	54.93393201	1.666837716
MOR	"131.0, 254.0"	1559	1445	5053	54.96215523	1.718537524
MOR	"118.0, 275.0"	1544	1490	3857	55.37111399	1.690544041
MOR	"121.0, 275.0"	1539	1467	3955	55.50422352	1.724496426
MOR	"126.0, 257.0"	1517	1421	4587	56.2195122	1.806130521
MOR	"118.0, 271.0"	1510	1466	3735	56.74437086	1.706556291
MOR	"92.0, 270.0"	1507	1401	5037	56.78168547	1.921300597
MOR	"128.0, 270.0"	1501	1398	4041	57.01332445	1.725916056
MOR	"128.0, 265.0"	1496	1411	3884	57.2092246	1.656483957
MOR	"142.0, 286.0"	1481	1369	4327	57.89331533	1.550168805
MOR	"107.0, 271.0"	1461	1420	3687	58.61054073	1.682340862
MOR	"118.0, 272.0"	1440	1339	4521	59.44236111	1.974375
MOR	"96.0, 274.0"	1418	1343	3901	60.46050776	1.587376587
MOR	"108.0, 259.0"	1408	1289	4005	60.81534091	1.762997159
MOR	"135.0, 291.0"	1408	1301	3950	60.85440341	1.635653409
MOR	"118.0, 257.0"	1403	1308	3992	60.89094797	1.791803279
MOR	"133.0, 264.0"	1390	1290	3690	61.5942446	1.584532374
MOR	"129.0, 276.0"	1388	1208	4043	61.75576369	1.696325648
MOR	"122.0, 266.0"	1386	1122	5608	61.91630592	1.914574315
MOR	"127.0, 257.0"	1385	1306	4411	61.6967509	2.076389892
MOR	"122.0, 244.0"	1385	1312	3698	61.88736462	1.541588448
MOR	"127.0, 277.0"	1377	1327	3347	62.21641249	1.658315178
MOR	"132.0, 261.0"	1370	1302	3561	62.42189781	1.605036496
MOR	"137.0, 271.0"	1369	1295	3554	62.66033601	1.619649379
MOR	"125.0, 266.0"	1368	1276	3479	62.58552632	1.637646199
MOR	"94.0, 274.0"	1359	1271	3707	63.07505519	1.593892568
MOR	"127.0, 254.0"	1346	1236	3547	63.6961367	1.591456166
MOR	"124.0, 261.0"	1344	1209	3718	63.72991071	1.7265625
MOR	"124.0, 262.0"	1343	1287	3324	63.87490692	1.616157856
MOR	"105.0, 271.0"	1336	1258	3364	64.17365269	1.620808383
