County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
OCE	"169.0, 162.0"	3861	468	13016	22.24889925	2.45047915
OCE	"126.0, 172.0"	3616	3346	12065	23.44441372	2.120077434
OCE	"150.0, 165.0"	2812	2488	13652	30.2083926	2.176209104
OCE	"152.0, 145.0"	2269	2007	8156	37.56765095	2.079594535
OCE	"154.0, 149.0"	2188	2114	7041	39.02833638	2.085100548
OCE	"150.0, 162.0"	2170	1972	7417	39.37880184	1.957465438
OCE	"154.0, 147.0"	1971	1676	7294	43.32623034	2.086199899
OCE	"139.0, 154.0"	1867	1593	6829	45.82538832	2.254151044
OCE	"150.0, 164.0"	1751	1542	6459	48.72472873	1.872015991
OCE	"148.0, 92.0"	1734	1673	5039	49.36678201	2.120645905
OCE	"152.0, 146.0"	1715	1651	5036	49.92944606	1.953994169
OCE	"166.0, 144.0"	1667	1604	4976	51.36772645	2.060407918
OCE	"116.0, 161.0"	1635	1495	4901	52.36574924	1.624648318
OCE	"152.0, 165.0"	1547	1265	8624	55.32062056	2.348480931
OCE	"156.0, 153.0"	1514	1369	9685	0.781373844	3.000660502
OCE	"159.0, 148.0"	1451	1382	4226	59.07305307	1.9356306
OCE	"135.0, 96.0"	1437	1354	4033	59.53305498	1.945372303
OCE	"143.0, 112.0"	1436	1358	3903	59.69916435	2.033983287
OCE	"151.0, 165.0"	1428	1236	5839	59.89635854	1.93557423
OCE	"168.0, 164.0"	1372	1242	4279	62.39139942	1.783527697
OCE	"155.0, 163.0"	1369	1226	4050	62.60262966	1.770197224
OCE	"159.0, 166.0"	1359	1116	4997	63.06622517	1.972847682
OCE	"159.0, 165.0"	1353	1151	4484	63.38654841	1.914634146
OCE	"151.0, 164.0"	1336	1167	4362	64.01197605	1.747005988
OCE	"133.0, 93.0"	1332	1267	3896	64.32582583	2.030780781
OCE	"141.0, 169.0"	1318	1180	4178	64.96737481	1.931107739
OCE	"158.0, 155.0"	1313	1276	3707	65.26351866	1.913404417
OCE	"170.0, 165.0"	1304	1191	4083	65.77990798	1.811349693
OCE	"154.0, 131.0"	1303	1252	3731	65.85188028	1.956868764
OCE	"156.0, 148.0"	1287	1069	3829	66.20512821	1.755167055
OCE	"152.0, 147.0"	1269	1185	3731	67.52009456	1.872892041
OCE	"147.0, 148.0"	1264	1195	3398	67.87025316	1.857041139
OCE	"144.0, 169.0"	1231	1138	3490	69.59138911	1.732900081
OCE	"158.0, 153.0"	1229	1149	3450	69.64686737	1.850528885
OCE	"166.0, 163.0"	1224	936	5709	70.0629085	2.172058824
OCE	"160.0, 158.0"	1208	1078	3746	70.9263245	1.822847682
OCE	"157.0, 140.0"	1193	1139	3281	71.87007544	1.85766974
OCE	"166.0, 143.0"	1192	1157	3351	72.02684564	1.939177852
OCE	"153.0, 147.0"	1191	1109	3588	71.95801847	1.908732158
OCE	"146.0, 164.0"	1187	1006	4296	72.15754002	1.874810447
OCE	"161.0, 162.0"	1178	1108	3217	72.78013582	1.766808149
OCE	"128.0, 174.0"	1177	1103	3534	72.95921835	1.783517417
OCE	"167.0, 163.0"	1170	1066	3751	73.02136752	1.663675214
OCE	"159.0, 159.0"	1159	1064	3204	74.03882657	1.734081104
OCE	"153.0, 145.0"	1157	968	3943	73.52808989	2.033362143
OCE	"151.0, 167.0"	1150	752	4070	74.48173913	1.706608696
OCE	"149.0, 166.0"	1129	943	3621	75.9486271	1.794419841
OCE	"149.0, 161.0"	1128	1021	3819	76.07978723	1.986613475
OCE	"158.0, 159.0"	1120	1009	3064	76.49017857	1.660089286
OCE	"153.0, 146.0"	1111	1041	2888	77.27182718	1.727452745
OCE	"154.0, 150.0"	1109	976	3063	77.15779982	1.728043282
OCE	"158.0, 147.0"	1085	914	4350	79.05529954	2.145714286
OCE	"155.0, 146.0"	1083	1005	2915	79.16158818	1.812373038
OCE	"165.0, 162.0"	1082	966	3158	78.97134935	1.705730129
OCE	"159.0, 162.0"	1075	938	3049	79.70790698	1.671906977
OCE	"146.0, 108.0"	1045	982	2623	82.18660287	1.905645933
OCE	"137.0, 97.0"	1044	982	3077	82.24042146	2.006226054
OCE	"146.0, 168.0"	1040	934	3481	82.45961538	1.670769231
OCE	"157.0, 159.0"	1037	972	2743	82.80038573	1.804339441
OCE	"155.0, 133.0"	1032	892	3513	82.94476744	2.051356589
OCE	"158.0, 154.0"	1023	944	2710	83.7771261	1.717888563
OCE	"144.0, 110.0"	1017	969	2630	84.42182891	1.940412979
OCE	"152.0, 158.0"	1003	895	2790	85.66500499	1.73220339
OCE	"144.0, 111.0"	1002	964	2501	85.58782435	1.886926148
OCE	"147.0, 117.0"	991	913	3080	86.62865792	2.130070636
OCE	"148.0, 91.0"	986	944	2514	87.0801217	1.922920892
OCE	"166.0, 162.0"	984	881	2752	87.31199187	1.63953252
OCE	"170.0, 164.0"	981	914	2903	87.59327217	1.879204893
OCE	"143.0, 168.0"	978	848	2791	87.6993865	1.720552147
OCE	"143.0, 111.0"	978	929	2489	87.71881391	1.905316973
OCE	"161.0, 163.0"	971	822	2889	88.39752832	1.653141092
OCE	"148.0, 148.0"	956	828	2727	89.66108787	1.84790795
OCE	"159.0, 145.0"	951	882	2619	90.09043113	1.779179811
OCE	"143.0, 116.0"	940	832	2947	91.31276596	2.28787234
OCE	"145.0, 169.0"	937	810	2465	91.6755603	1.609711846
OCE	"165.0, 163.0"	935	827	2646	91.83315508	1.639786096
OCE	"168.0, 163.0"	930	854	2695	92.28494624	1.635806452
OCE	"150.0, 158.0"	929	842	2355	92.50914962	1.672874058
OCE	"150.0, 143.0"	927	851	2812	92.57713053	1.913915858
OCE	"152.0, 130.0"	926	860	2494	92.64146868	1.794600432
OCE	"151.0, 150.0"	926	845	2318	92.75917927	1.703347732
OCE	"155.0, 151.0"	926	758	3437	92.76781857	2.290280778
OCE	"147.0, 157.0"	924	813	2442	93.03896104	1.680735931
OCE	"164.0, 162.0"	922	838	2384	93.03470716	1.708893709
OCE	"147.0, 116.0"	922	841	2954	93.04663774	2.132754881
OCE	"152.0, 142.0"	920	834	2597	93.37826087	1.841195652
OCE	"147.0, 118.0"	918	871	2227	93.65577342	1.782679739
OCE	"135.0, 97.0"	913	851	2166	94.12267251	1.746987952
OCE	"160.0, 164.0"	912	783	2535	94.18530702	1.670175439
OCE	"152.0, 141.0"	907	824	2711	94.64277839	2.003417861
OCE	"153.0, 143.0"	904	829	2506	94.9800885	1.79380531
OCE	"151.0, 166.0"	903	770	3028	94.696567	1.697009967
OCE	"157.0, 145.0"	894	811	2309	95.86689038	1.713310962
OCE	"149.0, 147.0"	894	808	2222	95.97091723	1.663870246
OCE	"163.0, 165.0"	894	746	2560	95.99217002	1.633892617
OCE	"154.0, 146.0"	892	835	2236	96.38452915	1.673654709
OCE	"160.0, 162.0"	883	832	2212	97.19139298	1.667723669
OCE	"158.0, 160.0"	875	802	2193	98.11657143	1.691085714
OCE	"145.0, 164.0"	860	673	5635	91.95697674	2.89
OCE	"159.0, 158.0"	857	766	2656	100.0875146	1.787047841
OCE	"150.0, 159.0"	853	753	2148	100.3856975	1.584407972
OCE	"152.0, 166.0"	849	734	2564	101.2073027	1.630977621
OCE	"159.0, 160.0"	846	785	2245	101.6229314	1.750118203
OCE	"152.0, 149.0"	845	717	3060	101.6023669	1.969585799
OCE	"150.0, 161.0"	842	742	2666	101.739905	1.787767221
OCE	"150.0, 166.0"	836	722	2592	102.638756	1.679425837
OCE	"146.0, 112.0"	834	710	4216	102.7733813	2.593405276
OCE	"134.0, 93.0"	829	785	1961	103.6755127	1.705186972
OCE	"143.0, 114.0"	828	759	2517	103.7125604	2.10326087
OCE	"161.0, 158.0"	826	715	2285	103.9733656	1.695641646
OCE	"151.0, 163.0"	820	700	2559	104.6036585	1.705121951
OCE	"141.0, 154.0"	819	778	2218	104.993895	1.6997558
OCE	"158.0, 166.0"	817	745	2197	104.746634	1.663402693
OCE	"166.0, 161.0"	802	710	2348	106.7668329	1.634912718
OCE	"157.0, 141.0"	801	730	2203	107.3258427	1.85443196
OCE	"158.0, 150.0"	800	714	2032	107.47	1.63
