County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
PAS	"155.0, 278.0"	7103	6709	39876	11.72898775	2.899366465
PAS	"160.0, 271.0"	4207	4054	17743	20.06560494	2.373163775
PAS	"145.0, 275.0"	3690	3350	11784	22.95880759	1.875176152
PAS	"156.0, 278.0"	3604	3385	13888	23.51664817	2.145532741
PAS	"160.0, 272.0"	3393	3302	14869	25.00206307	2.509431182
PAS	"160.0, 270.0"	3377	3163	15690	25.11252591	2.483269174
PAS	"157.0, 278.0"	3316	3239	12476	25.56996381	2.264837153
PAS	"157.0, 277.0"	3206	3110	11877	26.48409233	2.20761073
PAS	"161.0, 271.0"	3110	2990	12120	27.29003215	2.294919614
PAS	"156.0, 277.0"	2971	2854	12027	28.60989566	2.408751262
PAS	"159.0, 271.0"	2909	2795	11733	29.22172568	2.274046064
PAS	"158.0, 279.0"	2749	2683	10918	30.97926519	2.279774463
PAS	"157.0, 274.0"	2722	2579	10359	31.26671565	2.072409993
PAS	"155.0, 279.0"	2677	2513	10476	31.80089653	2.230481883
PAS	"157.0, 279.0"	2644	2563	9806	32.16603631	2.226059002
PAS	"154.0, 279.0"	2577	2506	8915	33.03337214	2.135467598
PAS	"159.0, 272.0"	2559	2474	10209	33.2692458	2.249511528
PAS	"156.0, 275.0"	2559	2446	9174	33.29112935	2.108440797
PAS	"159.0, 270.0"	2447	2329	9187	34.79566817	2.127993461
PAS	"156.0, 276.0"	2355	2210	8581	36.19235669	1.986072187
PAS	"155.0, 280.0"	2335	2265	9028	36.52462527	2.186552463
PAS	"153.0, 279.0"	2313	2229	8000	36.87289235	2.061435365
PAS	"156.0, 279.0"	2281	2225	7749	37.38667251	2.058570802
PAS	"157.0, 280.0"	2259	2195	8199	37.68481629	2.195706065
PAS	"158.0, 278.0"	2241	2178	8253	38.0745203	2.19178938
PAS	"153.0, 278.0"	2185	2085	8162	39.09016018	2.182105263
PAS	"150.0, 274.0"	2071	1889	6264	41.23418638	1.826846934
PAS	"154.0, 280.0"	2069	1992	7414	41.28274529	2.022764621
PAS	"153.0, 276.0"	2041	1859	8083	41.83341499	2.208427242
PAS	"157.0, 273.0"	2020	1936	10946	42.24653465	2.75970297
PAS	"157.0, 275.0"	2003	1895	6911	42.62056915	1.945481777
PAS	"147.0, 274.0"	1997	1821	6415	42.80320481	1.796644967
PAS	"160.0, 269.0"	1974	1871	7416	43.28571429	2.159827761
PAS	"159.0, 273.0"	1955	1873	7065	43.72685422	2.055140665
PAS	"158.0, 277.0"	1954	1881	7046	43.65301945	2.09964176
PAS	"160.0, 273.0"	1948	1875	7280	43.85728953	2.128439425
PAS	"146.0, 287.0"	1921	1836	6102	44.53097345	1.744508069
PAS	"154.0, 281.0"	1915	1843	6467	44.58694517	1.982976501
PAS	"154.0, 278.0"	1910	1786	6045	44.68638743	1.896492147
PAS	"160.0, 268.0"	1836	1727	6857	46.58442266	2.115359477
PAS	"157.0, 281.0"	1827	1756	6384	46.74986316	2.112315271
PAS	"144.0, 282.0"	1764	1573	5503	48.50680272	1.664965986
PAS	"158.0, 275.0"	1753	1672	6202	48.82373075	2.051853965
PAS	"142.0, 290.0"	1743	1532	6139	49.04245554	1.783591509
PAS	"154.0, 272.0"	1740	1523	5866	49.15057471	1.863103448
PAS	"159.0, 274.0"	1683	1617	5908	50.75876411	2.044385027
PAS	"158.0, 270.0"	1659	1514	5504	51.58649789	1.842736588
PAS	"153.0, 280.0"	1655	1588	5376	51.70755287	1.947492447
PAS	"158.0, 271.0"	1645	1563	5943	52.05106383	2.060243161
PAS	"144.0, 281.0"	1637	1430	4964	52.30238241	1.675870495
PAS	"158.0, 273.0"	1635	1545	5238	52.29541284	1.85412844
PAS	"155.0, 281.0"	1632	1581	5536	52.44362745	2.050735294
PAS	"158.0, 272.0"	1631	1554	5553	52.39730227	1.95131821
PAS	"159.0, 266.0"	1629	1516	8363	52.4941682	2.05684469
PAS	"156.0, 280.0"	1620	1544	5558	52.81296296	1.963024691
PAS	"158.0, 281.0"	1613	1543	5159	53.07625542	1.986484811
PAS	"153.0, 272.0"	1561	1345	5024	54.69506726	1.819987188
PAS	"156.0, 271.0"	1545	1373	5184	55.40841424	1.89236246
PAS	"155.0, 277.0"	1505	1429	4449	56.77408638	1.858604651
PAS	"158.0, 280.0"	1495	1451	5107	57.13177258	2.111839465
PAS	"157.0, 272.0"	1472	1369	4516	57.80978261	1.799320652
PAS	"142.0, 291.0"	1465	1323	4603	58.51808874	1.674812287
PAS	"152.0, 282.0"	1461	1395	5489	58.37097878	2.137713895
PAS	"153.0, 277.0"	1454	1388	4590	58.91540578	1.933425034
PAS	"151.0, 273.0"	1452	1321	4476	58.88911846	1.721900826
PAS	"157.0, 283.0"	1406	1327	4424	60.8257468	1.924679943
PAS	"146.0, 274.0"	1401	1268	3883	61.1805853	1.692790864
PAS	"145.0, 278.0"	1398	775	4329	61.19670959	1.877110157
PAS	"150.0, 276.0"	1398	1295	4131	61.26609442	1.723533619
PAS	"155.0, 269.0"	1392	1202	4428	61.59195402	1.745258621
PAS	"149.0, 280.0"	1390	1222	4553	61.63956835	1.817482014
PAS	"119.0, 295.0"	1388	1289	4582	61.75936599	1.632708934
PAS	"157.0, 271.0"	1384	1180	4575	61.73410405	1.812138728
PAS	"157.0, 276.0"	1370	1278	4199	62.41313869	1.826058394
PAS	"156.0, 272.0"	1349	1202	5220	63.46849518	2.088658265
PAS	"155.0, 276.0"	1347	1226	4718	63.63028953	1.936971047
PAS	"151.0, 277.0"	1329	1228	3911	64.45974417	1.758991723
PAS	"159.0, 279.0"	1325	1281	4061	64.65056604	1.998490566
PAS	"161.0, 272.0"	1317	1254	4016	64.93318147	1.843432043
PAS	"149.0, 273.0"	1312	1136	4102	65.25762195	1.75472561
PAS	"159.0, 268.0"	1292	1186	4640	66.27399381	1.931888545
PAS	"148.0, 275.0"	1278	1141	3557	67.09076682	1.652816901
PAS	"154.0, 277.0"	1273	1205	3991	67.33071485	1.89811469
PAS	"159.0, 277.0"	1271	1206	4154	67.37136113	1.934854445
PAS	"157.0, 269.0"	1257	1094	4051	68.17899761	1.768655529
PAS	"159.0, 269.0"	1252	1149	4343	68.54153355	1.968051118
PAS	"152.0, 278.0"	1242	1192	3801	68.92270531	1.889613527
PAS	"155.0, 270.0"	1237	1130	3884	69.29426031	1.70105093
PAS	"157.0, 284.0"	1224	1159	3644	70.03839869	1.852124183
PAS	"144.0, 280.0"	1199	1063	3430	71.47623019	1.590325271
PAS	"156.0, 268.0"	1197	1071	3691	71.62907268	1.676524645
PAS	"157.0, 270.0"	1193	1101	3670	71.93461861	1.791450126
PAS	"158.0, 283.0"	1181	1142	3961	72.30567316	1.999068586
PAS	"158.0, 274.0"	1176	1099	3512	72.73894558	1.771598639
PAS	"152.0, 277.0"	1175	1076	3257	73.01787234	1.702893617
PAS	"155.0, 275.0"	1174	1115	3488	72.92078365	1.829301533
PAS	"152.0, 279.0"	1170	1114	3470	73.06923077	1.84974359
PAS	"158.0, 276.0"	1150	1095	3630	74.39478261	1.905391304
