County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
SAL	"29.0, 103.0"	1880	1765	5561	45.49680851	2.010159574
SAL	"46.0, 95.0"	1664	1577	4601	51.453125	1.900360577
SAL	"52.0, 80.0"	1628	1575	4677	52.57002457	1.807063882
SAL	"45.0, 95.0"	1504	1458	4049	56.98271277	1.89162234
SAL	"14.0, 92.0"	1345	1294	4475	63.70408922	2.234200743
SAL	"46.0, 96.0"	1307	1250	3311	65.5661821	1.783091048
SAL	"28.0, 103.0"	1241	1093	3887	69.09589041	2.108622079
SAL	"14.0, 114.0"	1158	1099	3775	74.07081174	1.952849741
SAL	"14.0, 112.0"	1044	977	3360	82.12835249	1.942049808
SAL	"47.0, 86.0"	1018	971	2725	84.33005894	1.753438114
SAL	"28.0, 102.0"	971	931	2506	88.35839341	1.78722966
SAL	"48.0, 91.0"	945	902	2196	90.94285714	1.640952381
SAL	"16.0, 94.0"	938	891	2748	91.60447761	1.957462687
SAL	"16.0, 91.0"	933	867	2751	91.83386924	1.902893891
SAL	"8.0, 103.0"	880	816	2940	97.21136364	2.060909091
SAL	"11.0, 107.0"	856	823	2475	100.3049065	1.863200935
SAL	"30.0, 103.0"	823	757	2091	104.1688943	1.74653706
SAL	"55.0, 82.0"	817	778	1947	105.2313341	1.544553244
SAL	"48.0, 86.0"	796	769	1829	107.8090452	1.608417085
SAL	"14.0, 113.0"	780	723	2727	110.1974359	2.117307692
SAL	"31.0, 103.0"	746	701	1692	114.9490617	1.593297587
SAL	"14.0, 111.0"	729	646	2288	117.8984911	1.886282579
SAL	"10.0, 106.0"	721	686	1951	119.1636616	1.850346741
SAL	"9.0, 105.0"	701	654	2031	122.042796	1.908416548
SAL	"29.0, 104.0"	668	624	1532	128.8922156	1.709730539
SAL	"25.0, 91.0"	641	588	1461	134.0296412	1.637597504
SAL	"8.0, 104.0"	619	576	1614	138.5993538	1.775767367
SAL	"15.0, 91.0"	605	571	1440	142.1123967	1.748099174
SAL	"30.0, 104.0"	591	549	1266	145.2098139	1.565989848
SAL	"8.0, 102.0"	586	548	1569	146.2662116	1.865017065
SAL	"48.0, 89.0"	533	471	1218	161.0825516	1.644652908
SAL	"10.0, 98.0"	530	518	1311	162.0433962	1.75754717
SAL	"15.0, 114.0"	529	473	1457	162.342155	1.779017013
SAL	"40.0, 99.0"	520	507	961	165.3442308	1.444230769
SAL	"52.0, 95.0"	511	424	1035	168.5127202	1.450097847
SAL	"51.0, 102.0"	496	479	1028	173.3366935	1.355846774
SAL	"14.0, 115.0"	472	428	1453	182.1567797	1.902966102
SAL	"9.0, 104.0"	455	417	1150	188.6	1.792087912
SAL	"15.0, 116.0"	451	390	1313	190.5698448	1.788913525
SAL	"10.0, 105.0"	446	383	1178	192.8654709	1.844843049
SAL	"9.0, 102.0"	439	405	951	195.6013667	1.60523918
SAL	"15.0, 113.0"	432	377	1156	198.7453704	1.7375
SAL	"13.0, 92.0"	420	401	1087	203.8928571	1.941904762
SAL	"14.0, 93.0"	413	382	990	208.6489104	1.695641646
SAL	"13.0, 112.0"	406	365	1159	210.5098522	1.815270936
SAL	"52.0, 94.0"	396	346	979	217.2626263	1.723484848
SAL	"7.0, 102.0"	387	368	1101	222.0697674	2.028940568
SAL	"20.0, 89.0"	381	333	720	225.4120735	1.474278215
SAL	"13.0, 113.0"	356	324	895	240.8567416	1.72247191
SAL	"12.0, 108.0"	351	306	719	245.5299145	1.495441595
SAL	"14.0, 91.0"	347	302	1003	247.7982709	1.87204611
SAL	"8.0, 101.0"	343	323	954	248.3673469	1.844023324
SAL	"25.0, 104.0"	341	301	620	250.6451613	1.391788856
SAL	"48.0, 88.0"	336	305	490	255.9940476	1.257142857
SAL	"7.0, 101.0"	334	309	884	257.997006	1.811976048
SAL	"15.0, 92.0"	333	317	731	257.2792793	1.746846847
SAL	"7.0, 103.0"	326	314	815	264.2147239	1.742331288
SAL	"13.0, 115.0"	320	286	896	268.640625	1.7653125
SAL	"16.0, 115.0"	313	277	793	273.8977636	1.679233227
SAL	"11.0, 106.0"	311	286	744	274.0418006	1.770418006
SAL	"47.0, 87.0"	308	280	470	278.7012987	1.280519481
SAL	"6.0, 102.0"	305	276	807	281.4	1.818688525
SAL	"13.0, 114.0"	299	272	754	287.7725753	1.744816054
SAL	"54.0, 95.0"	297	278	481	289.2929293	1.246801347
SAL	"14.0, 110.0"	293	263	647	292.331058	1.544709898
SAL	"11.0, 108.0"	290	246	600	295.1413793	1.507931034
SAL	"10.0, 100.0"	288	259	683	299.0277778	1.669791667
SAL	"9.0, 101.0"	286	251	690	300.8671329	1.705594406
SAL	"43.0, 97.0"	282	267	439	304.7730496	1.24751773
SAL	"26.0, 111.0"	273	232	547	314.4981685	1.443589744
SAL	"26.0, 100.0"	271	210	807	283.2804428	2.055350554
SAL	"15.0, 90.0"	270	256	626	318.6	1.694814815
SAL	"47.0, 95.0"	268	238	465	318.6119403	1.365671642
SAL	"29.0, 102.0"	263	243	433	322.7376426	1.349809886
SAL	"51.0, 96.0"	263	206	408	326.1026616	1.292015209
SAL	"20.0, 119.0"	259	217	487	329.7065637	1.292277992
SAL	"54.0, 86.0"	259	253	364	332.1737452	1.171814672
SAL	"15.0, 83.0"	259	225	567	332.7799228	1.638223938
SAL	"30.0, 105.0"	249	203	439	340.4497992	1.354618474
SAL	"12.0, 106.0"	246	209	520	346.4837398	1.599593496
SAL	"24.0, 103.0"	244	233	400	351.8155738	1.263934426
SAL	"48.0, 99.0"	244	224	349	352.7459016	1.202868852
SAL	"9.0, 99.0"	243	221	561	352.399177	1.656378601
SAL	"32.0, 103.0"	231	197	340	370.8614719	1.193939394
SAL	"10.0, 101.0"	230	196	504	368.8304348	1.580434783
SAL	"26.0, 91.0"	222	192	379	386.4144144	1.419369369
SAL	"20.0, 118.0"	221	186	461	389.9321267	1.428054299
SAL	"51.0, 103.0"	220	205	343	388.9818182	1.211818182
SAL	"28.0, 106.0"	219	195	411	392.9589041	1.452511416
SAL	"49.0, 96.0"	218	198	306	391.4220183	1.181192661
SAL	"42.0, 93.0"	214	204	323	399.1495327	1.242523364
SAL	"47.0, 89.0"	214	189	359	400.8785047	1.414485981
SAL	"10.0, 102.0"	212	188	420	396.8820755	1.485849057
SAL	"52.0, 105.0"	212	201	316	401.6226415	1.148113208
SAL	"49.0, 91.0"	211	187	289	401.2227488	1.202843602
SAL	"50.0, 82.0"	211	187	414	406.9952607	1.518483412
SAL	"12.0, 98.0"	207	182	415	410.0193237	1.501932367
SAL	"17.0, 111.0"	206	171	355	417.6893204	1.294660194
SAL	"27.0, 109.0"	205	172	321	405.6829268	1.242439024
SAL	"56.0, 82.0"	203	185	319	421.7586207	1.297536946
SAL	"56.0, 86.0"	201	172	299	414.0995025	1.281094527
SAL	"11.0, 103.0"	195	165	310	439.574359	1.287179487
SAL	"13.0, 108.0"	190	150	299	451.6315789	1.284736842
SAL	"47.0, 84.0"	190	168	296	452.0894737	1.239473684
SAL	"56.0, 89.0"	186	172	269	460.4892473	1.159677419
SAL	"47.0, 88.0"	186	167	318	460.9032258	1.388709677
SAL	"9.0, 106.0"	184	164	371	465.3423913	1.560869565
SAL	"21.0, 118.0"	183	150	321	464.3114754	1.312021858
SAL	"34.0, 103.0"	180	158	294	442.0722222	1.321111111
SAL	"13.0, 91.0"	180	159	321	478.1666667	1.42
SAL	"46.0, 88.0"	179	154	304	479.4189944	1.396089385
SAL	"55.0, 85.0"	178	155	304	471.4550562	1.376966292
SAL	"15.0, 115.0"	176	158	289	483.3125	1.276704545
SAL	"53.0, 95.0"	176	148	260	485.9034091	1.227272727
SAL	"11.0, 104.0"	175	146	311	488.2285714	1.462857143
SAL	"31.0, 86.0"	171	138	283	495.4678363	1.365497076
SAL	"46.0, 87.0"	170	153	274	493.0352941	1.318823529
SAL	"50.0, 86.0"	169	143	272	500.5857988	1.33964497
SAL	"44.0, 102.0"	168	140	266	498.2261905	1.28452381
SAL	"9.0, 103.0"	164	139	643	498.402439	2.445121951
SAL	"48.0, 100.0"	164	129	246	522.9390244	1.264634146
SAL	"15.0, 101.0"	164	137	259	523.0853659	1.298780488
SAL	"51.0, 100.0"	164	153	205	523.2134146	1.098170732
SAL	"13.0, 109.0"	164	126	250	524.2012195	1.238414634
SAL	"46.0, 94.0"	163	139	242	524.809816	1.295092025
SAL	"8.0, 89.0"	162	144	286	524.1975309	1.432716049
SAL	"17.0, 89.0"	162	141	284	529.5123457	1.400617284
SAL	"18.0, 107.0"	159	143	251	532.672956	1.241509434
SAL	"21.0, 89.0"	158	136	249	536.3544304	1.347468354
SAL	"26.0, 108.0"	158	124	257	541.943038	1.340506329
SAL	"14.0, 116.0"	158	128	299	542.4240506	1.363291139
SAL	"16.0, 95.0"	154	118	254	541.0649351	1.397402597
SAL	"45.0, 96.0"	154	149	202	548.3311688	1.126623377
SAL	"12.0, 92.0"	153	133	304	543.8366013	1.478431373
SAL	"40.0, 98.0"	152	138	220	561.9276316	1.216447368
SAL	"9.0, 91.0"	150	132	206	554.12	1.203333333
SAL	"55.0, 83.0"	150	130	244	560.8933333	1.328
SAL	"13.0, 111.0"	149	139	259	566.0268456	1.359731544
SAL	"25.0, 82.0"	148	123	241	567.1554054	1.405405405
SAL	"55.0, 81.0"	148	130	197	569.6486486	1.162837838
SAL	"17.0, 91.0"	148	127	252	575.3175676	1.443243243
SAL	"51.0, 95.0"	148	125	227	577.2364865	1.285135135
SAL	"55.0, 94.0"	147	135	190	570.8843537	1.117006803
SAL	"13.0, 93.0"	147	125	281	582.3197279	1.399319728
SAL	"56.0, 92.0"	146	120	212	565.8972603	1.20890411
SAL	"13.0, 107.0"	146	123	228	573.3356164	1.293150685
SAL	"49.0, 89.0"	146	117	226	577.4383562	1.30890411
SAL	"12.0, 102.0"	145	120	246	580.8275862	1.395172414
SAL	"51.0, 81.0"	144	121	224	578.1458333	1.3125
SAL	"18.0, 96.0"	143	118	309	552.5034965	1.581118881
SAL	"51.0, 82.0"	143	126	233	589.1118881	1.355244755
SAL	"28.0, 109.0"	143	123	214	589.5944056	1.181118881
SAL	"15.0, 93.0"	139	122	216	594.2877698	1.394244604
SAL	"52.0, 93.0"	138	116	195	601.0362319	1.194927536
SAL	"6.0, 101.0"	138	120	236	619.6594203	1.305797101
SAL	"27.0, 89.0"	135	116	203	624.3925926	1.260740741
SAL	"31.0, 89.0"	135	113	224	624.9111111	1.384444444
SAL	"53.0, 84.0"	135	112	226	625.0962963	1.339259259
SAL	"14.0, 107.0"	135	117	179	631.1703704	1.159259259
SAL	"15.0, 94.0"	135	116	184	633.8962963	1.2
