County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
SOM	"117.0, 225.0"	7925	7730	28797	10.46170347	2.02407571
SOM	"129.0, 240.0"	7003	6682	25808	11.89104669	1.87533914
SOM	"128.0, 240.0"	5099	4859	18168	16.49656795	1.782859384
SOM	"112.0, 240.0"	5031	4981	16626	16.72808587	2.13396939
SOM	"121.0, 222.0"	4921	4595	18050	17.10262142	1.855984556
SOM	"117.0, 226.0"	4804	4667	16237	17.53996669	1.897273106
SOM	"106.0, 233.0"	4492	4462	14205	18.78517364	2.054296527
SOM	"114.0, 230.0"	4380	4320	14133	19.27990868	1.912465753
SOM	"113.0, 211.0"	4240	4023	14427	19.92924528	1.80620283
SOM	"129.0, 241.0"	4235	4063	14525	19.95324675	1.751853601
SOM	"107.0, 230.0"	4189	4100	14533	20.18118883	2.058772977
SOM	"113.0, 229.0"	3938	3902	12367	21.48882682	1.960639919
SOM	"121.0, 223.0"	3764	3476	12960	22.49601488	1.7674017
SOM	"120.0, 237.0"	3694	3592	12024	22.93990254	1.819951272
SOM	"122.0, 219.0"	3542	3078	13244	23.92320723	1.667701863
SOM	"103.0, 231.0"	3398	3360	10479	24.98351972	2.040553267
SOM	"120.0, 217.0"	3343	3077	11947	25.38647921	1.754950643
SOM	"121.0, 219.0"	3120	2747	12037	27.23974359	1.848108974
SOM	"104.0, 221.0"	3032	3001	9013	28.03693931	1.988885224
SOM	"116.0, 229.0"	2935	2796	9770	28.99011925	1.760374787
SOM	"110.0, 240.0"	2768	2730	8271	30.75325145	1.99400289
SOM	"121.0, 218.0"	2722	2473	9355	31.28618663	1.68471712
SOM	"106.0, 230.0"	2605	2571	7761	32.67332054	1.872744722
SOM	"105.0, 230.0"	2534	2383	7889	33.64088398	1.916416732
SOM	"115.0, 230.0"	2457	2377	7565	34.69393569	1.76980057
SOM	"120.0, 223.0"	2449	2292	7768	34.8158432	1.721600653
SOM	"107.0, 233.0"	2434	2376	7503	35.04190633	1.859244043
SOM	"101.0, 231.0"	2356	2319	6587	36.22325976	1.894439728
SOM	"104.0, 242.0"	2315	2247	7414	36.86868251	2.02587473
SOM	"105.0, 238.0"	2308	2277	6603	36.98180243	1.907495667
SOM	"113.0, 251.0"	2273	2226	6677	37.54993401	1.913990321
SOM	"127.0, 238.0"	2234	1878	6728	38.19561325	1.686392122
SOM	"123.0, 220.0"	2150	1871	8027	39.69674419	1.717069767
SOM	"113.0, 230.0"	2128	2100	6141	40.15648496	1.827913534
SOM	"115.0, 225.0"	2125	2079	6297	40.17270588	1.785835294
SOM	"127.0, 239.0"	2099	1874	6514	40.708909	1.628203907
SOM	"105.0, 223.0"	2091	2060	5906	40.83835485	1.898756576
SOM	"107.0, 232.0"	2073	2034	5826	41.20646406	1.827978775
SOM	"117.0, 221.0"	2045	1939	6221	41.77652812	1.750709046
SOM	"110.0, 227.0"	2026	1966	5633	42.13869694	1.811500494
SOM	"115.0, 212.0"	1963	1708	5895	43.52215996	1.563321447
SOM	"104.0, 241.0"	1911	1887	5231	44.67765568	1.815122972
SOM	"112.0, 251.0"	1857	1780	5379	46.02907916	1.835918148
SOM	"109.0, 230.0"	1839	1778	5294	46.45894508	1.82490484
SOM	"99.0, 235.0"	1836	1815	5044	46.583878	1.811383442
SOM	"118.0, 221.0"	1824	1693	5332	46.89967105	1.659429825
SOM	"105.0, 232.0"	1794	1747	4895	47.68617614	1.796432553
SOM	"110.0, 231.0"	1732	1689	4670	49.38683603	1.76460739
SOM	"105.0, 231.0"	1724	1689	4617	49.67169374	1.805974478
SOM	"104.0, 220.0"	1722	1612	5850	49.67073171	1.997851336
SOM	"114.0, 226.0"	1721	1679	4944	49.71179547	1.763858222
SOM	"115.0, 229.0"	1716	1643	5147	49.87762238	1.743531469
SOM	"114.0, 212.0"	1708	1586	5058	50.11065574	1.646604215
SOM	"113.0, 212.0"	1704	1591	5422	50.24061033	1.727464789
SOM	"107.0, 231.0"	1686	1651	5313	50.71470937	1.872301305
SOM	"108.0, 230.0"	1675	1633	4633	51.09552239	1.788358209
SOM	"110.0, 226.0"	1673	1626	4525	51.07591154	1.744172146
SOM	"103.0, 221.0"	1638	1598	4447	52.2973138	1.797863248
SOM	"97.0, 208.0"	1603	1544	4476	53.45601996	1.725639426
SOM	"102.0, 214.0"	1582	1536	4310	54.12326169	1.760240202
SOM	"106.0, 232.0"	1530	1493	4049	55.95816993	1.74627451
SOM	"117.0, 224.0"	1509	1426	4244	56.77004639	1.686481113
SOM	"122.0, 220.0"	1507	1340	5090	56.8142004	1.686396815
SOM	"111.0, 242.0"	1487	1463	4228	57.61869536	1.828581036
SOM	"112.0, 211.0"	1470	1372	4178	58.19115646	1.622176871
SOM	"111.0, 241.0"	1460	1443	3965	58.59794521	1.834178082
SOM	"119.0, 238.0"	1435	1393	4113	59.56376307	1.684041812
SOM	"101.0, 221.0"	1435	1376	4275	59.69059233	1.894773519
SOM	"108.0, 232.0"	1435	1400	3743	59.69756098	1.702926829
SOM	"116.0, 225.0"	1414	1357	3851	60.63366337	1.676308345
SOM	"117.0, 220.0"	1404	1313	5394	60.96509972	1.994301994
SOM	"103.0, 208.0"	1402	1327	3819	61.12196862	1.627175464
SOM	"116.0, 230.0"	1393	1247	4757	61.22828428	1.777315147
