County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
SUS	"104.0, 295.0"	2278	2098	7323	37.42581212	1.927699737
SUS	"95.0, 281.0"	2277	2189	7054	37.48836188	1.748089592
SUS	"92.0, 298.0"	2200	2023	7424	38.74545455	2.106363636
SUS	"104.0, 294.0"	2169	2054	6559	39.36652835	1.871230982
SUS	"93.0, 299.0"	2037	1979	6103	41.93765341	1.992587138
SUS	"102.0, 281.0"	1722	1574	5385	49.68989547	1.64047619
SUS	"95.0, 279.0"	1488	1377	4406	57.5436828	1.627688172
SUS	"92.0, 297.0"	1373	1270	4076	62.29133285	1.952731245
SUS	"111.0, 306.0"	1324	1245	3677	64.75377644	1.848640483
SUS	"90.0, 297.0"	1262	1146	3738	67.9437401	1.841521395
SUS	"101.0, 280.0"	1127	921	3926	76.02661934	1.933540373
SUS	"119.0, 316.0"	1050	978	3100	81.73428571	1.876
SUS	"101.0, 279.0"	1016	897	2783	84.5511811	1.461220472
SUS	"92.0, 296.0"	1007	919	3048	85.04270109	2.016583913
SUS	"95.0, 280.0"	1000	947	2617	85.852	1.539
SUS	"92.0, 299.0"	975	931	2549	87.99692308	1.776717949
SUS	"111.0, 311.0"	923	838	2689	93.05417118	1.912892741
SUS	"105.0, 294.0"	903	851	2333	95.1351052	1.661018826
SUS	"91.0, 296.0"	889	826	2301	96.46906637	1.743869516
SUS	"105.0, 293.0"	886	798	2286	97.05869074	1.631828442
SUS	"91.0, 297.0"	864	770	2529	99.47106481	1.904976852
SUS	"108.0, 318.0"	841	792	2228	101.8882283	1.835790725
SUS	"101.0, 281.0"	838	756	2278	102.424821	1.621002387
SUS	"97.0, 278.0"	818	735	2607	104.8606357	1.725672372
SUS	"96.0, 277.0"	789	701	2012	109.0304183	1.399366286
SUS	"103.0, 303.0"	782	710	1969	109.9578005	1.680179028
SUS	"121.0, 316.0"	775	752	2079	110.9277419	1.707741935
SUS	"90.0, 287.0"	754	722	1738	113.9244032	1.561405836
SUS	"111.0, 307.0"	752	676	1981	114.0412234	1.897074468
SUS	"97.0, 297.0"	750	670	1880	114.5173333	1.690133333
SUS	"110.0, 306.0"	732	645	1856	117.3387978	1.784153005
SUS	"98.0, 278.0"	725	649	1811	118.502069	1.36937931
SUS	"118.0, 316.0"	712	649	1810	120.7907303	1.716994382
SUS	"108.0, 319.0"	707	661	1872	121.6775106	1.916407355
SUS	"102.0, 280.0"	700	641	1758	122.7342857	1.478
SUS	"93.0, 311.0"	698	654	1772	123.2378223	1.792550143
SUS	"110.0, 305.0"	686	595	1626	125.1618076	1.644752187
SUS	"91.0, 298.0"	685	655	1701	125.1474453	1.756788321
SUS	"96.0, 279.0"	662	604	1555	129.9818731	1.42265861
SUS	"111.0, 305.0"	659	625	1590	130.3444613	1.641274659
SUS	"102.0, 282.0"	656	578	1517	131.2210366	1.427439024
SUS	"96.0, 280.0"	635	579	1478	135.2614173	1.41496063
SUS	"110.0, 302.0"	623	458	2072	134.8507223	2.232744783
SUS	"101.0, 282.0"	623	552	1556	137.0385233	1.597913323
SUS	"99.0, 292.0"	601	542	1295	142.7138103	1.489517471
SUS	"93.0, 285.0"	589	534	1317	145.9286927	1.455857385
SUS	"102.0, 283.0"	587	522	1560	146.2504259	1.61516184
