County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
UNI	"150.0, 243.0"	9818	9682	44739	8.365451212	2.389081279
UNI	"155.0, 243.0"	9709	9525	42301	8.455453703	2.558234628
UNI	"128.0, 237.0"	8864	8607	33825	9.304377256	1.979275722
UNI	"136.0, 242.0"	8275	8201	28071	10.00048338	2.061643505
UNI	"147.0, 237.0"	7177	7095	25900	11.59704612	2.085857601
UNI	"142.0, 247.0"	7095	7028	24236	11.73276956	2.023735025
UNI	"135.0, 251.0"	7023	6749	25021	11.86117044	1.95837961
UNI	"145.0, 245.0"	6975	6905	24890	11.94594982	2.064860215
UNI	"150.0, 244.0"	6827	6269	34790	12.24520287	2.415936722
UNI	"141.0, 247.0"	6127	6099	20422	13.66362004	1.992834993
UNI	"143.0, 241.0"	6023	5976	20186	13.89606508	1.988826166
UNI	"141.0, 238.0"	5982	5928	20018	13.99297894	1.95147108
UNI	"136.0, 241.0"	5875	5798	18997	14.25565957	1.955097872
UNI	"148.0, 243.0"	5835	5767	21490	14.35526992	2.096675236
UNI	"140.0, 238.0"	5741	5662	19112	14.60163735	1.962201707
UNI	"152.0, 242.0"	5740	5633	24203	14.60662021	2.274878049
UNI	"138.0, 242.0"	5738	5675	18795	14.60857442	1.994423144
UNI	"127.0, 237.0"	5682	5449	19522	14.74885604	1.85124956
UNI	"143.0, 251.0"	5660	5256	19715	14.81908127	1.779010601
UNI	"151.0, 243.0"	5391	5306	20713	15.5770729	2.130662215
UNI	"141.0, 242.0"	5137	5048	16898	16.37570566	1.946778275
UNI	"149.0, 241.0"	5098	5040	17388	16.48862299	2.047155747
UNI	"130.0, 240.0"	5008	4895	16957	16.80071885	1.944169329
UNI	"146.0, 239.0"	4997	4317	22097	16.90994597	2.29919952
UNI	"144.0, 248.0"	4902	4822	17301	17.16687067	1.925846593
UNI	"148.0, 249.0"	4884	4748	19242	17.24385749	1.898402948
UNI	"150.0, 248.0"	4870	4719	18950	17.28213552	1.954394251
UNI	"146.0, 236.0"	4779	4695	16274	17.63444235	1.927348818
UNI	"145.0, 243.0"	4715	4659	15904	17.86871686	1.994825027
UNI	"152.0, 245.0"	4688	4587	18436	17.98869454	2.07581058
UNI	"141.0, 249.0"	4673	4574	15609	18.03723518	1.871303231
UNI	"151.0, 245.0"	4516	4416	18572	18.68113375	2.106532329
UNI	"140.0, 250.0"	4440	4271	14691	19.01148649	1.768671171
UNI	"139.0, 242.0"	4403	4355	13773	19.17578923	1.949511697
UNI	"139.0, 238.0"	4380	4312	14113	19.26164384	1.882579909
UNI	"143.0, 245.0"	4377	4335	13902	19.29586475	1.912725611
UNI	"153.0, 242.0"	4343	4218	19583	19.45084043	2.296983652
UNI	"138.0, 246.0"	4327	4279	13553	19.52045297	1.92410446
UNI	"144.0, 235.0"	4283	3834	19226	19.78986692	2.168409993
UNI	"140.0, 239.0"	4177	4119	13320	20.23581518	1.900885803
UNI	"149.0, 243.0"	4175	4106	15193	20.23688623	2.113341317
UNI	"149.0, 242.0"	4034	3983	13968	20.97347546	2.016807139
UNI	"154.0, 242.0"	4021	3919	15315	21.03332504	2.165953743
UNI	"148.0, 248.0"	4018	3907	14917	21.05052265	1.885963166
UNI	"150.0, 242.0"	4003	3932	17889	21.12215838	2.298476143
UNI	"152.0, 244.0"	3980	3881	14793	21.24673367	2.007688442
