County Name	Pixel	Total Trips	Total Intercounty Trips	Total Riders	Average Time b/w Trips	Average AVO
WAR	"84.0, 268.0"	2297	2194	7519	37.15890292	1.748280366
WAR	"83.0, 269.0"	1882	973	5929	45.61955367	1.814505845
WAR	"83.0, 270.0"	1852	1698	6451	46.18952484	2.057019438
WAR	"83.0, 265.0"	1649	1603	5093	51.90600364	1.613826562
WAR	"84.0, 271.0"	1611	1499	5028	53.18435754	1.810490379
WAR	"84.0, 269.0"	1537	1444	4991	55.71047495	1.810344828
WAR	"82.0, 265.0"	1316	1250	3955	65.10638298	1.649620061
WAR	"89.0, 269.0"	1271	1065	3798	67.5177026	1.487175452
WAR	"44.0, 247.0"	1221	1210	4035	70.23341523	2.478869779
WAR	"45.0, 248.0"	1216	1153	4276	70.34128289	2.366776316
WAR	"82.0, 267.0"	1203	1132	4074	71.31255195	1.983291771
WAR	"84.0, 267.0"	1131	1056	3116	75.93280283	1.568435013
WAR	"83.0, 266.0"	1060	1021	3019	81.01603774	1.534811321
WAR	"48.0, 246.0"	1000	915	3162	85.915	2.2556
WAR	"86.0, 279.0"	987	911	2696	87	1.69331307
WAR	"45.0, 247.0"	952	889	3150	90.19537815	2.343697479
WAR	"85.0, 267.0"	932	840	2610	92.03004292	1.488626609
WAR	"43.0, 247.0"	888	864	2875	96.78490991	2.26509009
WAR	"67.0, 257.0"	879	776	2737	97.41638225	2.025255973
WAR	"67.0, 256.0"	877	784	2541	97.80387685	1.991448119
WAR	"65.0, 256.0"	819	736	2427	104.9438339	1.927594628
WAR	"88.0, 269.0"	776	661	1782	110.7448454	1.361726804
WAR	"44.0, 248.0"	759	730	2934	112.4295125	2.263768116
WAR	"84.0, 270.0"	736	683	1894	116.7078804	1.605027174
WAR	"44.0, 246.0"	707	678	2147	121.3338048	2.159830269
WAR	"66.0, 256.0"	691	636	1927	123.8986975	1.952966715
WAR	"46.0, 246.0"	666	617	1961	128.9534535	2.183933934
WAR	"47.0, 243.0"	665	616	1976	129.0090226	2.178345865
WAR	"68.0, 256.0"	649	575	1757	132.2326656	1.918335901
WAR	"56.0, 266.0"	639	607	1851	133.4084507	1.97057903
WAR	"80.0, 270.0"	637	613	1610	134.4317111	1.59811617
WAR	"50.0, 246.0"	631	575	1994	136.0649762	2.392393027
WAR	"85.0, 270.0"	622	568	1621	137.6205788	1.593729904
WAR	"85.0, 271.0"	614	548	1468	139.7166124	1.491368078
WAR	"84.0, 272.0"	608	569	1555	141.5625	1.564638158
WAR	"86.0, 271.0"	595	513	1411	144.3579832	1.471428571
WAR	"47.0, 248.0"	583	489	1635	146.6723842	2
WAR	"46.0, 248.0"	544	478	1418	157.8933824	1.881801471
WAR	"47.0, 249.0"	534	486	1397	160.1348315	2.04906367
WAR	"67.0, 258.0"	527	450	1322	162.3927894	1.758254269
WAR	"83.0, 268.0"	522	404	1914	163.591954	2.022988506
WAR	"68.0, 259.0"	520	462	1214	164.7076923	1.665192308
WAR	"57.0, 266.0"	519	472	1408	165.2678227	1.823314066
WAR	"68.0, 257.0"	517	459	1297	166.0638298	1.784912959
WAR	"80.0, 276.0"	516	469	1181	166.3139535	1.576744186
WAR	"49.0, 245.0"	509	451	1309	168.6836935	1.888998035
WAR	"58.0, 265.0"	506	458	1389	167.8142292	1.976086957
WAR	"47.0, 250.0"	506	464	1654	169.7351779	2.105731225
WAR	"69.0, 287.0"	495	434	1100	173.4666667	1.535555556
WAR	"66.0, 257.0"	488	455	1218	174.8504098	1.832377049
WAR	"49.0, 246.0"	480	398	1153	177.6416667	1.761458333
WAR	"84.0, 266.0"	476	427	1066	180.1008403	1.376470588
WAR	"48.0, 245.0"	464	433	1265	185.3405172	2.110775862
WAR	"82.0, 270.0"	463	426	1017	184.3822894	1.412742981
WAR	"82.0, 264.0"	459	446	1021	186.9455338	1.352505447
WAR	"45.0, 246.0"	453	421	1164	189.1743929	1.95584989
WAR	"68.0, 278.0"	431	373	1023	198.6403712	1.641067285
WAR	"47.0, 245.0"	427	389	1043	201.0163934	1.844496487
WAR	"46.0, 245.0"	417	387	1119	205.0431655	2.013189448
WAR	"58.0, 264.0"	414	369	1044	206.5	1.868599034
WAR	"46.0, 247.0"	414	380	1064	207.8115942	1.999033816
WAR	"66.0, 287.0"	412	307	1190	206.5291262	1.744417476
WAR	"48.0, 243.0"	410	368	1020	208.8658537	1.878292683
WAR	"47.0, 246.0"	408	363	966	210.3504902	1.829656863
WAR	"80.0, 269.0"	397	363	986	214.4634761	1.548110831
WAR	"66.0, 258.0"	394	341	887	217.5786802	1.64213198
WAR	"43.0, 248.0"	385	357	1017	221.7194805	1.888571429
WAR	"81.0, 277.0"	383	350	831	223.4830287	1.516710183
WAR	"47.0, 251.0"	377	346	988	226.806366	1.884084881
WAR	"45.0, 249.0"	377	343	958	227.1485411	1.793899204
WAR	"63.0, 255.0"	375	310	1263	227.328	2.0128
WAR	"82.0, 268.0"	372	341	826	230.2849462	1.530376344
WAR	"49.0, 248.0"	365	316	814	234.1972603	1.759452055
WAR	"48.0, 244.0"	362	317	832	236.9447514	1.733149171
WAR	"57.0, 265.0"	354	338	818	242.4519774	1.718079096
WAR	"62.0, 255.0"	351	286	994	244.7150997	1.829344729
WAR	"76.0, 272.0"	345	285	880	247.3681159	1.604637681
WAR	"64.0, 257.0"	343	311	813	248.8717201	1.706122449
WAR	"46.0, 250.0"	341	309	855	250.9824047	1.841055718
WAR	"84.0, 265.0"	338	292	642	253.8934911	1.250591716
WAR	"46.0, 249.0"	337	309	790	253.6557864	1.828486647
WAR	"48.0, 249.0"	335	294	754	256.5074627	1.759701493
WAR	"82.0, 266.0"	334	301	674	256.2185629	1.33742515
WAR	"82.0, 276.0"	325	294	643	264.1784615	1.443076923
WAR	"44.0, 249.0"	323	310	766	261.25387	1.760371517
WAR	"69.0, 255.0"	319	270	735	269.7335423	1.746394984
WAR	"51.0, 246.0"	318	261	796	267.0408805	1.928616352
WAR	"67.0, 259.0"	311	249	685	274.5241158	1.590032154
WAR	"83.0, 271.0"	305	282	597	279.6459016	1.370163934
WAR	"58.0, 261.0"	303	271	676	283.8514851	1.588448845
WAR	"65.0, 263.0"	302	261	545	281.3509934	1.371523179
WAR	"81.0, 265.0"	301	269	641	285.7574751	1.484053156
WAR	"65.0, 290.0"	294	267	656	289.0986395	1.55
WAR	"80.0, 271.0"	294	268	525	291.3367347	1.291496599
WAR	"72.0, 270.0"	290	246	633	291.1965517	1.577586207
WAR	"48.0, 250.0"	285	254	682	300.4	1.795087719
WAR	"59.0, 268.0"	281	241	535	304.8932384	1.52633452
WAR	"84.0, 273.0"	267	256	470	320.6179775	1.259550562
WAR	"83.0, 272.0"	267	243	492	321.1048689	1.305617978
WAR	"53.0, 243.0"	266	228	595	322.5263158	1.787593985
WAR	"82.0, 273.0"	265	245	527	320.7509434	1.37245283
WAR	"84.0, 274.0"	265	243	488	323.8943396	1.314716981
WAR	"64.0, 263.0"	261	235	504	328.3869732	1.460153257
WAR	"47.0, 244.0"	260	236	542	325.7153846	1.644615385
WAR	"79.0, 270.0"	260	231	514	327.8846154	1.42
WAR	"72.0, 286.0"	259	184	908	155.9111969	1.931660232
WAR	"65.0, 249.0"	259	219	543	333.1196911	1.605405405
WAR	"84.0, 278.0"	256	238	470	336.0195313	1.38125
WAR	"54.0, 280.0"	255	237	480	335.6	1.409019608
WAR	"72.0, 257.0"	254	183	708	329.2677165	1.949212598
WAR	"82.0, 269.0"	254	233	437	332.6299213	1.311023622
WAR	"50.0, 252.0"	253	201	611	337.7193676	1.850197628
WAR	"69.0, 285.0"	250	205	583	336.032	1.5988
WAR	"82.0, 277.0"	247	220	428	346.6842105	1.312145749
WAR	"68.0, 265.0"	247	213	508	346.7489879	1.570445344
WAR	"71.0, 257.0"	244	223	487	349.6557377	1.479098361
WAR	"77.0, 270.0"	243	205	455	349.0123457	1.357613169
WAR	"65.0, 287.0"	243	219	394	352.8518519	1.303292181
WAR	"72.0, 287.0"	243	216	492	352.9259259	1.454320988
WAR	"64.0, 258.0"	242	219	483	353.177686	1.478512397
WAR	"66.0, 255.0"	240	213	465	354.2833333	1.548333333
